N	pheno	LRT_Variance	Pval_Variance	Sum of V(G)_Vp_SE	Sum of V(G)_Vp_Variance	V(G1)_SE	V(G1)_Variance	V(G1)_Vp_SE	V(G1)_Vp_Variance	V(G2)_SE	V(G2)_Variance	V(G2)_Vp_SE	V(G2)_Vp_Variance	V(G3)_SE	V(G3)_Variance	V(G3)_Vp_SE	V(G3)_Vp_Variance	V(G4)_SE	V(G4)_Variance	V(G4)_Vp_SE	V(G4)_Vp_Variance	V(e)_SE	V(e)_Variance	Vp_SE	Vp_Variance	df_Variance	logL_Variance	logL0_Variance	n_Variance
10000	pheno_15	0.0	0.5	0.231321	0.579475	0.121541	1e-06	0.121801	1e-06	0.12134	0.01319	0.121599	0.013218	0.119128	0.534977	0.118675	0.536119	0.115859	0.030074	0.116105	0.030138	0.230695	0.419629	0.01414	0.99787	1.0	-4983.11	-4983.086	10000.0
10000	pheno_16	0.0	0.5	0.231354	0.326578	0.120248	1e-06	0.121313	1e-06	0.121739	0.080003	0.122803	0.080712	0.117339	0.204864	0.118275	0.206678	0.115174	0.038842	0.116191	0.039186	0.229333	0.66751	0.014023	0.991221	1.0	-4958.25	-4958.248	10000.0
500	pheno_16	0.01	0.46042	4.741584	0.999999	2.508204	0.170022	2.31648	0.156994	2.480854	0.300641	2.291554	0.277603	2.54912	0.612321	2.354995	0.565401	2.460242	1e-06	2.271721	1e-06	5.135069	1e-06	0.068721	1.082986	1.0	-273.221	-273.226	500.0
10000	pheno_17	0.0	0.5	0.243455	0.989044	0.141457	1e-06	0.125477	1e-06	0.145179	1.108915	0.126557	0.983642	0.141552	1e-06	0.125561	1e-06	0.136816	0.006088	0.12136	0.0054	0.27445	0.012351	0.017037	1.127356	1.0	-4989.169	-4969.271	10000.0
10000	pheno_20	0.117	0.36612	0.232046	0.263376	0.120474	0.001552	0.12056	0.001553	0.120976	0.119824	0.121033	0.119909	0.118278	0.141813	0.118321	0.141913	0.115306	1e-06	0.115387	1e-06	0.231935	0.736103	0.014135	0.999293	1.0	-5000.262	-5000.321	10000.0
5000	pheno_21	0.0	0.5	0.460397	0.262786	0.243139	1e-06	0.237264	1e-06	0.241218	1e-06	0.235389	1e-06	0.242556	0.016198	0.236698	0.015806	0.240123	0.253094	0.234226	0.246978	0.471819	0.755471	0.020499	1.024764	1.0	-2566.097	-2565.843	5000.0
10000	pheno_21	0.0	0.5	0.231043	0.581657	0.115981	1e-06	0.119496	1e-06	0.117996	0.224792	0.121444	0.231605	0.114154	0.006854	0.117614	0.007061	0.113497	0.3329	0.11664	0.342989	0.224117	0.406037	0.013743	0.970583	1.0	-4848.671	-4848.667	10000.0
5000	pheno_23	0.0	0.5	0.473871	0.089969	0.24909	1e-06	0.244	1e-06	0.247187	1e-06	0.242136	1e-06	0.246804	0.00149	0.24176	0.00146	0.243008	0.090354	0.23803	0.088507	0.484044	0.929016	0.020761	1.020862	1.0	-2473.768	-2472.528	5000.0
5000	pheno_25	2.293	0.064984	0.462964	0.993467	0.239059	0.335297	0.237753	0.333844	0.238985	0.435023	0.237508	0.433138	0.236792	0.227469	0.235655	0.226484	0.233757	1e-06	0.232745	1e-06	0.464973	0.006561	0.020112	1.004351	1.0	-2511.269	-2512.416	5000.0
10000	pheno_25	0.0	0.5	0.237161	0.271639	0.126441	0.012739	0.121452	0.012237	0.128508	0.253607	0.123306	0.243601	0.127625	1e-06	0.12259	1e-06	0.121396	0.016449	0.116607	0.0158	0.246937	0.758278	0.014955	1.041074	1.0	-5053.752	-5051.506	10000.0
10000	pheno_26	0.0	0.5	0.24111	0.116364	0.133313	1e-06	0.123171	1e-06	0.135135	0.104817	0.124844	0.096843	0.132677	0.021125	0.122583	0.019518	0.131916	1e-06	0.12188	1e-06	0.261141	0.956394	0.015859	1.082339	1.0	-5059.349	-5048.588	10000.0
5000	pheno_27	0.926	0.16797	0.459661	0.963441	0.227286	0.214631	0.231837	0.219043	0.23194	0.261718	0.236536	0.267099	0.231206	0.253456	0.235796	0.258666	0.229141	0.214228	0.233738	0.218632	0.450373	0.035823	0.019614	0.979855	1.0	-2450.939	-2451.402	5000.0
10000	pheno_28	0.0	0.5	0.232389	0.228008	0.129071	0.011594	0.122979	0.011046	0.129859	1e-06	0.12373	1e-06	0.125411	0.103376	0.119476	0.098498	0.123988	0.12433	0.118109	0.118463	0.243985	0.81023	0.015113	1.049531	1.0	-5069.731	-5066.627	10000.0
5000	pheno_29	2.769	0.048065	0.470478	0.261109	0.246685	0.08568	0.239109	0.083054	0.247079	0.018043	0.239504	0.01749	0.253324	1e-06	0.245558	1e-06	0.241942	0.165642	0.234476	0.160564	0.485423	0.762259	0.021016	1.031625	1.0	-2492.026	-2493.411	5000.0
10000	pheno_29	2.85	0.045682	0.229973	0.368559	0.119166	0.194543	0.118489	0.19359	0.119803	0.029098	0.119214	0.028956	0.117984	1e-06	0.117406	1e-06	0.11735	0.146731	0.116722	0.146012	0.231085	0.634549	0.014218	1.004923	1.0	-5026.426	-5027.851	10000.0
5000	pheno_31	0.05	0.4112	0.461074	0.278024	0.242392	0.03876	0.233599	0.037354	0.244067	1e-06	0.235216	1e-06	0.243437	0.106257	0.234587	0.102404	0.241119	0.143468	0.232335	0.138265	0.478502	0.749143	0.020756	1.037629	1.0	-2595.874	-2595.899	5000.0
10000	pheno_31	0.0	0.5	0.233423	0.594766	0.127377	1e-06	0.122178	1e-06	0.129041	1e-06	0.123774	1e-06	0.124838	0.004684	0.119742	0.004492	0.1226	0.61539	0.11676	0.590271	0.243202	0.422479	0.015097	1.042555	1.0	-4988.105	-4984.159	10000.0
5000	pheno_32	37.51	4.5468e-10	0.466823	0.072483	0.231128	0.045053	0.235244	0.045855	0.235526	0.02616	0.239724	0.026626	0.231545	1e-06	0.235669	1e-06	0.22468	1e-06	0.228681	1e-06	0.458938	0.911288	0.019652	0.982502	1.0	-2460.599	-2479.354	5000.0
10000	pheno_33	0.0	0.5	0.230493	0.527813	0.123088	1e-06	0.121206	1e-06	0.122774	1e-06	0.120896	1e-06	0.120722	0.425891	0.118492	0.419377	0.119761	0.110119	0.117914	0.108435	0.233926	0.479521	0.014377	1.015532	1.0	-5074.75	-5074.441	10000.0
10000	pheno_34	2.25	0.06679	0.233109	0.378183	0.124038	0.153122	0.12062	0.148965	0.126211	0.151482	0.122739	0.14737	0.121551	1e-06	0.118251	1e-06	0.121128	0.084132	0.117827	0.081848	0.239563	0.639169	0.014542	1.027906	1.0	-5140.236	-5141.361	10000.0
5000	pheno_34	0.049	0.41239	0.46293	0.341369	0.238028	0.04171	0.236717	0.041481	0.237245	1e-06	0.235942	1e-06	0.239924	0.231976	0.23848	0.230702	0.233613	0.069568	0.232321	0.069186	0.465499	0.662268	0.020116	1.005523	1.0	-2517.036	-2517.061	5000.0
10000	pheno_35	3.188	0.037097	0.231079	0.590271	0.116839	0.204194	0.118093	0.206573	0.118681	0.101882	0.120038	0.103069	0.117329	0.019855	0.118695	0.020086	0.115949	0.257543	0.117126	0.260543	0.228289	0.405011	0.013992	0.988484	1.0	-4941.797	-4943.391	10000.0
5000	pheno_37	0.0	0.5	0.460949	0.499169	0.242231	1e-06	0.236072	1e-06	0.241224	1e-06	0.235091	1e-06	0.240613	0.078846	0.234498	0.076842	0.239878	0.433343	0.233412	0.422325	0.472846	0.513897	0.020533	1.026088	1.0	-2567.181	-2566.992	5000.0
10000	pheno_38	0.097	0.37764	0.228566	0.413545	0.119659	0.034322	0.119553	0.034292	0.121592	0.164633	0.121423	0.164491	0.116702	1e-06	0.116602	1e-06	0.116472	0.214945	0.116256	0.21476	0.228709	0.586959	0.014162	1.00086	1.0	-5005.756	-5005.805	10000.0
5000	pheno_39	0.359	0.27455	0.465467	0.289096	0.239894	0.070317	0.235716	0.069094	0.247173	1e-06	0.242873	1e-06	0.238194	1e-06	0.23405	1e-06	0.237375	0.223895	0.233156	0.22	0.473737	0.723491	0.020358	1.017705	1.0	-2547.662	-2547.842	5000.0
10000	pheno_39	0.392	0.26561	0.231532	0.07969	0.120981	0.008469	0.120521	0.008437	0.122795	0.005818	0.122328	0.005796	0.11998	0.065707	0.119515	0.065457	0.116092	1e-06	0.11565	1e-06	0.232716	0.923822	0.014268	1.003817	1.0	-4973.784	-4973.98	10000.0
5000	pheno_40	1.43	0.1159	0.45494	0.432371	0.236417	0.278629	0.23562	0.277921	0.23835	1e-06	0.237745	1e-06	0.233173	0.016905	0.23258	0.016862	0.230243	0.137937	0.229616	0.137586	0.456056	0.569075	0.020059	1.002547	1.0	-2509.263	-2509.978	5000.0
5000	pheno_43	0.22	0.31939	0.467389	0.12793	0.236466	0.03784	0.232906	0.03727	0.239958	0.092044	0.236337	0.090658	0.236308	1e-06	0.232751	1e-06	0.235474	1e-06	0.231929	1e-06	0.474756	0.8854	0.020307	1.015286	1.0	-2542.095	-2542.205	5000.0
5000	pheno_44	0.524	0.23455	0.457598	0.280372	0.237333	0.042262	0.237222	0.042241	0.234579	0.238245	0.234382	0.238129	0.235558	1e-06	0.235444	1e-06	0.227805	1e-06	0.227694	1e-06	0.457827	0.719977	0.020012	1.000485	1.0	-2505.849	-2506.111	5000.0
10000	pheno_44	0.0	0.5	0.232363	0.550666	0.121242	1e-06	0.121513	1e-06	0.122447	0.099773	0.122702	0.099996	0.11923	0.441416	0.119026	0.442404	0.116924	0.008246	0.117186	0.008265	0.231716	0.448331	0.014268	0.997767	1.0	-4888.991	-4888.005	10000.0
10000	pheno_45	9.726	0.00090844	0.23616	0.042276	0.130345	0.035376	0.122855	0.033343	0.131117	1e-06	0.123584	1e-06	0.127823	0.009475	0.120478	0.008931	0.12548	1e-06	0.118271	1e-06	0.250887	1.016105	0.015322	1.060958	1.0	-5095.614	-5100.477	10000.0
5000	pheno_46	0.427	0.25682	0.457115	0.660643	0.246689	0.146513	0.237698	0.1412	0.247616	0.383205	0.238317	0.36931	0.243	0.155782	0.234141	0.150133	0.239062	1e-06	0.230394	1e-06	0.474179	0.352125	0.020766	1.037624	1.0	-2594.463	-2594.676	5000.0
5000	pheno_47	3.847	0.024912	0.467054	0.999999	0.241102	0.442434	0.239903	0.441102	0.241038	0.27704	0.240146	0.276206	0.234688	1e-06	0.233982	1e-06	0.233903	0.283542	0.23302	0.282689	0.468464	1e-06	0.020085	1.003018	1.0	-2507.697	-2509.621	5000.0
1000	pheno_48	0.0	0.5	2.678346	0.32351	1.802872	0.259982	1.332754	0.192188	1.860521	1e-06	1.375366	1e-06	1.899196	1e-06	1.403957	1e-06	1.82687	0.177642	1.350611	0.13132	3.623983	0.91512	0.070796	1.352746	1.0	-519.765	-497.731	1000.0
10000	pheno_48	0.0	0.5	0.230892	0.551464	0.118348	1e-06	0.118662	1e-06	0.12248	0.476398	0.122263	0.477665	0.118087	0.073601	0.118392	0.073796	0.115564	1e-06	0.115871	1e-06	0.230146	0.447347	0.014127	0.997348	1.0	-4982.448	-4982.444	10000.0
5000	pheno_48	0.389	0.26633	0.45961	0.999999	0.238682	0.132183	0.237726	0.131667	0.239444	0.247325	0.238403	0.246358	0.238264	0.20942	0.237257	0.208601	0.234258	0.414994	0.232981	0.413372	0.461413	1e-06	0.020094	1.003923	1.0	-2510.134	-2510.329	5000.0
5000	pheno_49	1.569	0.10515	0.461013	0.991162	0.232773	0.294028	0.238532	0.301597	0.230943	0.196118	0.236792	0.201166	0.227983	0.142784	0.233799	0.146459	0.227746	0.333358	0.233324	0.341939	0.449437	0.008616	0.019518	0.974905	1.0	-2437.948	-2438.733	5000.0
10000	pheno_49	2.943	0.043132	0.229588	0.413356	0.11745	0.155651	0.118269	0.156804	0.121537	0.043152	0.122436	0.043472	0.11751	0.211511	0.118282	0.213079	0.114565	1e-06	0.115414	1e-06	0.227828	0.582328	0.014044	0.992642	1.0	-4965.671	-4967.143	10000.0
1000	pheno_49	0.087	0.38373	2.312	0.385161	1.250845	0.024905	1.164931	0.023194	1.282361	1e-06	1.19426	1e-06	1.244353	1e-06	1.158864	1e-06	1.242795	0.388667	1.157465	0.361965	2.483123	0.660195	0.048048	1.07377	1.0	-538.9	-538.944	1000.0
5000	pheno_50	2.413	0.060173	0.468642	0.983912	0.250587	0.441742	0.237284	0.419065	0.250415	0.212121	0.23747	0.201231	0.250863	1e-06	0.237985	1e-06	0.247329	0.383291	0.234313	0.363615	0.493989	0.016959	0.021353	1.054114	1.0	-2575.077	-2576.284	5000.0
1000	pheno_51	0.047	0.41384	2.332005	0.999999	1.304082	0.224794	1.162158	0.200304	1.344345	1e-06	1.197886	1e-06	1.278938	0.398597	1.139781	0.355172	1.312747	0.498872	1.169818	0.444522	2.617127	1e-06	0.050217	1.122265	1.0	-561.101	-561.125	1000.0
10000	pheno_51	3.849	0.024881	0.231619	0.388156	0.121401	0.20561	0.12086	0.204855	0.122524	0.153606	0.122026	0.153042	0.119027	0.030369	0.118589	0.030257	0.116594	1e-06	0.116166	1e-06	0.232418	0.614099	0.014201	1.003685	1.0	-5020.577	-5022.501	10000.0
10000	pheno_52	3.143	0.038125	0.233201	0.621858	0.122755	0.220285	0.122685	0.220378	0.120163	0.124717	0.120177	0.12477	0.118463	1e-06	0.118513	1e-06	0.117219	0.276593	0.117074	0.27671	0.232962	0.377981	0.014151	0.999576	1.0	-4996.856	-4998.428	10000.0
500	pheno_54	0.0	0.5	4.72142	0.999999	2.385777	1e-06	2.276534	1e-06	2.363478	0.593533	2.25708	0.566356	2.503503	0.190097	2.389632	0.181393	2.501047	0.264354	2.387498	0.252249	4.947984	1e-06	0.066498	1.047986	1.0	-266.485	-266.48	500.0
10000	pheno_54	60.422	3.8303e-15	0.246153	0.148977	0.139426	0.140154	0.126705	0.127388	0.141038	1e-06	0.128191	1e-06	0.136447	1e-06	0.124019	1e-06	0.134488	0.023751	0.122237	0.021587	0.270916	0.936306	0.016322	1.100212	1.0	-5027.613	-5057.824	10000.0
5000	pheno_54	0.0	0.5	0.480138	0.546392	0.254741	1e-06	0.241637	1e-06	0.260619	0.556542	0.246565	0.527914	0.257016	0.003772	0.243796	0.003578	0.255772	0.015707	0.242616	0.014899	0.506034	0.478206	0.021551	1.054228	1.0	-2530.983	-2528.778	5000.0
5000	pheno_56	0.0	0.5	0.449507	0.49772	0.231258	1e-06	0.231492	1e-06	0.233482	0.108383	0.233695	0.108493	0.237284	0.281532	0.237332	0.281817	0.230004	0.1073	0.230214	0.107409	0.448971	0.501772	0.019988	0.998989	1.0	-2500.407	-2500.406	5000.0
10000	pheno_56	0.0	0.5	0.23385	0.268618	0.131149	0.00632	0.122898	0.005922	0.129953	0.092164	0.121763	0.086366	0.127957	0.188167	0.119838	0.176329	0.125134	1e-06	0.117262	1e-06	0.249598	0.780482	0.015272	1.067134	1.0	-5212.793	-5211.473	10000.0
1000	pheno_57	0.86	0.17683	2.349924	0.966813	1.188116	0.819558	1.16564	0.804669	1.218573	0.165143	1.196544	0.162142	1.18389	1e-06	1.162382	1e-06	1.187992	1e-06	1.166409	1e-06	2.393412	0.033801	0.045578	1.018504	1.0	-512.216	-512.646	1000.0
10000	pheno_57	3.192	0.037004	0.230385	0.101027	0.124457	0.091554	0.11982	0.088155	0.127274	0.013366	0.122548	0.01287	0.123202	1e-06	0.118628	1e-06	0.12101	1e-06	0.116518	1e-06	0.239535	0.933634	0.014857	1.038556	1.0	-5080.639	-5082.235	10000.0
5000	pheno_58	0.0	0.5	0.456741	0.204944	0.234407	1e-06	0.236421	1e-06	0.236579	0.129012	0.238622	0.13012	0.227958	1e-06	0.229916	1e-06	0.227307	0.074185	0.229278	0.074822	0.452862	0.788285	0.01983	0.991484	1.0	-2488.382	-2487.912	5000.0
10000	pheno_59	0.21	0.32328	0.231732	0.191857	0.117382	0.040849	0.117837	0.041009	0.120469	0.078532	0.120927	0.078839	0.11916	0.071727	0.119615	0.072008	0.116638	1e-06	0.117094	1e-06	0.230977	0.804997	0.014089	0.996107	1.0	-4984.193	-4984.298	10000.0
10000	pheno_60	0.266	0.30316	0.23254	0.164669	0.121248	0.062448	0.120314	0.061971	0.123254	0.067669	0.122304	0.067153	0.118779	0.01868	0.117873	0.018538	0.117046	0.017137	0.116153	0.017006	0.234517	0.841748	0.014252	1.007682	1.0	-5042.049	-5042.182	10000.0
5000	pheno_60	0.073	0.39325	0.461972	0.366158	0.236977	0.06459	0.237474	0.064728	0.240228	0.09175	0.240725	0.091947	0.234702	0.06715	0.235196	0.067294	0.23321	0.141885	0.233663	0.142189	0.460985	0.632486	0.019961	0.997861	1.0	-2498.164	-2498.2	5000.0
5000	pheno_61	0.003	0.47726	0.458563	0.805381	0.230386	0.013211	0.236579	0.013566	0.230715	0.08777	0.236898	0.090129	0.229177	0.1687	0.235266	0.173234	0.226247	0.514617	0.231629	0.52845	0.446452	0.189525	0.019499	0.973823	1.0	-2434.798	-2434.8	5000.0
10000	pheno_61	0.0	0.5	0.236066	0.02187	0.131312	1e-06	0.122422	1e-06	0.133283	0.019176	0.12426	0.017878	0.130039	1e-06	0.121235	1e-06	0.126375	0.004279	0.117819	0.00399	0.253565	1.049163	0.01556	1.072621	1.0	-5107.775	-5102.387	10000.0
10000	pheno_62	0.0	0.5	0.231413	0.257878	0.119108	1e-06	0.119744	1e-06	0.119797	0.045932	0.120434	0.046178	0.116784	0.101613	0.117389	0.102156	0.115185	0.108962	0.115776	0.109544	0.230242	0.738182	0.014069	0.99469	1.0	-4977.779	-4977.654	10000.0
10000	pheno_63	0.404	0.26252	0.230148	0.331994	0.120067	0.042978	0.121094	0.043347	0.120595	0.069181	0.121621	0.069775	0.116097	1e-06	0.117093	1e-06	0.114801	0.217011	0.115676	0.218872	0.228185	0.662326	0.014027	0.991497	1.0	-4960.021	-4960.223	10000.0
10000	pheno_64	0.0	0.5	0.230014	0.223564	0.122832	1e-06	0.119873	1e-06	0.122912	0.147027	0.119926	0.143484	0.119812	0.082055	0.116925	0.080078	0.118605	1e-06	0.115748	1e-06	0.235749	0.795603	0.014492	1.024687	1.0	-5128.439	-5127.909	10000.0
5000	pheno_65	2.398	0.060746	0.465024	0.626671	0.239896	0.331522	0.237071	0.327965	0.241437	0.301944	0.238654	0.298704	0.236881	1e-06	0.234339	1e-06	0.23323	1e-06	0.230727	1e-06	0.469928	0.377378	0.020231	1.010846	1.0	-2528.707	-2529.906	5000.0
10000	pheno_65	0.225	0.31772	0.231723	0.246356	0.119094	0.056348	0.12006	0.056809	0.120189	0.099051	0.121149	0.099862	0.117753	0.039381	0.118713	0.039703	0.114783	0.049577	0.115716	0.049983	0.229935	0.747528	0.01403	0.991885	1.0	-4962.786	-4962.898	10000.0
10000	pheno_66	0.754	0.19256	0.233037	0.240334	0.119639	0.059287	0.120792	0.059861	0.1225	1e-06	0.123686	1e-06	0.11655	1e-06	0.117678	1e-06	0.115952	0.178742	0.117007	0.180472	0.23087	0.752385	0.01401	0.990416	1.0	-4955.183	-4955.561	10000.0
5000	pheno_67	0.127	0.36072	0.469213	0.862763	0.239411	0.086429	0.238564	0.086131	0.238635	0.183866	0.237731	0.183233	0.23869	0.404782	0.237462	0.403387	0.231763	0.19067	0.230879	0.190013	0.470746	0.137711	0.020087	1.003458	1.0	-2510.404	-2510.467	5000.0
10000	pheno_68	0.907	0.17052	0.2321	0.146249	0.120363	0.113444	0.120808	0.113895	0.120145	1e-06	0.120623	1e-06	0.118607	0.017007	0.119078	0.017075	0.115687	0.015219	0.116146	0.015279	0.231392	0.85037	0.014088	0.99604	1.0	-4983.758	-4984.211	10000.0
5000	pheno_68	0.0	0.5	0.457176	0.185347	0.232513	1e-06	0.233633	1e-06	0.234986	0.164294	0.236065	0.165085	0.234947	0.020163	0.236079	0.02026	0.232149	1e-06	0.233266	1e-06	0.455154	0.81075	0.019907	0.995209	1.0	-2491.629	-2491.613	5000.0
500	pheno_69	0.0	0.5	5.95108	0.892504	4.432759	0.105384	3.068157	0.072937	3.996914	1e-06	2.766319	1e-06	3.856676	1e-06	2.669259	1e-06	4.255609	1.184148	2.946964	0.819565	8.599115	0.155316	0.110658	1.444849	1.0	-266.153	-250.415	500.0
5000	pheno_69	0.578	0.2235	0.463635	0.894301	0.239891	0.078294	0.234824	0.076642	0.24077	0.055206	0.235691	0.054041	0.23867	1e-06	0.233634	1e-06	0.239052	0.780077	0.232645	0.763617	0.473544	0.107978	0.02047	1.021555	1.0	-2553.193	-2553.482	5000.0
10000	pheno_70	0.0	0.5	0.233974	0.11264	0.120847	1e-06	0.120346	1e-06	0.1233	1e-06	0.122789	1e-06	0.118747	0.000429	0.118255	0.000427	0.117694	0.112678	0.117183	0.112211	0.235173	0.891052	0.014203	1.004162	1.0	-5025.534	-5025.384	10000.0
5000	pheno_71	0.491	0.24168	0.459696	0.244632	0.236791	0.112237	0.233825	0.110842	0.236593	0.135472	0.233624	0.133788	0.238691	1e-06	0.235724	1e-06	0.234189	1e-06	0.231278	1e-06	0.465573	0.764876	0.020255	1.012587	1.0	-2534.85	-2535.095	5000.0
10000	pheno_71	1.438	0.11521	0.230659	0.203469	0.123812	0.116796	0.120194	0.113409	0.124767	0.092748	0.121134	0.090058	0.121959	1e-06	0.118423	1e-06	0.120526	1e-06	0.11703	1e-06	0.237674	0.82032	0.014567	1.029865	1.0	-5150.484	-5151.203	10000.0
10000	pheno_72	3.602	0.028855	0.229555	0.593732	0.120592	0.223991	0.120497	0.22405	0.121687	0.368124	0.121389	0.368221	0.116782	0.001459	0.116813	0.00146	0.115143	1e-06	0.115173	1e-06	0.229362	0.406161	0.014158	0.999736	1.0	-4996.011	-4997.812	10000.0
500	pheno_73	0.025	0.43781	4.687319	0.999999	2.289576	0.26085	2.353313	0.268061	2.465212	0.488874	2.534176	0.502388	2.101393	0.223375	2.15995	0.22955	2.3279	1e-06	2.392251	1e-06	4.56123	1e-06	0.061721	0.9731	1.0	-246.065	-246.077	500.0
10000	pheno_73	0.0	0.5	0.23107	0.478141	0.118667	1e-06	0.119912	1e-06	0.120971	0.088147	0.122223	0.089072	0.118977	0.33277	0.119949	0.336261	0.113164	0.052258	0.114346	0.052806	0.228572	0.516441	0.014008	0.989617	1.0	-4947.466	-4947.451	10000.0
