tag	chrom	pos	pvalue	variant_id
Astle_et_al_2016_Eosinophil_counts	chr5	98905524	1.333e-10	rs11317778
Astle_et_al_2016_Eosinophil_counts	chr5	10624754	4.22e-10	rs10062687
Astle_et_al_2016_Eosinophil_counts	chr5	134284275	3.179e-09	rs62381364
Astle_et_al_2016_Eosinophil_counts	chr5	177330190	2.705e-08	rs12055081
Astle_et_al_2016_Eosinophil_counts	chr2	102349850	5.04e-89	rs10208293
Astle_et_al_2016_Eosinophil_counts	chr2	212959321	5.846e-53	rs12619285
Astle_et_al_2016_Eosinophil_counts	chr2	96535945	8.054e-39	rs2579500
Astle_et_al_2016_Eosinophil_counts	chr2	111142983	1.111e-26	rs17484848
Astle_et_al_2016_Eosinophil_counts	chr2	95731593	5.02e-26	rs11688555
Astle_et_al_2016_Eosinophil_counts	chr2	241759225	4.747e-24	rs34290285
Astle_et_al_2016_Eosinophil_counts	chr2	8298563	5.129e-16	rs346835
Astle_et_al_2016_Eosinophil_counts	chr2	241252274	8.288e-15	rs35533015
Astle_et_al_2016_Eosinophil_counts	chr2	233205886	1.501e-14	rs56235204
Astle_et_al_2016_Eosinophil_counts	chr2	97895188	8.073e-14	rs10184393
Astle_et_al_2016_Eosinophil_counts	chr2	101671373	8.041e-13	rs13022699
Astle_et_al_2016_Eosinophil_counts	chr2	111644640	1.427e-12	rs9308628
Astle_et_al_2016_Eosinophil_counts	chr2	97193560	2.027e-12	rs192033737
Astle_et_al_2016_Eosinophil_counts	chr2	230257374	1.383e-10	rs35643768
Astle_et_al_2016_Eosinophil_counts	chr2	28460795	2.19407302368416e-10	rs771463982
Astle_et_al_2016_Eosinophil_counts	chr2	61554859	9.759e-10	rs778756
Astle_et_al_2016_Eosinophil_counts	chr2	85520842	1.205e-08	rs28404046
Astle_et_al_2016_Eosinophil_counts	chr2	65429835	2.635e-08	rs7569084
Astle_et_al_2016_Eosinophil_counts	chr19	39735635	6.203e-58	rs395892
Astle_et_al_2016_Eosinophil_counts	chr19	16319338	1.299e-47	.
Astle_et_al_2016_Eosinophil_counts	chr19	45856536	1.86e-17	rs76793172
Astle_et_al_2016_Eosinophil_counts	chr19	3179519	1.221e-16	rs61731111
Astle_et_al_2016_Eosinophil_counts	chr19	45239644	1.046e-15	rs145605569
Astle_et_al_2016_Eosinophil_counts	chr19	1079960	4.03e-12	rs36084354
Astle_et_al_2016_Eosinophil_counts	chr19	48955005	1.038e-10	rs4645881
Astle_et_al_2016_Eosinophil_counts	chr19	38409359	1.66e-09	rs4802399
Astle_et_al_2016_Eosinophil_counts	chr21	35026289	1.66100184612563e-56	rs56117721
Astle_et_al_2016_Eosinophil_counts	chr21	33060745	7.3309936294701e-12	rs1000005
Astle_et_al_2016_Eosinophil_counts	chr21	37441870	3.331e-08	rs11702689
Astle_et_al_2016_Eosinophil_counts	chr7	20543532	4.995e-54	rs34025520
Astle_et_al_2016_Eosinophil_counts	chr7	75813412	4.222e-37	.
Astle_et_al_2016_Eosinophil_counts	chr7	149172185	1.689e-32	rs4727027
Astle_et_al_2016_Eosinophil_counts	chr7	92779056	1.838e-18	rs445
Astle_et_al_2016_Eosinophil_counts	chr7	22746098	1.2e-17	rs4722171
Astle_et_al_2016_Eosinophil_counts	chr7	37364044	5.128e-15	rs77972791
Astle_et_al_2016_Eosinophil_counts	chr7	3131386	3.754e-14	rs13223928
Astle_et_al_2016_Eosinophil_counts	chr7	50376454	2.374e-10	rs150640087
Astle_et_al_2016_Eosinophil_counts	chr7	113142501	7.848e-10	rs12705849
Astle_et_al_2016_Eosinophil_counts	chr7	128939988	1.007e-08	rs3778753
Astle_et_al_2016_Eosinophil_counts	chr4	38675441	1.654e-48	rs68191221
Astle_et_al_2016_Eosinophil_counts	chr4	82626709	1.046e-35	rs17005891
Astle_et_al_2016_Eosinophil_counts	chr4	102527974	8.913e-12	rs113473633
Astle_et_al_2016_Eosinophil_counts	chr4	122639784	1.15e-08	rs62324212
Astle_et_al_2016_Eosinophil_counts	chr17	4632019	2.353e-42	rs34210653
Astle_et_al_2016_Eosinophil_counts	chr17	7839283	7.457e-21	rs74480102
Astle_et_al_2016_Eosinophil_counts	chr17	67930488	4.163e-18	rs73338706
Astle_et_al_2016_Eosinophil_counts	chr17	46130157	4.12998952455244e-17	rs113758975
Astle_et_al_2016_Eosinophil_counts	chr17	45591089	2.658e-16	.
Astle_et_al_2016_Eosinophil_counts	chr17	46676279	2.72400131224087e-15	rs369332489
Astle_et_al_2016_Eosinophil_counts	chr17	49388381	5.212e-14	rs10667251
Astle_et_al_2016_Eosinophil_counts	chr17	40608272	9.44499720402761e-14	rs112401631
Astle_et_al_2016_Eosinophil_counts	chr17	43763481	1.9e-10	rs77697917
Astle_et_al_2016_Eosinophil_counts	chr17	39799302	2.126e-09	rs13313564
Astle_et_al_2016_Eosinophil_counts	chr17	75826516	2.986e-09	rs5822105
Astle_et_al_2016_Eosinophil_counts	chr17	5297265	7.085e-09	rs74827878
Astle_et_al_2016_Eosinophil_counts	chr11	76582714	2.041e-41	rs7936323
Astle_et_al_2016_Eosinophil_counts	chr11	65897785	7.032e-24	rs634534
Astle_et_al_2016_Eosinophil_counts	chr11	309127	7.953e-19	.
Astle_et_al_2016_Eosinophil_counts	chr11	128315955	4.23600665231864e-15	rs10893844
Astle_et_al_2016_Eosinophil_counts	chr11	108294680	2.5380038741242e-13	rs582297
Astle_et_al_2016_Eosinophil_counts	chr11	61803910	2.095e-12	rs174549
Astle_et_al_2016_Eosinophil_counts	chr11	116934348	1.282e-11	rs77204473
Astle_et_al_2016_Eosinophil_counts	chr11	57416686	2.648e-08	rs76902697
Astle_et_al_2016_Eosinophil_counts	chr16	11116590	4.696e-38	rs12935413
Astle_et_al_2016_Eosinophil_counts	chr16	30091839	1.007e-17	rs3809627
Astle_et_al_2016_Eosinophil_counts	chr16	2786026	2.776e-15	rs7195287
Astle_et_al_2016_Eosinophil_counts	chr16	88493354	7.145e-14	rs118090537
Astle_et_al_2016_Eosinophil_counts	chr16	27332642	2.115e-12	rs4787951
Astle_et_al_2016_Eosinophil_counts	chr16	85776743	7.391e-11	rs301161
Astle_et_al_2016_Eosinophil_counts	chr16	48580382	1.656e-10	rs9931123
Astle_et_al_2016_Eosinophil_counts	chr16	30612658	2.17e-10	rs67693285
Astle_et_al_2016_Eosinophil_counts	chr16	68260897	6.10999748720628e-10	
Astle_et_al_2016_Eosinophil_counts	chr16	67713403	2.287e-09	rs62059344
Astle_et_al_2016_Eosinophil_counts	chr16	79616159	2.50399921068081e-08	rs2348180
Astle_et_al_2016_Eosinophil_counts	chr16	57385075	4.552e-08	rs2239354
Astle_et_al_2016_Eosinophil_counts	chr14	23119848	1.018e-32	rs2239633
Astle_et_al_2016_Eosinophil_counts	chr14	93951185	1.144e-20	rs11555542
Astle_et_al_2016_Eosinophil_counts	chr14	75509305	1.88900249273379e-18	rs175705
Astle_et_al_2016_Eosinophil_counts	chr14	35413286	9.303e-14	rs8020739
Astle_et_al_2016_Eosinophil_counts	chr14	92620573	3.66e-13	rs8010344
Astle_et_al_2016_Eosinophil_counts	chr14	24992783	2.289e-09	rs2038700
Astle_et_al_2016_Eosinophil_counts	chr14	103316504	1.385e-08	rs10135205
Astle_et_al_2016_Eosinophil_counts	chr14	55297613	4.15600147323699e-08	rs12050099
Astle_et_al_2016_Eosinophil_counts	chr10	62628871	1.49199982754671e-32	rs10995240
Astle_et_al_2016_Eosinophil_counts	chr10	9001441	1.806e-28	rs61840192
Astle_et_al_2016_Eosinophil_counts	chr10	26447311	9.628e-23	rs3006802
Astle_et_al_2016_Eosinophil_counts	chr10	921141	2.58e-21	rs12259720
Astle_et_al_2016_Eosinophil_counts	chr10	92690476	5.783e-16	.
Astle_et_al_2016_Eosinophil_counts	chr10	87895485	2.166e-15	rs3831732
Astle_et_al_2016_Eosinophil_counts	chr10	28491444	8.94e-13	rs2998286
Astle_et_al_2016_Eosinophil_counts	chr10	113588287	7.356e-09	rs7080536
Astle_et_al_2016_Eosinophil_counts	chr10	8073399	7.378e-09	rs10905284
Astle_et_al_2016_Eosinophil_counts	chr8	129592026	8.856e-32	rs11327184
Astle_et_al_2016_Eosinophil_counts	chr8	127992729	6.919e-21	rs11786130
Astle_et_al_2016_Eosinophil_counts	chr8	60724328	6.267e-16	rs35914442
Astle_et_al_2016_Eosinophil_counts	chr8	144103704	8.758e-16	rs34173062
Astle_et_al_2016_Eosinophil_counts	chr8	23099490	1.345e-14	rs12545733
Astle_et_al_2016_Eosinophil_counts	chr8	47739071	6.267e-13	rs45577137
Astle_et_al_2016_Eosinophil_counts	chr8	47131750	8.039e-11	rs144005143
Astle_et_al_2016_Eosinophil_counts	chr8	118930591	8.925e-10	rs6469787
Astle_et_al_2016_Eosinophil_counts	chr8	46625942	5.313e-09	rs144417742
Astle_et_al_2016_Eosinophil_counts	chr8	46095429	4.423e-08	rs117615082
Astle_et_al_2016_Eosinophil_counts	chr8	43851234	4.72599863897992e-08	rs116868734
Astle_et_al_2016_Eosinophil_counts	chr6	90246690	1.205e-27	rs62408225
Astle_et_al_2016_Eosinophil_counts	chr6	107122949	2.1e-21	.
Astle_et_al_2016_Eosinophil_counts	chr6	577820	5.346e-21	rs9504361
Astle_et_al_2016_Eosinophil_counts	chr6	135103041	4.94000051896001e-20	rs35959442
Astle_et_al_2016_Eosinophil_counts	chr6	42229969	1.243e-10	rs61612642
Astle_et_al_2016_Eosinophil_counts	chr6	34562454	1.708e-09	rs76353498
Astle_et_al_2016_Eosinophil_counts	chr6	35456109	1.716e-09	rs7761870
Astle_et_al_2016_Eosinophil_counts	chr18	63253621	6.818e-25	rs17758695
Astle_et_al_2016_Eosinophil_counts	chr1	199043349	1.012e-20	rs1036332
Astle_et_al_2016_Eosinophil_counts	chr1	150623061	5.282e-19	rs11204682
Astle_et_al_2016_Eosinophil_counts	chr1	12039288	2.012e-15	rs35249183
Astle_et_al_2016_Eosinophil_counts	chr1	101160327	6.626e-15	rs1754541
Astle_et_al_2016_Eosinophil_counts	chr1	41902668	9.82798928189795e-15	rs2786487
Astle_et_al_2016_Eosinophil_counts	chr1	87286317	2.17800335525594e-14	rs6684992
Astle_et_al_2016_Eosinophil_counts	chr1	64957764	5.931e-14	rs12408934
Astle_et_al_2016_Eosinophil_counts	chr1	93272958	1.002e-12	rs35797862
Astle_et_al_2016_Eosinophil_counts	chr1	8444361	1.713e-12	rs159963
Astle_et_al_2016_Eosinophil_counts	chr1	23872874	2.025e-11	rs2501426
Astle_et_al_2016_Eosinophil_counts	chr1	9295413	1.305e-10	rs2072735
Astle_et_al_2016_Eosinophil_counts	chr1	220878224	7.303e-09	rs41369048
Astle_et_al_2016_Eosinophil_counts	chr1	78946283	2.029e-08	.
Astle_et_al_2016_Eosinophil_counts	chr1	167236865	2.909e-08	rs10918669
Astle_et_al_2016_Eosinophil_counts	chr1	77353330	3.00000069521389e-08	rs7532748
Astle_et_al_2016_Eosinophil_counts	chr1	172822372	3.032e-08	rs12141975
Astle_et_al_2016_Eosinophil_counts	chr15	79965405	1.637e-19	rs8033923
Astle_et_al_2016_Eosinophil_counts	chr15	67156561	5.289e-11	rs8032739
Astle_et_al_2016_Eosinophil_counts	chr15	90630469	1.884e-09	rs6496712
Astle_et_al_2016_Eosinophil_counts	chr13	99225217	1.306e-18	rs7332672
Astle_et_al_2016_Eosinophil_counts	chr13	40650150	1.399e-13	rs71718386
Astle_et_al_2016_Eosinophil_counts	chr13	39781776	1.323e-11	rs9532434
Astle_et_al_2016_Eosinophil_counts	chr13	50237084	7.899e-09	rs9591325
Astle_et_al_2016_Eosinophil_counts	chr22	41008935	8.532e-18	rs743002
Astle_et_al_2016_Eosinophil_counts	chr22	36862461	4.982e-13	rs4821544
Astle_et_al_2016_Eosinophil_counts	chr22	31272264	1.029e-11	rs13056815
Astle_et_al_2016_Eosinophil_counts	chr22	24225858	2.31e-09	rs7288670
Astle_et_al_2016_Eosinophil_counts	chr22	41539281	4.136e-08	rs12483991
Astle_et_al_2016_Eosinophil_counts	chr20	31695366	1.403e-08	rs77962418
Astle_et_al_2016_Eosinophil_counts	chr20	51524602	1.849e-08	rs6021268
Astle_et_al_2016_Eosinophil_counts	chr20	17649400	2.629e-08	rs3790315
Astle_et_al_2016_Granulocyte_count	chr17	40007042	4.78e-242	rs12600856
Astle_et_al_2016_Granulocyte_count	chr17	39423130	6.537e-31	rs145835664
Astle_et_al_2016_Granulocyte_count	chr17	16265470	3.878e-26	rs12936529
Astle_et_al_2016_Granulocyte_count	chr17	59797931	1.199e-17	rs2665405
Astle_et_al_2016_Granulocyte_count	chr17	58279141	5.787e-17	rs56378716
Astle_et_al_2016_Granulocyte_count	chr17	59070020	1.505e-11	rs150414780
Astle_et_al_2016_Granulocyte_count	chr17	1464058	3.644e-10	rs8066044
Astle_et_al_2016_Granulocyte_count	chr17	7839283	5.915e-10	rs74480102
Astle_et_al_2016_Granulocyte_count	chr17	38437622	6.943e-10	.
Astle_et_al_2016_Granulocyte_count	chr17	40625713	1.374e-09	rs563464867
Astle_et_al_2016_Granulocyte_count	chr17	45899318	2.025e-09	.
Astle_et_al_2016_Granulocyte_count	chr17	74703245	2.761e-09	rs749780
Astle_et_al_2016_Granulocyte_count	chr17	7337072	1.713e-08	rs61759532
Astle_et_al_2016_Granulocyte_count	chr17	43020464	3.629e-08	rs28678167
Astle_et_al_2016_Granulocyte_count	chr4	74094279	1e-84	rs11725704
Astle_et_al_2016_Granulocyte_count	chr4	54542832	1.968e-16	rs218265
Astle_et_al_2016_Granulocyte_count	chr4	711285	6.555e-11	rs11734460
Astle_et_al_2016_Granulocyte_count	chr4	105140377	1.325e-10	rs7679673
Astle_et_al_2016_Granulocyte_count	chr4	71752058	1.399e-10	rs1352846
Astle_et_al_2016_Granulocyte_count	chr4	82631138	3.249e-10	rs28476539
Astle_et_al_2016_Granulocyte_count	chr4	7045375	1.114e-09	rs11931598
Astle_et_al_2016_Granulocyte_count	chr4	144110688	2.193e-08	rs13125760
Astle_et_al_2016_Granulocyte_count	chr4	119247433	2.699e-08	rs13139045
Astle_et_al_2016_Granulocyte_count	chr7	28684757	5.954e-78	rs56388170
Astle_et_al_2016_Granulocyte_count	chr7	92779056	2.109e-65	rs445
Astle_et_al_2016_Granulocyte_count	chr7	44969742	3.356e-11	rs3735485
Astle_et_al_2016_Granulocyte_count	chr7	7978549	3.448e-09	rs7804306
Astle_et_al_2016_Granulocyte_count	chr7	47408324	3.521e-09	rs834603
Astle_et_al_2016_Granulocyte_count	chr7	50218107	3.68500448999123e-09	rs11769630
Astle_et_al_2016_Granulocyte_count	chr7	28099020	1.824e-08	rs6958010
Astle_et_al_2016_Granulocyte_count	chr7	6664701	2.975e-08	rs2251188
Astle_et_al_2016_Granulocyte_count	chr19	43648948	1.031e-66	rs4760
Astle_et_al_2016_Granulocyte_count	chr19	45241584	1.316e-34	rs73036517
Astle_et_al_2016_Granulocyte_count	chr19	48624233	6.28e-13	rs386243
Astle_et_al_2016_Granulocyte_count	chr19	18404931	2.025e-12	rs11668719
Astle_et_al_2016_Granulocyte_count	chr19	7782850	8.785e-11	rs1968252
Astle_et_al_2016_Granulocyte_count	chr19	1049306	1.005e-10	rs4147915
Astle_et_al_2016_Granulocyte_count	chr19	10222312	7.43e-09	rs10409243
Astle_et_al_2016_Granulocyte_count	chr19	51376740	2.529e-08	rs34733715
Astle_et_al_2016_Granulocyte_count	chr11	308314	8.096e-48	rs14408
Astle_et_al_2016_Granulocyte_count	chr11	61812288	6.746e-14	rs174555
Astle_et_al_2016_Granulocyte_count	chr11	114086475	1.422e-12	rs2846630
Astle_et_al_2016_Granulocyte_count	chr11	108378047	1.1670007269137e-10	rs192022
Astle_et_al_2016_Granulocyte_count	chr11	128459018	9.047e-10	rs8705
Astle_et_al_2016_Granulocyte_count	chr11	118251337	1.97799989804149e-08	rs1715460
Astle_et_al_2016_Granulocyte_count	chr11	60200334	4.726e-08	rs28628869
Astle_et_al_2016_Granulocyte_count	chr8	60738272	1.59200350021087e-38	rs7846314
Astle_et_al_2016_Granulocyte_count	chr8	129605904	4.261e-25	rs59697075
Astle_et_al_2016_Granulocyte_count	chr8	141328677	5.288e-15	rs13249310
Astle_et_al_2016_Granulocyte_count	chr8	30423114	9.991e-13	rs2979488
Astle_et_al_2016_Granulocyte_count	chr8	10848901	1.25499934066548e-12	rs1991651
Astle_et_al_2016_Granulocyte_count	chr8	9061626	2.454e-12	rs3021416
Astle_et_al_2016_Granulocyte_count	chr8	23109256	3.202e-12	rs12550612
Astle_et_al_2016_Granulocyte_count	chr8	11534584	5.364e-12	rs2248909
Astle_et_al_2016_Granulocyte_count	chr8	67900953	5.59300619873742e-12	rs12542907
Astle_et_al_2016_Granulocyte_count	chr8	8237348	2.689e-11	rs2980439
Astle_et_al_2016_Granulocyte_count	chr8	125473052	1.11499966542447e-10	rs2954027
Astle_et_al_2016_Granulocyte_count	chr8	55878685	3.008e-10	rs2271400
Astle_et_al_2016_Granulocyte_count	chr8	102840179	9.894e-10	rs2436845
Astle_et_al_2016_Granulocyte_count	chr8	10261767	3.28e-09	rs2975681
Astle_et_al_2016_Granulocyte_count	chr8	54509880	9.106e-09	rs10104003
Astle_et_al_2016_Granulocyte_count	chr8	7048518	1.05e-08	rs11137087
Astle_et_al_2016_Granulocyte_count	chr10	97314215	3.572e-38	rs397933924
Astle_et_al_2016_Granulocyte_count	chr10	24922362	2.209e-32	rs12266014
Astle_et_al_2016_Granulocyte_count	chr10	28491444	1.514e-23	rs2998286
Astle_et_al_2016_Granulocyte_count	chr10	63250912	4.826e-22	rs10995477
Astle_et_al_2016_Granulocyte_count	chr10	44386212	2.677e-09	rs17885289
Astle_et_al_2016_Granulocyte_count	chr10	79285523	7.061e-09	rs1250568
Astle_et_al_2016_Granulocyte_count	chr10	89245159	1.252e-08	rs2246941
Astle_et_al_2016_Granulocyte_count	chr10	13516641	2.599e-08	rs10752308
Astle_et_al_2016_Granulocyte_count	chr10	71760875	4.42e-08	rs3747869
Astle_et_al_2016_Granulocyte_count	chr1	36478315	5.76496861492595e-38	rs3917932
Astle_et_al_2016_Granulocyte_count	chr1	65640261	3.97e-37	rs1892534
Astle_et_al_2016_Granulocyte_count	chr1	159205704	8.62e-29	rs34599082
Astle_et_al_2016_Granulocyte_count	chr1	235926855	5.135e-26	rs2208568
Astle_et_al_2016_Granulocyte_count	chr1	247438293	2.482e-18	rs12239046
Astle_et_al_2016_Granulocyte_count	chr1	56439852	1.448e-15	rs1999537
Astle_et_al_2016_Granulocyte_count	chr1	113834946	5.469e-13	rs2476601
Astle_et_al_2016_Granulocyte_count	chr1	226986191	1.29900055534242e-12	rs17592479
Astle_et_al_2016_Granulocyte_count	chr1	161650299	1.96900147297492e-11	rs61804160
Astle_et_al_2016_Granulocyte_count	chr1	78946283	2.96e-11	.
Astle_et_al_2016_Granulocyte_count	chr1	8850483	3.33e-11	rs6661010
Astle_et_al_2016_Granulocyte_count	chr1	108200437	5.00500289356166e-11	rs663045
Astle_et_al_2016_Granulocyte_count	chr1	45980424	2.666e-10	rs72692639
Astle_et_al_2016_Granulocyte_count	chr1	207860984	5.783e-09	rs4844622
Astle_et_al_2016_Granulocyte_count	chr1	198405626	1.446e-08	.
Astle_et_al_2016_Granulocyte_count	chr1	27861750	2.129e-08	rs12142239
Astle_et_al_2016_Granulocyte_count	chr1	111062201	2.907e-08	rs1149193
Astle_et_al_2016_Granulocyte_count	chr1	26795439	4.158e-08	rs146091102
Astle_et_al_2016_Granulocyte_count	chr1	224466921	4.237e-08	rs35915186
Astle_et_al_2016_Granulocyte_count	chr5	173778222	5.639e-24	rs791357
Astle_et_al_2016_Granulocyte_count	chr5	132371737	9.305e-23	rs2631360
Astle_et_al_2016_Granulocyte_count	chr5	1285859	9.803e-19	rs7705526
Astle_et_al_2016_Granulocyte_count	chr5	148820990	1.447e-18	rs2082382
Astle_et_al_2016_Granulocyte_count	chr5	142159774	2.2e-17	rs249677
Astle_et_al_2016_Granulocyte_count	chr5	69297096	1.911e-15	rs72767881
Astle_et_al_2016_Granulocyte_count	chr5	72432861	1.077e-14	rs2338224
Astle_et_al_2016_Granulocyte_count	chr5	179757487	5.515e-12	rs76025697
Astle_et_al_2016_Granulocyte_count	chr5	140904631	6.897e-09	rs150616068
Astle_et_al_2016_Granulocyte_count	chr5	157050529	2.741e-08	rs1393209
Astle_et_al_2016_Granulocyte_count	chr14	24992783	1.149e-23	rs2038700
Astle_et_al_2016_Granulocyte_count	chr14	92648442	2.273e-13	rs72699866
Astle_et_al_2016_Granulocyte_count	chr14	77396336	2.042e-12	rs11361923
Astle_et_al_2016_Granulocyte_count	chr14	68713254	4.878e-11	rs10138752
Astle_et_al_2016_Granulocyte_count	chr3	128603030	2.174e-23	rs11359909
Astle_et_al_2016_Granulocyte_count	chr3	42854959	3.926e-12	rs9872440
Astle_et_al_2016_Granulocyte_count	chr3	141208279	9.562e-12	rs143699489
Astle_et_al_2016_Granulocyte_count	chr3	47220756	5.164e-09	rs11920354
Astle_et_al_2016_Granulocyte_count	chr3	183984301	2.107e-08	rs3749440
Astle_et_al_2016_Granulocyte_count	chr6	109286353	5.496e-22	rs9400271
Astle_et_al_2016_Granulocyte_count	chr6	135098550	1.555e-17	rs9402685
Astle_et_al_2016_Granulocyte_count	chr6	87130023	5.01e-15	rs9344678
Astle_et_al_2016_Granulocyte_count	chr6	16744456	8.15e-13	rs1144700
Astle_et_al_2016_Granulocyte_count	chr6	159049026	2.249e-12	rs212409
Astle_et_al_2016_Granulocyte_count	chr6	21381296	1.656e-11	rs6917586
Astle_et_al_2016_Granulocyte_count	chr6	22359846	4.697e-09	rs113856477
Astle_et_al_2016_Granulocyte_count	chr6	22880684	8.494e-09	rs6928836
Astle_et_al_2016_Granulocyte_count	chr6	42548053	9.678e-09	rs16895831
Astle_et_al_2016_Granulocyte_count	chr6	43790159	1.371e-08	rs998584
Astle_et_al_2016_Granulocyte_count	chr6	7211518	1.848e-08	rs1334577
Astle_et_al_2016_Granulocyte_count	chr6	41739097	3.161e-08	rs76361738
Astle_et_al_2016_Granulocyte_count	chr6	35208770	4.971e-08	rs914547
Astle_et_al_2016_Granulocyte_count	chr2	113106194	1.966e-21	rs2029582
Astle_et_al_2016_Granulocyte_count	chr2	27508073	6.813e-18	rs1260326
Astle_et_al_2016_Granulocyte_count	chr2	218156235	2.081e-17	rs114050631
Astle_et_al_2016_Granulocyte_count	chr2	168850752	6.048e-15	.
Astle_et_al_2016_Granulocyte_count	chr2	236867522	1.67200222622833e-13	rs9287604
Astle_et_al_2016_Granulocyte_count	chr2	181443625	1.077e-12	rs6740847
Astle_et_al_2016_Granulocyte_count	chr2	159712765	8.023e-12	rs10173538
