sd	title	module	run_ids	location	n_files	bytes	in_git	distribution	status	donor_ids	notes
6	Repeat and repressive chromatin architecture	04_repeat_repressive_architecture	rra-AA-{caudate,dlpfc,hippocampus}-20260906	04_repeat_repressive_architecture/_m/runs/rra-AA-*-20260906/results/{control-outcomes,covariate-completeness,descriptive-matched-balance,descriptive-matched-measurability,descriptive-snp-proximal,secondary-predictor-descriptive,interpretation-claims}.tsv	15	59247	no	zenodo	ready	no	Specificity controls, denominators, matched-design balance, and the claim/constraint rows. LINE/L1 excludes caudate; H3K9me3 fails its gate.
6	Repeat and repressive chromatin architecture	04_repeat_repressive_architecture	rra-AA-{caudate,dlpfc,hippocampus}-20260906	04_repeat_repressive_architecture/_m/runs/rra-AA-*-20260906/results/liftover-report.tsv	3	983060	no	zenodo	ready	no	hg19->hg38 liftover accounting for the external chromatin tracks.
7	CpG-level cis-meQTL and VMR burden	05_cpg_meqtl_burden	cmb-AA-{caudate,dlpfc,hippocampus}-20260825	05_cpg_meqtl_burden/_m/runs/cmb-AA-*-20260825/results/cpg-meqtl-results.tsv	3	120682566	no	zenodo	ready	no	One permutation-based lead cis-meQTL per tested CpG. Replaces v1 SD10.
7	CpG-level cis-meQTL and VMR burden	05_cpg_meqtl_burden	cmb-AA-{caudate,dlpfc,hippocampus}-20260825	05_cpg_meqtl_burden/_m/runs/cmb-AA-*-20260825/results/{burden-decision,burden-extreme-groups,burden-primary-model,burden-qc-criteria,cpg-set-summary,exclusion-reasons}.tsv	18	8143	no	zenodo	ready	no	VMR-level burden model, QC and denominators. Convergent evidence, not independent replication.
7	CpG-level cis-meQTL and VMR burden	05_cpg_meqtl_burden	cmb-AA-{caudate,dlpfc,hippocampus}-20260825	05_cpg_meqtl_burden/_m/runs/cmb-AA-*-20260825/results/excluded-cpgs.tsv	3	392825	no	zenodo	ready	no	CpGs dropped before testing, with reasons.
7	CpG-level cis-meQTL and VMR burden	05_cpg_meqtl_burden	cmb-AA-{caudate,dlpfc,hippocampus}-20260825	05_cpg_meqtl_burden/_m/runs/cmb-AA-*-20260825/results/meqtl/	198	32726668238	no	quest	excluded	no	Full nominal tensorQTL output, ~14 GB/region. The lead-per-CpG table above is the deposited summary.
8	Stratified LD score regression	06_partitioned_heritability	sldsc-AA-{caudate,dlpfc,hippocampus}-20260903	06_partitioned_heritability/_m/runs/sldsc-AA-*-20260903/results/sldsc/*.results	24	494202	no	zenodo	ready	no	S-LDSC coefficients per trait x region over the frozen 8-trait family. Replaces v1 SD4.
8	Stratified LD score regression	06_partitioned_heritability	sldsc-AA-{caudate,dlpfc,hippocampus}-20260903	06_partitioned_heritability/_m/runs/sldsc-AA-*-20260903/results/{sldsc/*.metrics.tsv,sldsc-metrics.tsv,partitioned-h2-decision.tsv}	30	21790	no	zenodo	ready	no	Per-trait metrics and the PASS_PARTITIONED_H2_QC row. Result is null: 0 brain and 0 control traits FDR-significant.
8	Stratified LD score regression	06_partitioned_heritability	sldsc-AA-{caudate,dlpfc,hippocampus}-20260903	06_partitioned_heritability/_m/runs/sldsc-AA-*-20260903/results/sldsc/*.log	24	131918	no	quest	excluded	no	ldsc stdout; reproducible from the inputs.
9	Transcription and splicing coupling	07_transcription_splicing_coupling	tsc-AA-{caudate,dlpfc,hippocampus}-20260902	07_transcription_splicing_coupling/_m/runs/tsc-AA-*-20260902/results/*-pair-associations.tsv.gz	9	40228697	no	zenodo	ready	no	VMR-gene and VMR-PSI pair associations for the ABC, nearest-gene and splicing modalities.
9	Transcription and splicing coupling	07_transcription_splicing_coupling	tsc-AA-{caudate,dlpfc,hippocampus}-20260902	07_transcription_splicing_coupling/_m/runs/tsc-AA-*-20260902/results/*-vmr-summary.tsv	9	8214965	no	zenodo	ready	no	Per-VMR coupling summary per modality.
9	Transcription and splicing coupling	07_transcription_splicing_coupling	tsc-AA-{caudate,dlpfc,hippocampus}-20260902	07_transcription_splicing_coupling/_m/runs/tsc-AA-*-20260902/results/{coupling-tests,coupling-decision,coupling-model-frame,tested-universe}.tsv	12	3873786	no	zenodo	ready	no	The 9 prespecified tests, the model frame and the tested universe. Association only; no mediation or causal claim.
9	Transcription and splicing coupling	07_transcription_splicing_coupling	tsc-AA-{caudate,dlpfc,hippocampus}-20260902	07_transcription_splicing_coupling/_m/runs/tsc-AA-*-20260902/results/*-realised-universe.tsv	9	3048	no	zenodo	ready	no	Denominators actually realised per modality (AGENTS.md 11).
10	Region and donor generalization	08_region_donor_generalization	rdg-AA-crossregion-20260918	08_region_donor_generalization/_m/runs/rdg-AA-crossregion-20260918/results/*.tsv	13	376125	no	zenodo	ready	no	All 14 outputs: tier 1 replication (12/16 families in 3 regions), tier 2 identified differences (1/154), tier 3 caudate downsampling (A=0.1426), donor-group concordance, tiers and QC.
10	Region and donor generalization	08_region_donor_generalization	rdg-AA-crossregion-20260918	08_region_donor_generalization/_m/runs/rdg-AA-crossregion-20260918/results/interpretation-constraints.txt	1	5468	no	zenodo	ready	no	Standing constraint text. Caudate is batch 3; residual excess may NOT be called biological.
11	Schizophrenia risk application	09_schizophrenia_risk_application	scz-AA-{caudate,dlpfc,hippocampus}-20260918	09_schizophrenia_risk_application/_m/combined/scz-*-AA.tsv	17	3178115	partial	git+zenodo	ready	no	The cross-region decision rows behind decisions 1 and 2: CAUDATE_MAGNITUDE_CLAIM_NOT_SUPPORTED and RETAIN_MAIN_TEXT.
11	Schizophrenia risk application	09_schizophrenia_risk_application	scz-AA-{caudate,dlpfc,hippocampus}-20260918	09_schizophrenia_risk_application/_m/runs/scz-AA-*-20260918/results/{scz-loci,scz-index-snps,locus-definition-summary,vmr-scz-linkage,locus-vmr-links,locus-evidence,locus-meqtl-support,locus-coupling,locus-coupling-by-modality,prioritized-loci}.tsv	30	7424180	no	zenodo	ready	no	Locus definition, VMR-to-locus linkage and the evidence ladder. Replaces v1 SD15.
11	Schizophrenia risk application	09_schizophrenia_risk_application	scz-AA-{caudate,dlpfc,hippocampus}-20260918	09_schizophrenia_risk_application/_m/runs/scz-AA-*-20260918/results/{coloc-abf.tsv.gz,coloc-susie.tsv,coloc-locus-summary.tsv,coloc-locus-gate-eligible.tsv,gtex-support.tsv,gtex-support-pairs.tsv.gz}	18	23296295	no	zenodo	ready	no	Colocalization and GTEx support. 232/175/174 claimable ancestry-matched colocalizations.
11	Schizophrenia risk application	09_schizophrenia_risk_application	scz-AA-{caudate,dlpfc,hippocampus}-20260918	09_schizophrenia_risk_application/_m/runs/scz-AA-*-20260918/results/{architecture-axis-tests,architecture-axis-descriptive,integration-enrichment,risk-variant-test-summary,retention-criteria,tested-universe,scz-decision}.tsv	21	16803	no	zenodo	ready	no	The axis test (lower_in_scz_linked, significant in all three regions), enrichment, denominators and the decision row.
11	Schizophrenia risk application	09_schizophrenia_risk_application	scz-AA-{caudate,dlpfc,hippocampus}-20260918	09_schizophrenia_risk_application/_m/runs/scz-AA-*-20260918/results/risk-variant-cpg-tests.tsv.gz	3	30602669	no	zenodo	ready	no	Per risk-variant x CpG tests underlying the meQTL support column.
11	Schizophrenia risk application	09_schizophrenia_risk_application	scz-AA-{caudate,dlpfc,hippocampus}-20260918	09_schizophrenia_risk_application/_m/combined/scz-{negative-control,locus-architecture}-*-AA.tsv	7	924858	no	git+zenodo	ready	no	Stage 17 negative-control traits (114 harmonized GWAS, read by category) and stage 18 locus architecture. config/gwas_negative_controls.yml was PI-locked 2026-09-20 and both stages were re-run against the accepted Module 09 runs, so these are the unsuffixed citable tables (built_with_unaccepted_runs = FALSE); the -UNACCEPTED copies were removed. Post hoc sensitivities that QUALIFY Module 09 and change neither decision. The axis depletion is trait-general -- never cite these as showing a schizophrenia-specific effect -- and no trait reaches q<0.05 for LINE/L1 enrichment in any region or arm.
11	Schizophrenia risk application	09_schizophrenia_risk_application	n/a (external download)	09_schizophrenia_risk_application/_m/combined/negative-control-gwas/	137	56044619	no	none	external	no	118 public GWAS files lifted to hg38, 55 MB. Not generated here; cite the sources in config/gwas_negative_controls.yml instead of redepositing.
12	Aging application	09b_aging_application	age-AA-{caudate,dlpfc,hippocampus}-20260919	09b_aging_application/_m/combined/aging-*-AA.tsv	7	230833	yes	git+zenodo	ready	no	Cross-region collation incl. the 2,000-draw paired-donor bootstrap. Decision NOT_SUPPORTED.
12	Aging application	09b_aging_application	age-AA-{caudate,dlpfc,hippocampus}-20260919	09b_aging_application/_m/runs/age-AA-*-20260919/results/vmr-age-effects.tsv	3	22540699	no	zenodo	ready	no	Per-VMR age effects per spec: beta_age_per_decade, se, t, p, descriptive q. Cross-sectional: 'age-associated differences', never 'change'.
12	Aging application	09b_aging_application	age-AA-{caudate,dlpfc,hippocampus}-20260919	09b_aging_application/_m/runs/age-AA-*-20260919/results/{axis-tests,axis-quartile-summary,age-spec-summary,gating-sensitivities,gate-checks,aging-decision,diagnostic-methpc-age,annotation-age-associations,excluded-vmrs}.tsv	27	143501	no	zenodo	ready	no	Axis tests with the permutation null, the gating sensitivities that fail (cell_composition_r2), and the methPC-age diagnostic (max rho 0.64).
13	Environmental exposure exploratory supplement	10_environmental_exploratory	env-AA-{caudate,dlpfc,hippocampus}-20260920-a (SEALED, NOT ACCEPTED)	10_environmental_exploratory/_m/combined/environmental-*-AA.tsv	8	101498	yes	git+zenodo	ready	no	Reader-facing collation: 19 axis families, 12 FDR-surviving VMR pairs, eligibility, decision, gates, provenance. citable=FALSE until the runs are accepted.
13	Environmental exposure exploratory supplement	10_environmental_exploratory	env-AA-{caudate,dlpfc,hippocampus}-20260920-a (SEALED, NOT ACCEPTED)	10_environmental_exploratory/_m/runs/env-AA-*-20260920-a/results/vmr-exposure-association.tsv	3	47573417	no	zenodo	ready	no	Full per-VMR scan and the direct input to stage B (_h/03_control_axis_test.R). Required to recompute the reported BH q values, which the 12-row subset cannot support.
13	Environmental exposure exploratory supplement	10_environmental_exploratory	env-AA-{caudate,dlpfc,hippocampus}-20260920-a (SEALED, NOT ACCEPTED)	10_environmental_exploratory/_m/runs/env-AA-*-20260920-a/results/vmr-exposure-association-terms.tsv	3	78280822	no	quest	partial_deposit	no	Only signed betas in the module; omega is squared and signless. Nothing downstream reads this. Deposit only the 12 FDR-surviving VMRs' term rows, and only if the text makes a directional claim.
13	Environmental exposure exploratory supplement	10_environmental_exploratory	env-AA-{caudate,dlpfc,hippocampus}-20260920-a (SEALED, NOT ACCEPTED)	10_environmental_exploratory/_m/runs/env-AA-*-20260920-a/results/per-chrom/	66	78292036	no	quest	excluded	no	The terms file sharded 22 ways. Pure duplication.
14	Figure source data and manuscript number registry	11_integrated_manuscript_outputs	fig-all-20260922-c	11_integrated_manuscript_outputs/_m/runs/fig-all-20260922-c/{source_data,tables}/*.tsv	124	8308548	no	zenodo	ready	no	Per-panel figure source data plus the manuscript number registry, analysis-to-claim matrix, exclusions/denominator table, supplementary-table index and software manifest. Built 2026-09-22 as fig-all-20260922-c on the rescored lgv-AA-*-rescore-20260913 score and the re-run, now citable, Module 09 stage 17/18 tables. The run carries a code/ snapshot of _h/ and config/ and records git_dirty = false, so the code that produced it is recoverable from the run itself; earlier builds did not, which is why fig-all-20260920 and fig-all-20260922{,-a,-b} are superseded (see DEPRECATED_RUNS.tsv). The registry is derived from what the figure builders actually rendered, so it is a record rather than a second list. Every panel carries its source run ID, table, script and row filter (AGENTS.md 7.11). Accepted 2026-09-22 (ACCEPTED_MANUSCRIPT_OUTPUTS); see the Accepted runs table in 11_integrated_manuscript_outputs/README.md.
