chr	start	end	LRT_Variance	Pval_Variance	Sum of V(G)_Vp_SE	Sum of V(G)_Vp_Variance	V(G1)_SE	V(G1)_Variance	V(G1)_Vp_SE	V(G1)_Vp_Variance	V(G2)_SE	V(G2)_Variance	V(G2)_Vp_SE	V(G2)_Vp_Variance	V(G3)_SE	V(G3)_Variance	V(G3)_Vp_SE	V(G3)_Vp_Variance	V(G4)_SE	V(G4)_Variance	V(G4)_Vp_SE	V(G4)_Vp_Variance	V(e)_SE	V(e)_Variance	Vp_SE	Vp_Variance	df_Variance	logL_Variance	logL0_Variance	n_Variance	Region
1	10600141	10601176	0.242	0.31155	0.225745	0.186178	0.005339	0.000772	0.209413	0.030213	0.00549	0.0	0.214924	1e-06	0.003689	0.003984	0.142758	0.155963	0.001765	0.0	0.069105	1e-06	0.005969	0.02079	0.003604	0.025546	1.0	125.328	125.207	108.0	dlpfc
1	106240486	106242267	0.976	0.16153	0.19405	0.154903	0.005882	0.004531	0.166105	0.129762	0.00373	0.0	0.106842	1e-06	0.002881	0.000878	0.082492	0.02514	0.002217	0.0	0.0635	1e-06	0.007384	0.029506	0.004883	0.034915	1.0	111.154	110.666	108.0	dlpfc
1	109113154	109113371	0.042	0.41842	0.124965	0.829974	0.001817	0.000613	0.126583	0.042898	0.002527	0.007255	0.161033	0.507316	0.001898	0.0	0.132734	1e-06	0.002927	0.004001	0.176558	0.279759	0.001622	0.002432	0.002707	0.014301	1.0	177.953	177.932	108.0	dlpfc
1	109686983	109687554	0.0	0.5	0.203283	0.440808	0.003012	0.0	0.184504	1e-06	0.003571	0.003307	0.212215	0.202538	0.002807	0.002103	0.169116	0.128803	0.002147	0.001787	0.128142	0.109466	0.003191	0.00913	0.002457	0.016326	1.0	156.441	156.482	108.0	dlpfc
1	10970355	10970942	0.313	0.28806	0.236879	0.2901	0.004035	0.002811	0.253082	0.178678	0.002468	0.0	0.156868	1e-06	0.00218	1.6e-05	0.138547	0.001043	0.0019	0.001737	0.115272	0.110379	0.003724	0.011169	0.002304	0.015733	1.0	155.431	155.275	108.0	dlpfc
1	10982768	10984065	0.0	0.5	0.239846	0.153709	0.003559	0.0	0.226337	1e-06	0.002833	0.0	0.180143	1e-06	0.002724	0.000671	0.17289	0.04264	0.001925	0.001747	0.117596	0.111068	0.003908	0.013309	0.002345	0.015726	1.0	158.279	158.533	108.0	dlpfc
1	10993276	10994210	0.02	0.44371	0.236943	0.178505	0.004131	0.000706	0.23628	0.040365	0.00281	0.0	0.160733	1e-06	0.002512	0.000474	0.143737	0.027122	0.002284	0.001941	0.124529	0.111017	0.004308	0.01436	0.002575	0.01748	1.0	149.772	149.761	108.0	dlpfc
1	11015782	11016381	0.061	0.40214	0.229476	0.203875	0.003688	0.001249	0.238273	0.080816	0.002388	0.0	0.154488	1e-06	0.002178	0.0	0.140875	1e-06	0.001825	0.001902	0.111892	0.123056	0.003678	0.012307	0.002259	0.015458	1.0	156.13	156.1	108.0	dlpfc
1	11028613	11029279	0.0	0.5	0.239515	0.056399	0.003832	0.0	0.244914	1e-06	0.002671	0.000291	0.170787	0.018567	0.002265	0.0	0.144752	1e-06	0.001063	0.000592	0.067741	0.03783	0.004153	0.014765	0.002177	0.015648	1.0	153.086	153.192	108.0	dlpfc
1	110556304	110556985	0.444	0.25268	0.220416	0.160461	0.002527	0.000309	0.21159	0.025876	0.002026	2.7e-05	0.169538	0.002277	0.002005	0.0	0.167775	1e-06	0.001341	0.001581	0.107814	0.132307	0.002784	0.010034	0.001764	0.011952	1.0	169.792	169.57	108.0	dlpfc
1	11078775	11079462	0.0	0.5	0.244569	0.194253	0.004591	0.002181	0.268971	0.128099	0.003007	0.0	0.17661	1e-06	0.0029	0.0	0.170283	1e-06	0.00195	0.001126	0.111986	0.066152	0.004204	0.01372	0.002554	0.017028	1.0	152.307	152.346	108.0	dlpfc
1	112640614	112640761	0.0	0.5	0.245466	0.065641	0.003763	0.0	0.212981	1e-06	0.002721	0.0	0.153994	1e-06	0.002058	0.000378	0.116355	0.021389	0.001523	0.000782	0.08536	0.04425	0.004575	0.016507	0.002737	0.017667	1.0	155.99	156.577	108.0	dlpfc
1	112743097	112743470	0.033	0.42788	0.2266	0.223375	0.002744	0.000637	0.224756	0.05228	0.002265	0.001597	0.182408	0.130933	0.001677	0.00049	0.137199	0.040161	0.000942	0.0	0.077276	1e-06	0.002873	0.00947	0.001726	0.012194	1.0	167.44	167.424	108.0	dlpfc
1	11332659	11333299	0.062	0.40187	0.247989	0.247445	0.003581	0.001294	0.229562	0.083152	0.003005	0.0	0.193156	1e-06	0.002192	0.000804	0.140536	0.051704	0.001945	0.001751	0.119126	0.112587	0.003832	0.011707	0.0023	0.015557	1.0	156.243	156.212	108.0	dlpfc
1	11458579	11458959	0.0	0.5	0.275539	0.143552	0.003194	0.0	0.274516	1e-06	0.002071	0.0	0.177961	1e-06	0.001787	0.001456	0.152155	0.125135	0.000823	0.000214	0.070546	0.018415	0.003275	0.009966	0.00173	0.011636	1.0	174.933	175.27	108.0	dlpfc
1	116535563	116535623	0.0	0.5	0.208294	0.284872	0.002122	0.000131	0.198396	0.012263	0.00212	0.002753	0.187106	0.257246	0.001457	0.000164	0.136136	0.015362	0.001339	0.0	0.125174	1e-06	0.002251	0.007652	0.001545	0.010701	1.0	174.349	174.372	108.0	dlpfc
1	11665247	11665854	0.261	0.30463	0.289794	0.045925	0.00608	6.3e-05	0.278201	0.00287	0.004844	0.0	0.22163	1e-06	0.003676	0.000766	0.167956	0.035054	0.001876	0.000175	0.08579	0.008	0.006751	0.020851	0.003202	0.021854	1.0	140.488	140.358	108.0	dlpfc
1	116816777	116817137	0.567	0.2258	0.225736	0.266746	0.002535	0.001896	0.224725	0.171061	0.002158	0.0	0.194664	1e-06	0.001867	0.00106	0.166571	0.095683	0.001189	0.0	0.107294	1e-06	0.002536	0.008127	0.001568	0.011083	1.0	172.347	172.064	108.0	dlpfc
1	1174096	1174345	0.0	0.5	0.053761	0.864355	0.000784	0.0	0.070265	1e-06	0.002478	0.008877	0.103304	0.79534	0.001031	0.00077	0.089824	0.069012	0.000366	0.0	0.032769	1e-06	0.000433	0.001514	0.002317	0.011161	1.0	208.371	209.056	108.0	dlpfc
1	11760988	11761793	0.318	0.2865	0.281102	0.249715	0.003863	0.001404	0.230094	0.083907	0.00327	0.001055	0.195086	0.063018	0.002951	0.0	0.17637	1e-06	0.002119	0.00172	0.123672	0.10279	0.004694	0.012556	0.002387	0.016734	1.0	149.888	149.729	108.0	dlpfc
1	11909190	11909436	0.329	0.28318	0.257307	0.107316	0.003278	0.001268	0.248529	0.096533	0.002609	0.0	0.198661	1e-06	0.002409	0.0	0.183393	1e-06	0.000926	0.000142	0.070755	0.010781	0.003551	0.011724	0.001917	0.013134	1.0	164.726	164.562	108.0	dlpfc
1	11959119	11959772	0.0	0.5	0.308852	0.06693	0.005705	0.000362	0.280396	0.017813	0.004295	0.0	0.211145	1e-06	0.004135	0.0	0.20327	1e-06	0.002111	0.000999	0.102812	0.049116	0.006326	0.018982	0.003338	0.020343	1.0	149.069	149.702	108.0	dlpfc
1	12068550	12069166	0.0	0.5	0.27727	0.046327	0.003652	0.00018	0.257093	0.012695	0.003277	0.0	0.230664	1e-06	0.002629	0.0	0.185101	1e-06	0.001239	0.000478	0.08678	0.03363	0.004231	0.013547	0.00211	0.014205	1.0	164.018	164.176	108.0	dlpfc
1	12094915	12096021	0.503	0.23913	0.281226	0.187643	0.006876	0.004236	0.260661	0.162083	0.005476	0.0	0.209565	1e-06	0.003847	0.0	0.147213	1e-06	0.001844	0.000668	0.070371	0.025558	0.007572	0.021229	0.00372	0.026132	1.0	128.958	128.706	108.0	dlpfc
1	12133523	12134242	0.0	0.5	0.308345	0.117144	0.00728	0.0	0.305883	1e-06	0.005748	0.0016	0.241506	0.067219	0.004442	0.0	0.186651	1e-06	0.002189	0.001188	0.090993	0.049924	0.00753	0.021013	0.00355	0.023801	1.0	135.771	135.855	108.0	dlpfc
1	12159248	12159924	0.0	0.5	0.290193	0.117054	0.004018	0.0	0.273019	1e-06	0.003442	0.001101	0.233736	0.07484	0.002595	0.0	0.176308	1e-06	0.001285	0.000621	0.08665	0.042212	0.004405	0.012994	0.002171	0.014716	1.0	160.914	161.017	108.0	dlpfc
1	12351376	12352277	0.0	0.5	0.258532	0.071243	0.00532	0.001341	0.247031	0.062334	0.003912	0.0	0.18182	1e-06	0.003113	0.000187	0.144675	0.00871	0.000841	4e-06	0.03908	0.000199	0.006059	0.019984	0.003045	0.021517	1.0	137.512	137.58	108.0	dlpfc
1	12381431	12382392	0.986	0.16033	0.273473	0.136261	0.00341	0.000335	0.244248	0.023996	0.002904	0.0	0.207785	1e-06	0.002441	0.001327	0.172283	0.094952	0.000936	0.000242	0.066951	0.017311	0.003867	0.012071	0.002185	0.013975	1.0	165.793	165.3	108.0	dlpfc
1	12483186	12484135	0.0	0.5	0.250991	0.174538	0.005503	0.000105	0.228575	0.004359	0.004528	0.0	0.188077	1e-06	0.004123	0.004097	0.166061	0.170177	0.001721	0.0	0.071474	1e-06	0.006124	0.019875	0.003613	0.024077	1.0	135.64	135.647	108.0	dlpfc
1	12515613	12516353	0.0	0.5	0.235865	0.058806	0.004508	0.000205	0.233473	0.010636	0.002743	0.0	0.142049	1e-06	0.00243	0.000803	0.12538	0.041564	0.000912	0.000128	0.047243	0.006606	0.005113	0.018174	0.002713	0.01931	1.0	143.878	143.886	108.0	dlpfc
1	12605906	12606614	0.0	0.5	0.205197	0.100517	0.002452	0.0	0.207421	1e-06	0.001685	8.5e-05	0.142485	0.007215	0.001563	0.001103	0.129894	0.0933	0.000584	0.0	0.049424	1e-06	0.002747	0.010632	0.001669	0.011821	1.0	169.217	169.219	108.0	dlpfc
1	12689515	12689706	0.0	0.5	0.200769	0.044237	0.004476	0.0	0.199816	1e-06	0.002906	0.000197	0.12972	0.008775	0.002269	0.000713	0.101075	0.031834	0.000863	8.1e-05	0.038539	0.003627	0.005249	0.021412	0.003197	0.022403	1.0	137.719	137.808	108.0	dlpfc
1	12690775	12690852	0.0	0.5	0.205558	0.050263	0.002935	0.0	0.212484	1e-06	0.001734	3.5e-05	0.125532	0.002531	0.00146	0.00052	0.105431	0.037658	0.000576	0.000139	0.041689	0.010072	0.003238	0.013119	0.002006	0.013813	1.0	164.27	164.441	108.0	dlpfc
1	13417527	13418198	0.909	0.17026	0.202111	0.203349	0.004504	0.003471	0.205392	0.159802	0.003997	0.0	0.184007	1e-06	0.002584	0.000946	0.119196	0.043546	0.001715	0.0	0.078963	1e-06	0.004664	0.017306	0.003033	0.021723	1.0	135.556	135.101	108.0	dlpfc
1	13421540	13422115	0.211	0.32307	0.209627	0.062055	0.003456	0.000222	0.195007	0.012541	0.003458	0.0	0.194998	1e-06	0.0025	0.000878	0.140539	0.049511	0.001333	0.0	0.075162	1e-06	0.004178	0.016631	0.00255	0.017732	1.0	149.193	149.088	108.0	dlpfc
1	1351411	1351631	0.0	0.5	0.082244	0.758279	0.001437	0.0	0.07239	1e-06	0.001319	0.0	0.066474	1e-06	0.005198	0.014479	0.119427	0.729404	0.001045	0.000573	0.052581	0.028873	0.001252	0.004798	0.004511	0.01985	1.0	173.348	173.365	108.0	dlpfc
1	13524338	13525019	0.741	0.19467	0.211621	0.23161	0.003309	0.002387	0.20066	0.146689	0.002986	0.0	0.183452	1e-06	0.002382	0.001062	0.145648	0.065276	0.001133	0.00032	0.069458	0.019643	0.003648	0.012505	0.002278	0.016274	1.0	152.194	151.823	108.0	dlpfc
1	13527381	13527617	0.261	0.30467	0.219001	0.292605	0.002419	0.001116	0.205618	0.095301	0.002284	0.0	0.195051	1e-06	0.002322	0.002199	0.190179	0.187748	0.000833	0.000112	0.071116	0.009555	0.002609	0.008284	0.001689	0.01171	1.0	170.288	170.158	108.0	dlpfc
1	13537976	13539276	0.823	0.18218	0.211977	0.312023	0.004859	0.003844	0.204657	0.164452	0.004354	0.000553	0.186197	0.023669	0.003672	0.002244	0.155339	0.095984	0.001803	0.000653	0.076784	0.027918	0.005085	0.016082	0.003302	0.023376	1.0	133.898	133.486	108.0	dlpfc
1	13568660	13569136	0.056	0.40661	0.212946	0.310335	0.002301	0.00049	0.197542	0.04212	0.002448	0.002369	0.20381	0.203571	0.001812	0.0	0.155719	1e-06	0.001075	0.000752	0.090483	0.064643	0.002518	0.008025	0.001666	0.011636	1.0	170.612	170.584	108.0	dlpfc
1	13594714	13594851	0.0	0.5	0.224495	0.270692	0.002652	0.00032	0.216404	0.026085	0.002732	0.002432	0.217085	0.198483	0.002094	0.0	0.170923	1e-06	0.001039	0.000565	0.084117	0.046122	0.002792	0.008937	0.001768	0.012254	1.0	168.43	168.431	108.0	dlpfc
1	13671016	13672864	0.286	0.29653	0.214794	0.308466	0.004567	0.002207	0.22152	0.107436	0.004121	0.002429	0.198533	0.118236	0.003762	0.0	0.183144	1e-06	0.00235	0.001701	0.112076	0.082793	0.004454	0.014205	0.002934	0.020541	1.0	140.271	140.129	108.0	dlpfc
1	13698991	13699224	0.318	0.28644	0.218615	0.257558	0.002533	0.001334	0.223977	0.11871	0.002282	0.001443	0.200524	0.128383	0.001971	0.0	0.175342	1e-06	0.000987	0.000118	0.087757	0.010464	0.002574	0.008345	0.001576	0.01124	1.0	171.524	171.365	108.0	dlpfc
1	13705415	13706534	0.501	0.23957	0.216596	0.218536	0.004052	0.002545	0.224442	0.142343	0.003247	0.000838	0.181376	0.046882	0.00315	0.0	0.176125	1e-06	0.001582	0.000524	0.088189	0.02931	0.004118	0.013975	0.002498	0.017883	1.0	147.063	146.812	108.0	dlpfc
1	13881137	13881924	0.0	0.5	0.234761	0.13414	0.003403	0.000375	0.23632	0.026019	0.002932	0.0	0.203648	1e-06	0.002873	0.001557	0.197678	0.108119	0.001375	0.0	0.095505	1e-06	0.003635	0.012467	0.002055	0.014399	1.0	160.046	160.083	108.0	dlpfc
1	14145777	14146492	0.0	0.5	0.265574	0.036181	0.006955	0.000687	0.271535	0.026828	0.005456	0.0	0.21308	1e-06	0.004373	0.0	0.170812	1e-06	0.00234	0.000239	0.091365	0.009352	0.007401	0.024678	0.003709	0.025604	1.0	131.766	131.8	108.0	dlpfc
1	1419717	1419989	0.0	0.5	0.070911	0.798039	0.001065	0.0	0.066905	1e-06	0.001003	0.0	0.063003	1e-06	0.003544	0.01265	0.086218	0.79446	0.000498	5.7e-05	0.031312	0.003577	0.000941	0.003216	0.003226	0.015923	1.0	191.761	191.795	108.0	dlpfc
1	147927646	147927776	0.265	0.30338	0.162194	0.029963	0.005255	0.000728	0.156469	0.021671	0.004639	0.0	0.138114	1e-06	0.003247	0.000278	0.096709	0.008289	0.001984	0.0	0.059054	1e-06	0.006907	0.032585	0.004656	0.033592	1.0	112.94	112.808	108.0	dlpfc
1	148061146	148061276	0.032	0.42863	0.170514	0.144014	0.001717	0.0	0.154551	1e-06	0.001547	0.001507	0.136471	0.135675	0.001281	9.3e-05	0.115265	0.008336	0.001011	0.0	0.091031	1e-06	0.002094	0.009509	0.001613	0.011109	1.0	170.534	170.518	108.0	dlpfc
1	148127705	148127906	0.0	0.5	0.141947	0.134355	0.000913	0.000352	0.100273	0.038394	0.001241	0.0	0.135519	1e-06	0.001088	0.000879	0.118038	0.095958	0.000774	0.0	0.08449	1e-06	0.00147	0.007928	0.001298	0.009158	1.0	172.655	173.039	108.0	dlpfc
1	148279908	148280161	0.258	0.30587	0.14001	0.144184	0.002112	0.001023	0.127082	0.062115	0.001557	0.000227	0.094487	0.013773	0.00162	0.000987	0.096834	0.059878	0.000755	0.000139	0.045805	0.008418	0.002787	0.0141	0.002328	0.016476	1.0	151.846	151.717	108.0	dlpfc
1	148387849	148388213	0.0	0.5	0.121661	0.632451	0.000498	0.000171	0.052296	0.017754	0.000477	0.0	0.049413	1e-06	0.000835	0.0	0.086551	1e-06	0.002632	0.005931	0.123233	0.614694	0.000638	0.003547	0.002621	0.009649	1.0	201.332	201.982	108.0	dlpfc
1	148702971	148703246	0.235	0.31384	0.118653	0.075042	0.001004	0.000141	0.073243	0.010288	0.001449	0.000888	0.10425	0.064752	0.001206	0.0	0.087993	1e-06	0.00041	0.0	0.029884	1e-06	0.00208	0.012679	0.002011	0.013707	1.0	160.106	159.988	108.0	dlpfc
1	1499032	1499521	0.0	0.5	0.179651	0.045717	0.002008	0.0	0.153275	1e-06	0.001541	0.000479	0.117248	0.036543	0.000916	0.0	0.069947	1e-06	0.000529	0.00012	0.040307	0.009172	0.002732	0.012504	0.001925	0.013103	1.0	167.252	167.491	108.0	dlpfc
1	149946358	149946984	0.0	0.5	0.145232	0.154049	0.001969	0.0	0.123897	1e-06	0.002429	0.002375	0.143446	0.149455	0.000935	7.3e-05	0.058771	0.004592	0.000684	0.0	0.043049	1e-06	0.002522	0.013442	0.002424	0.01589	1.0	156.306	156.333	108.0	dlpfc
1	150151257	150151588	3.387	0.032856	0.147845	0.321837	0.001363	0.002057	0.135424	0.214221	0.001057	0.000842	0.10918	0.087738	0.0012	0.0	0.124986	1e-06	0.000743	0.000191	0.07695	0.019876	0.001326	0.006511	0.001492	0.009601	1.0	175.009	173.316	108.0	dlpfc
1	150257782	150258400	4.495	0.016996	0.144111	0.217333	0.001616	0.002393	0.135842	0.21441	0.001077	3.3e-05	0.096525	0.00292	0.00085	0.0	0.076152	1e-06	0.000568	0.0	0.050905	1e-06	0.00176	0.008735	0.001615	0.011161	1.0	172.512	170.265	108.0	dlpfc
1	151648900	151649259	0.0	0.5	0.19888	0.009916	0.002127	0.00011	0.151809	0.007869	0.001835	2.9e-05	0.130979	0.002045	0.001783	0.0	0.127268	1e-06	0.000823	0.0	0.05874	1e-06	0.003217	0.013871	0.002075	0.01401	1.0	163.606	163.714	108.0	dlpfc
1	152188737	152189198	0.0	0.5	0.173881	0.342766	0.002065	0.0	0.151821	1e-06	0.001619	0.0	0.119048	1e-06	0.001457	0.000343	0.106769	0.025198	0.002987	0.004319	0.175141	0.317567	0.002115	0.008938	0.002683	0.013599	1.0	174.846	175.089	108.0	dlpfc
1	15228644	15228989	1.708	0.095611	0.212748	0.764571	0.002832	0.003531	0.225623	0.292836	0.002021	0.000731	0.167567	0.060597	0.002069	0.003673	0.155857	0.304625	0.001448	0.001284	0.114293	0.106513	0.002435	0.002839	0.001916	0.012058	1.0	174.491	173.637	108.0	dlpfc
1	153701251	153701464	0.464	0.24783	0.171492	0.236687	0.001948	0.001483	0.173178	0.133379	0.001658	0.000953	0.147845	0.085773	0.001161	0.000195	0.104382	0.017533	0.000781	0.0	0.070234	1e-06	0.002053	0.008485	0.001581	0.011116	1.0	171.956	171.724	108.0	dlpfc
1	15392258	15392463	0.746	0.19381	0.241917	0.586551	0.002721	0.002152	0.233497	0.187924	0.00274	0.004257	0.217785	0.371678	0.001497	0.0	0.130694	1e-06	0.000751	0.000309	0.065282	0.026947	0.002597	0.004735	0.00173	0.011452	1.0	173.182	172.809	108.0	dlpfc
1	15396912	15397624	0.151	0.34892	0.233661	0.694937	0.00331	0.001353	0.221565	0.091155	0.003624	0.007628	0.205512	0.514083	0.002024	0.0	0.136384	1e-06	0.001634	0.001331	0.105974	0.089698	0.003236	0.004527	0.002398	0.014838	1.0	163.753	163.678	108.0	dlpfc
1	1544257	1544706	0.0	0.5	0.169959	0.067093	0.002175	0.0	0.138953	1e-06	0.00184	0.000806	0.117043	0.051485	0.001091	0.0	0.069684	1e-06	0.000756	0.000244	0.048169	0.015607	0.003204	0.0146	0.0022	0.01565	1.0	154.306	154.306	108.0	dlpfc
1	15494489	15494819	0.483	0.24356	0.226612	0.48743	0.003493	0.002186	0.229357	0.144985	0.003267	0.004806	0.201649	0.318762	0.001726	0.0	0.114506	1e-06	0.000983	0.000357	0.06502	0.023683	0.003268	0.007727	0.002218	0.015076	1.0	158.585	158.344	108.0	dlpfc
1	155544894	155545064	0.713	0.1992	0.152248	0.104348	0.001639	0.00084	0.131422	0.067698	0.001359	0.0	0.109554	1e-06	0.001144	0.000454	0.091752	0.036649	0.000617	0.0	0.049789	1e-06	0.002217	0.011107	0.001781	0.012401	1.0	166.535	166.179	108.0	dlpfc
1	15554757	15556024	0.0	0.5	0.194743	0.481188	0.004296	0.0	0.18797	1e-06	0.005609	0.009799	0.22304	0.428783	0.00385	0.0	0.168448	1e-06	0.001988	0.001198	0.085645	0.052403	0.004043	0.011857	0.003749	0.022854	1.0	140.59	140.596	108.0	dlpfc
1	155691186	155695381	0.0	0.5	0.029794	0.906456	0.000728	0.0	0.040695	1e-06	0.002658	0.010831	0.119092	0.605172	0.001786	0.0	0.099799	1e-06	0.002449	0.005392	0.1133	0.301282	0.000339	0.001674	0.003443	0.017898	1.0	147.819	150.466	108.0	dlpfc
1	15590565	15592015	0.0	0.5	0.199189	0.518323	0.006345	0.0	0.222533	1e-06	0.007822	0.013414	0.248408	0.470473	0.00499	0.0	0.175003	1e-06	0.002549	0.001364	0.088218	0.047848	0.005021	0.013733	0.004915	0.028512	1.0	131.862	132.074	108.0	dlpfc
1	15601172	15601589	0.0	0.5	0.194215	0.561144	0.003608	0.0	0.218639	1e-06	0.004172	0.007454	0.234508	0.451756	0.002995	0.0	0.181519	1e-06	0.001814	0.001805	0.10473	0.109386	0.002825	0.007241	0.002903	0.0165	1.0	161.865	161.992	108.0	dlpfc
1	156231473	156231688	0.032	0.42913	0.206482	0.150373	0.002093	2.1e-05	0.18206	0.001826	0.001588	0.0	0.138128	1e-06	0.001311	0.000373	0.114298	0.032448	0.001632	0.001335	0.13527	0.116098	0.002549	0.009769	0.001736	0.011498	1.0	172.88	172.864	108.0	dlpfc
1	15645726	15646601	0.0	0.5	0.203295	0.464335	0.004263	0.0	0.236681	1e-06	0.004591	0.007345	0.236933	0.407777	0.002987	0.0	0.165812	1e-06	0.00148	0.001019	0.080688	0.056556	0.003336	0.009648	0.002989	0.018012	1.0	152.508	152.517	108.0	dlpfc
1	15682311	15682710	0.004	0.47561	0.204151	0.457109	0.002339	0.0	0.199384	1e-06	0.002782	0.004862	0.214088	0.414393	0.001714	0.0	0.14604	1e-06	0.000949	0.000501	0.080064	0.042714	0.002218	0.00637	0.001873	0.011733	1.0	173.764	173.762	108.0	dlpfc
1	157043839	157044546	0.477	0.24498	0.249907	0.214299	0.002263	0.000997	0.219562	0.096682	0.002464	0.0	0.238927	1e-06	0.001466	0.00108	0.141611	0.10474	0.000875	0.000133	0.084768	0.012876	0.00258	0.008102	0.001528	0.010311	1.0	177.877	177.639	108.0	dlpfc
1	157164544	157164658	0.419	0.25867	0.153951	0.715233	0.001686	0.001009	0.153555	0.092185	0.001677	0.0	0.153209	1e-06	0.002285	0.006821	0.150365	0.623046	0.001056	0.0	0.096478	1e-06	0.001517	0.003118	0.001913	0.010948	1.0	186.417	186.208	108.0	dlpfc
1	157279152	157279830	0.0	0.5	0.095178	0.87244	0.00106	0.000209	0.096439	0.018999	0.001944	0.003297	0.170937	0.29924	0.002371	0.006105	0.16598	0.5542	0.000992	0.0	0.090003	1e-06	0.000967	0.001405	0.001896	0.011017	1.0	184.69	184.907	108.0	dlpfc
1	15759669	15760800	0.0	0.5	0.174739	0.595727	0.00583	0.0	0.191787	1e-06	0.007611	0.01753	0.19895	0.576659	0.004011	0.0	0.131926	1e-06	0.002055	0.00058	0.067525	0.019066	0.004798	0.01229	0.005149	0.0304	1.0	128.918	128.937	108.0	dlpfc
