seqnames	start	end	h2_category	hg38_genes_intergenic	hg38_cpg_inter	hg38_genes_promoters	hg38_cpg_shores	hg38_genes_1to5kb	hg38_genes_introns	hg38_cpg_islands	hg38_cpg_shelves	hg38_genes_5UTRs	hg38_genes_exons	hg38_genes_3UTRs	hg38_enhancers_fantom
chr1	1722447	1723483	Heritable	0	0	1	1	1	1	0	0	1	1	0	0
chr1	1747169	1747292	Non-heritable	0	0	0	1	1	0	0	0	0	0	0	0
chr1	1946615	1947019	Non-heritable	0	0	0	0	0	1	0	1	0	1	0	0
chr1	2025586	2026068	Heritable	0	0	1	1	1	1	1	0	0	1	1	0
chr1	2059793	2060553	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2086668	2086863	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	2087800	2088029	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	2089942	2090221	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	2099044	2099420	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	2103313	2103485	Non-heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	2109062	2109176	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	2124314	2124541	Heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	2126998	2127229	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	2128045	2128459	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	2132264	2132612	Heritable	0	0	0	1	1	1	1	0	0	0	0	0
chr1	2133848	2135112	Heritable	0	0	1	1	1	1	1	0	1	1	0	0
chr1	2158086	2158596	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	2189201	2190598	Heritable	0	0	0	1	1	1	1	0	0	1	1	0
chr1	2213534	2214571	Heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	2300790	2301414	Non-heritable	0	0	0	1	1	1	1	0	0	0	0	1
chr1	2303279	2303470	Non-heritable	0	0	1	1	0	1	0	0	0	1	0	0
chr1	2322806	2323153	Non-heritable	0	0	0	0	0	1	1	0	0	1	0	0
chr1	2336129	2336495	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	2343516	2343697	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2347155	2347389	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	2425928	2426558	Non-heritable	0	0	1	1	0	1	0	1	1	1	0	0
chr1	2437995	2438517	Heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	2441838	2442339	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2444309	2444680	Non-heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	2449834	2450419	Heritable	0	1	0	0	0	1	0	0	0	0	0	1
chr1	2452595	2452984	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	2459262	2460142	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	2493572	2493847	Non-heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	2531509	2533198	Non-heritable	0	0	0	1	1	1	0	1	0	0	0	0
chr1	2545406	2545505	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	2552424	2552572	Non-heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	2555365	2556132	Non-heritable	0	1	1	0	1	1	0	0	1	1	0	0
chr1	2556827	2557263	Non-heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	2585077	2585214	Non-heritable	0	0	1	1	1	0	0	0	0	0	0	0
chr1	2610375	2610730	Non-heritable	0	1	0	0	0	1	0	1	0	0	0	0
chr1	2790043	2790247	Non-heritable	0	0	1	0	0	0	1	0	0	1	0	0
chr1	2792958	2793811	Heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	2806631	2807162	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	2821908	2822045	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2855736	2855968	Non-heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	2874893	2875009	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2875878	2876458	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2882973	2883311	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2947084	2947763	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2949159	2950279	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2967016	2967643	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	2969776	2970337	Heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	2983011	2983612	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	2984786	2985502	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	3003561	3004171	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	3011832	3012022	Non-heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	3031124	3031708	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	3062471	3064262	Non-heritable	0	0	1	1	1	1	1	0	0	1	0	0
chr1	3067462	3067681	Non-heritable	0	0	0	0	1	1	1	0	0	1	0	0
chr1	3071063	3071612	Heritable	0	0	0	1	1	1	1	0	0	0	0	0
chr1	3072521	3073084	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	1
chr1	3080266	3080645	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	3101138	3101646	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3121560	3122225	Non-heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	3125977	3126523	Non-heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	3139387	3139588	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	3161694	3161794	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3171357	3171568	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3173090	3173662	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3198732	3199019	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3215578	3216345	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3218001	3218263	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3218709	3219068	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3219563	3219894	Heritable	0	1	0	0	0	1	0	0	0	0	0	1
chr1	3238495	3238695	Non-heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	3247532	3247920	Non-heritable	0	0	0	0	0	1	1	0	0	0	0	0
chr1	3304337	3304666	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3313216	3313315	Non-heritable	0	1	0	0	1	1	0	0	0	1	0	1
chr1	3348411	3348615	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3360659	3361422	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	3366179	3366481	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3393406	3393595	Non-heritable	0	0	0	1	1	1	1	0	0	0	0	1
chr1	3402172	3402473	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3423402	3423670	Non-heritable	0	0	0	1	1	1	0	1	0	0	0	0
chr1	3431449	3431583	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3432513	3432743	Heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3435638	3435764	Heritable	0	0	0	1	0	0	0	0	0	1	1	0
chr1	3529232	3529792	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	3539920	3540429	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3557347	3557555	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3576123	3577354	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	3597788	3598240	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	1
chr1	3599016	3599843	Heritable	0	1	0	0	0	1	0	1	0	0	0	0
chr1	3653293	3653403	Non-heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	3668935	3669113	Non-heritable	0	1	1	0	0	1	0	0	1	1	0	0
chr1	3674725	3674895	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	3708988	3709192	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	3712268	3715051	Heritable	0	1	1	0	0	1	0	1	0	1	0	0
chr1	3727365	3727933	Non-heritable	0	1	1	0	0	1	0	0	0	1	0	0
chr1	3731644	3731767	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	3745766	3746421	Non-heritable	0	0	1	1	1	1	1	0	0	1	0	0
chr1	3771091	3771240	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	3834820	3835069	Heritable	0	1	0	0	1	1	0	0	0	1	1	0
chr1	3858583	3858770	Heritable	0	0	0	0	1	1	1	0	0	1	0	0
chr1	3890597	3891026	Non-heritable	0	0	0	1	0	0	0	0	1	1	1	0
chr1	4027548	4027917	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	4108879	4109310	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	4301515	4302073	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	4517347	4517455	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	4599930	4600589	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	4710707	4711837	Heritable	0	0	1	1	0	1	1	0	0	1	0	0
chr1	5289326	5291923	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	5477828	5478042	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	5832144	5832643	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	5857706	5857909	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	5866452	5866597	Non-heritable	0	1	0	0	1	1	0	0	0	1	1	0
chr1	6025739	6026433	Heritable	0	0	1	1	1	1	1	0	1	1	0	0
chr1	6065248	6065491	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	6073749	6074582	Heritable	0	0	0	1	0	1	0	1	1	1	1	0
chr1	6127573	6128174	Non-heritable	0	0	0	1	0	1	1	0	0	1	1	0
chr1	6148242	6148584	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	6150479	6151095	Heritable	0	0	0	1	0	1	0	1	0	1	0	0
chr1	6207117	6207673	Non-heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	6241422	6241638	Non-heritable	0	0	0	1	1	0	0	0	0	0	0	0
chr1	6243156	6243279	Non-heritable	0	0	1	1	1	0	0	0	0	0	0	0
chr1	6273621	6273847	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	6276229	6276763	Heritable	0	0	0	0	0	1	0	1	0	0	0	1
chr1	6455984	6456241	Non-heritable	0	0	0	1	1	1	1	0	0	1	1	0
chr1	6484915	6485128	Non-heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	6507417	6507877	Heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	6587172	6587864	Non-heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	6954437	6954961	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	6962033	6962247	Non-heritable	0	0	0	0	0	1	1	0	0	0	0	0
chr1	6963565	6963651	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6975504	6976013	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	7149606	7149740	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	7199186	7199413	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	7373966	7374456	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	7441387	7441560	Non-heritable	0	1	1	0	0	1	0	0	0	1	0	0
chr1	7478199	7478663	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	7784850	7785156	Non-heritable	0	0	1	1	1	1	1	0	1	1	0	0
chr1	8004116	8004979	Heritable	0	1	0	0	1	1	0	0	0	1	1	0
chr1	8348551	8348694	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	8357734	8358025	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	8424584	8424999	Non-heritable	0	0	1	1	1	1	0	0	1	1	0	0
chr1	9039293	9039940	Non-heritable	0	0	1	0	0	1	1	0	0	1	0	0
chr1	9110571	9111178	Non-heritable	0	1	0	0	0	1	0	0	0	1	0	0
chr1	9183707	9183833	Non-heritable	0	0	1	1	1	1	1	0	0	1	0	0
chr1	9198788	9199166	Non-heritable	0	0	1	1	0	0	1	0	0	1	0	0
chr1	9223206	9223416	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9247880	9248891	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	9294225	9295084	Non-heritable	0	0	1	1	0	1	0	0	1	1	0	0
chr1	9322989	9323416	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	9324187	9325557	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	9340321	9340438	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	9362826	9363451	Non-heritable	0	1	0	0	0	1	0	1	0	0	0	0
chr1	9384242	9385198	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	9536299	9537435	Heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr1	9591912	9592188	Non-heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	9606747	9607233	Non-heritable	0	0	1	0	0	1	0	1	0	0	0	0
chr1	9690109	9690442	Non-heritable	0	0	0	1	1	1	1	0	0	0	0	0
chr1	10532214	10532672	Non-heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	10638211	10638412	Non-heritable	0	0	1	1	1	1	1	0	0	1	1	0
chr1	10639338	10639464	Heritable	0	0	1	0	0	0	1	0	0	1	0	0
chr1	10649330	10649725	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	10665973	10666167	Heritable	0	0	0	1	1	1	0	0	0	0	0	1
chr1	10704455	10704779	Non-heritable	0	0	0	0	0	1	1	0	0	1	0	0
chr1	10727738	10728053	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	10728821	10728891	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	10787454	10787849	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	10808934	10809518	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10941562	10941776	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10946141	10946453	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	11453972	11454559	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	11458238	11459351	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	11498807	11499006	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	11647393	11648165	Non-heritable	0	0	0	1	0	1	0	0	0	1	1	0
chr1	11653930	11654049	Non-heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	11784672	11785219	Non-heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	11925291	11925690	Non-heritable	0	0	0	1	0	0	1	0	0	1	0	0
chr1	12540199	12540767	Heritable	1	0	0	1	0	0	1	0	0	0	0	1
chr1	12595082	12595275	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	12618736	12619640	Non-heritable	0	0	1	1	1	1	0	0	1	1	0	0
chr1	13326335	13327587	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	13584561	13584866	Non-heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	13893722	13894119	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	14125452	14126407	Heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	15384342	15385037	Non-heritable	0	1	0	0	0	1	0	0	0	1	1	0
chr1	15413034	15413433	Heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	15755674	15756385	Non-heritable	0	0	1	0	1	0	0	1	0	0	0	0
chr1	15833243	15833455	Non-heritable	0	0	0	1	1	0	0	0	0	0	0	0
chr1	16017678	16017935	Non-heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	16064132	16064994	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	16067296	16068380	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	16207487	16207691	Heritable	0	0	1	0	1	1	1	0	0	1	0	0
chr1	16520585	16521357	Heritable	0	0	1	1	0	1	1	0	0	1	0	0
chr1	16677941	16678490	Heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	16692189	16692603	Non-heritable	0	0	1	0	1	1	1	0	0	1	0	0
chr1	16696526	16697118	Non-heritable	0	0	0	1	1	1	1	0	0	1	0	0
chr1	16889666	16889910	Heritable	0	0	1	1	0	1	0	0	0	1	0	0
chr1	16961034	16961290	Heritable	0	0	0	1	1	1	1	0	0	1	0	0
chr1	17117475	17118636	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	18558443	18558683	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	18575584	18576317	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	18761423	18762431	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	18784007	18785106	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	18819085	18819288	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	18882499	18882792	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	19045321	19045767	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	19273897	19274447	Non-heritable	0	0	1	0	1	0	1	0	1	1	0	0
chr1	19288241	19288575	Non-heritable	0	0	0	1	0	1	1	0	0	1	0	0
chr1	19439414	19439850	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	19645400	19646045	Heritable	0	0	1	1	1	1	1	0	1	1	0	0
chr1	20480353	20482856	Non-heritable	0	0	1	1	1	0	0	1	0	1	1	1
chr1	20685303	20685573	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	20705337	20705626	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	21262306	21263012	Heritable	0	1	0	0	1	1	0	0	0	0	0	1
chr1	21361178	21361898	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	21437255	21437893	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	21565739	21566057	Heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	21618771	21620115	Non-heritable	0	0	1	0	0	1	0	1	1	1	0	0
chr1	21622893	21623941	Non-heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	21639750	21639927	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	1
chr1	21649770	21651304	Non-heritable	0	0	0	1	0	1	0	1	1	1	0	0
chr1	21652966	21653243	Heritable	0	0	0	1	1	1	0	0	1	1	0	0
chr1	21668095	21668460	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	21869719	21870167	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	21914718	21915410	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	22011488	22012964	Heritable	0	1	0	0	0	1	0	0	0	1	1	0
chr1	22122321	22122556	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	22208994	22209262	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	22318367	22318828	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	22593281	22593713	Heritable	0	0	0	0	0	1	1	0	0	1	0	0
chr1	22676785	22677483	Heritable	1	0	0	1	0	0	1	0	0	0	0	1
chr1	22806644	22807086	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	22855889	22856437	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	22916643	22916945	Heritable	0	1	0	0	0	0	0	0	0	1	1	0
chr1	22952946	22953298	Non-heritable	1	0	0	1	0	0	1	0	0	1	0	0
chr1	22954052	22954277	Heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	23558209	23558499	Heritable	0	0	0	1	0	1	1	0	0	1	1	0
chr1	23568987	23569420	Non-heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	23868779	23869097	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	24108987	24109171	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	24904643	24904969	Non-heritable	0	0	0	0	0	1	0	1	0	0	0	0
chr1	24913924	24914564	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	24962673	24962935	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	24969903	24970594	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	25198010	25198289	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25239379	25239431	Non-heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	25245911	25246073	Heritable	0	0	1	1	1	1	0	0	0	1	0	0
chr1	25268316	25269323	Heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	25281325	25283879	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	25306513	25308831	Heritable	0	1	0	0	0	1	0	0	0	1	0	0
chr1	25319920	25321648	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	25330724	25331036	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	25406782	25407202	Heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	25544679	25545101	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	25563506	25564273	Heritable	0	1	1	0	1	1	0	0	0	1	0	0
chr1	25567295	25567888	Non-heritable	0	1	0	0	0	0	0	0	0	1	1	0
chr1	25618242	25618622	Non-heritable	0	0	0	1	0	1	1	0	1	1	0	0
chr1	25904068	25904500	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	25907489	25908386	Non-heritable	0	0	1	1	1	0	0	0	0	0	0	0
chr1	26134710	26136410	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	26164767	26164947	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	1
chr1	26168978	26169476	Non-heritable	0	0	1	1	0	0	0	0	0	0	0	1
chr1	26200416	26201583	Heritable	0	1	0	0	0	1	0	0	0	1	1	0
chr1	26408687	26408813	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	26530419	26530664	Non-heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	26555589	26556254	Heritable	0	1	1	0	1	1	0	0	0	1	1	0
chr1	27032036	27032106	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	27102505	27102716	Non-heritable	0	1	0	0	1	1	0	0	0	1	0	0
chr1	27394970	27395774	Non-heritable	0	0	0	0	0	0	0	1	0	1	1	0
chr1	27427315	27428469	Heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	27519421	27519984	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	27564905	27565582	Heritable	0	0	0	0	0	1	0	1	0	0	0	1
chr1	27600948	27601290	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	27725142	27725322	Heritable	0	0	1	1	0	0	0	0	0	1	0	0
chr1	28246210	28247095	Heritable	0	0	1	1	1	1	0	0	0	1	1	0
chr1	28537834	28538088	Non-heritable	0	1	0	0	0	0	0	0	0	1	1	0
chr1	28775613	28775799	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	28813234	28813573	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	29123122	29123228	Non-heritable	0	0	1	0	0	1	1	0	0	0	0	0
chr1	29156935	29157072	Non-heritable	0	1	0	0	0	1	0	0	0	0	0	0
chr1	29202467	29203066	Heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	29260576	29260854	Non-heritable	0	0	0	0	0	1	1	0	0	1	0	0
chr1	29478765	29478857	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
