seqnames	start	end	h2_category	hg38_genes_1to5kb	hg38_genes_introns	hg38_cpg_inter	hg38_genes_promoters	hg38_cpg_shores	hg38_genes_exons	hg38_genes_intergenic	hg38_cpg_islands	hg38_enhancers_fantom	hg38_genes_5UTRs	hg38_genes_3UTRs	hg38_cpg_shelves
chr1	1999645	1999795	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	2016621	2017029	Non-heritable	1	0	0	1	1	0	0	0	0	0	0	1
chr1	2124263	2124404	Heritable	0	1	0	0	0	0	0	1	0	0	0	0
chr1	2187365	2187492	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	1
chr1	2189201	2190519	Heritable	1	1	0	0	1	1	0	1	0	0	1	0
chr1	2211095	2211773	Non-heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	2223454	2224104	Non-heritable	1	0	0	0	0	0	0	0	0	0	0	1
chr1	2225384	2225991	Heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	2245541	2245882	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	2287963	2288145	Non-heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	2949413	2949577	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	2967016	2967400	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	2968501	2968792	Heritable	0	1	0	1	1	1	0	1	0	0	0	0
chr1	3010137	3010525	Non-heritable	0	0	0	0	0	0	1	0	0	0	0	1
chr1	3031165	3031526	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	3114124	3114304	Non-heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	3126046	3126284	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	3361017	3361233	Non-heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	3366306	3366835	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	3441453	3441727	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	3812561	3812935	Heritable	0	0	0	0	1	1	0	0	0	0	1	1
chr1	3901723	3902181	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	4082798	4083370		0	0	1	0	0	0	1	0	0	0	0	0
chr1	5073540	5073767	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	5159284	5159914	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	5294996	5295463	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6110840	6111482	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6114247	6115108	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6123029	6123720	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	1
chr1	6158707	6159188	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6190410	6191723	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6202905	6203811	Non-heritable	1	1	0	1	1	1	0	0	0	1	0	1
chr1	6323228	6323497	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6334801	6335479	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6363215	6363331	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6364155	6365399	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6375583	6376212	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6388567	6389035	Heritable	1	1	1	0	0	0	0	0	0	0	0	1
chr1	6390250	6391612	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	1
chr1	6399835	6400167	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6442446	6443305	Heritable	1	1	0	0	1	1	0	0	0	0	0	1
chr1	6458082	6459392	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	1
chr1	6481455	6481820	Heritable	1	1	0	0	0	0	0	0	0	0	0	1
chr1	6522347	6523307	Non-heritable	1	0	1	0	0	1	0	0	0	0	1	0
chr1	6529857	6530408	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6538333	6539374	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6576813	6578067	Heritable	1	1	0	0	1	1	0	0	0	0	0	1
chr1	6582907	6583843	Heritable	1	1	0	0	0	0	0	0	0	0	0	1
chr1	6612183	6612372	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	6615999	6616325	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	6659654	6660115	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6669007	6669611	Non-heritable	1	1	1	1	0	0	0	0	0	0	0	0
chr1	6671273	6671692	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	6703505	6704007	Non-heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	6709932	6710171	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6713127	6713305	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6738660	6739567	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6744740	6745628	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6759274	6759832	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	6769739	6770355	Non-heritable	0	1	1	0	0	1	1	0	0	0	0	0
chr1	6839153	6840194	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	7030903	7031731	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	7262152	7262817	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	7665689	7666381	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	7758859	7759295	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	7807998	7808147	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	7812236	7812669	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	7823005	7823818	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	1
chr1	7849277	7849904	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	7854083	7854466	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	7971654	7971990	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	7977346	7978517	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	8130206	8131446	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8160474	8160740	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8182792	8183873	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8186689	8187917	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	8233895	8234123	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8240722	8241367	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8255224	8255824	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8305769	8306651	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	8332504	8332730	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8340914	8341851	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	1
chr1	8403043	8403510	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8608217	8610065	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8712641	8714787	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8760086	8760421	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8774456	8775293	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8792533	8793113	Heritable	0	1	1	0	0	1	0	0	0	1	0	0
chr1	8818960	8819141	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	8828674	8828988	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	8853051	8853571	Heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	8877429	8877684	Heritable	1	1	0	0	1	1	0	0	0	0	0	0
chr1	8881629	8882696	Heritable	1	0	0	0	0	0	0	0	0	0	0	1
chr1	8888276	8888959	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	8906387	8907271	Heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	8966004	8966648	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8975419	8975943	Heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	8995214	8996198	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9043628	9043973	Heritable	1	1	0	0	0	0	0	0	0	0	0	1
chr1	9063717	9063990	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9108986	9110041	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9121098	9121246	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9138087	9138672	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9222666	9224410	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9324297	9325103	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9362905	9363356	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9407927	9408706	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9478805	9479334	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9514747	9515615	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9531061	9532263	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9536906	9537435	Heritable	1	0	0	0	1	0	0	0	0	0	0	1
chr1	9580628	9580841	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9587786	9588075	Heritable	1	0	0	1	1	0	0	0	0	0	0	0
chr1	9660973	9661767	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9674947	9675258	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9695418	9695830	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9762017	9762501	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9771154	9771826	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9782993	9784278	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9805632	9805798		0	1	1	0	0	0	0	0	0	0	0	0
chr1	9829588	9830096	Non-heritable	1	0	1	0	0	0	0	0	1	0	0	0
chr1	9832143	9832934	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	9908023	9908442	Non-heritable	0	1	0	0	1	1	0	0	0	0	0	0
chr1	9919819	9919959	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9925738	9926651	Heritable	0	1	1	0	0	1	0	0	0	0	1	0
chr1	9932063	9932678	Non-heritable	0	1	1	1	0	1	0	0	0	0	0	0
chr1	9936739	9937168	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9953585	9956232	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	9958673	9959666	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9962704	9962882	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9965692	9966350	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9976506	9977638	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	9980092	9980907	Non-heritable	1	1	1	1	0	0	0	0	0	0	0	0
chr1	9986754	9987634	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	9994533	9995043	Non-heritable	1	0	0	0	0	0	0	0	0	0	0	1
chr1	10003379	10004313	Non-heritable	0	1	1	0	0	1	0	0	0	0	1	0
chr1	10010565	10011044	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10025717	10026575	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	10029879	10030090	Non-heritable	1	0	0	0	0	0	0	0	0	0	0	1
chr1	10035685	10036043	Heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	10094404	10094872	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10133974	10135208	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	10137847	10138523	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10148087	10149228	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	10150643	10151411	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	10174008	10175854	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10190649	10192152	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	10197740	10197867	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	10202737	10203449	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	10214171	10214577	Non-heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	10222796	10223200	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10244377	10244999	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10336171	10337027	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	10350018	10351263	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10356543	10358522	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10360422	10360834	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10390785	10392040	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	10397539	10398091	Heritable	1	0	0	1	1	0	0	0	0	0	0	0
chr1	10454923	10455353	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	10469499	10470485	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	1
chr1	10486417	10486966	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10488914	10489270	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10551830	10552436	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10570009	10570578	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10600141	10601130	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10809094	10809518		0	0	1	0	0	0	1	0	0	0	0	0
chr1	10970355	10970863	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10982768	10984039	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	10993276	10994139	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	11015782	11016381	Non-heritable	1	1	0	1	0	1	0	0	0	0	1	1
chr1	11028613	11029279	Non-heritable	1	1	1	1	0	1	0	0	0	0	0	0
chr1	11078736	11079454	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	11095379	11095586	Heritable	1	1	0	0	0	1	0	0	0	0	1	1
chr1	11135191	11136754	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	11172283	11172761	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	11332659	11333387	Non-heritable	0	0	1	0	0	0	1	0	1	0	0	0
chr1	11381601	11382006	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	11665247	11665854	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	11678342	11679056	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	11760988	11761793	Heritable	1	0	0	1	1	1	0	0	0	1	0	0
chr1	11909194	11909436	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	11925308	11925848	Heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	11951685	11951981	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	11959153	11959772	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	12017339	12017840	Non-heritable	1	0	0	1	1	0	0	0	0	0	0	0
chr1	12068550	12069166	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12094915	12096021	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	12133537	12134242	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12159248	12159680	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	12330140	12330521	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12351376	12352277	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	12381431	12382392	Non-heritable	1	1	1	1	0	0	0	0	0	0	0	0
chr1	12483186	12484135	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12515613	12516353	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	12605967	12606565	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12689515	12689706		1	0	1	0	0	0	0	0	0	0	0	0
chr1	12690775	12690852		1	0	1	0	0	0	0	0	0	0	0	0
chr1	13009011	13009164		0	0	1	0	0	0	1	0	0	0	0	0
chr1	13219762	13219847		0	0	1	0	0	0	1	0	0	0	0	0
chr1	13326766	13327587	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13417527	13418198	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	13421585	13422115	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13524338	13525019	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13527381	13527609	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13537976	13539276	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13568669	13569136	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13594714	13594813	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13671016	13672864	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	13699028	13699179		1	0	0	0	1	0	0	0	0	0	0	0
chr1	13705415	13706534		0	1	1	0	0	1	0	0	0	1	0	0
chr1	13881137	13881924		0	0	1	0	0	0	1	0	0	0	0	0
chr1	14145777	14146492		0	1	1	0	0	0	0	0	0	0	0	0
chr1	14728051	14728422	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15228644	15228951	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	15392258	15392424	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15396955	15397624	Heritable	0	1	1	0	0	1	0	0	0	0	1	0
chr1	15417957	15418506	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15494489	15494819	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15554757	15556024	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	15564614	15565391	Heritable	1	1	1	1	0	1	0	0	0	0	0	0
chr1	15584165	15584371	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15590565	15592015	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15601172	15601589	Heritable	1	1	0	0	1	0	0	0	0	0	0	1
chr1	15611202	15611840	Non-heritable	1	0	1	0	0	0	0	0	0	0	0	0
chr1	15645726	15646601	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15682413	15682710	Non-heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	15755797	15756385	Heritable	1	0	0	1	0	0	0	0	0	0	0	1
chr1	15759707	15760505	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	15773084	15773476	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	15774944	15775729	Non-heritable	1	1	1	0	0	1	0	0	0	0	1	0
chr1	15784990	15785900	Heritable	0	0	1	0	0	1	0	0	0	0	1	0
chr1	15798054	15799255	Heritable	0	0	1	0	0	0	1	0	1	0	0	0
chr1	15813830	15815282	Non-heritable	1	0	1	0	0	0	1	0	0	0	0	0
chr1	15819248	15820263	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	15821115	15821542	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	15833352	15833485	Non-heritable	1	0	0	0	1	0	0	0	0	0	0	0
chr1	15904704	15905913		0	1	1	0	0	0	0	0	0	0	0	0
chr1	15909921	15910110		0	1	1	0	0	0	0	0	0	0	0	0
chr1	15911208	15914597		0	1	1	0	0	1	0	0	0	0	1	0
chr1	15980059	15981321	Heritable	1	0	1	0	0	0	1	0	0	0	0	1
chr1	15988243	15989054	Heritable	1	0	1	1	0	1	0	0	0	0	0	0
chr1	16074617	16075045	Heritable	1	0	0	1	1	0	0	0	0	0	0	0
chr1	16136385	16137027	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	16214940	16215771	Heritable	1	0	0	0	1	0	0	0	0	0	0	1
chr1	16271366	16272149	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16282288	16283784	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16295612	16296628	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16298595	16299257	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16304398	16305850	Heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	16329819	16331848	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16337620	16338280	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16344615	16345740	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16361343	16362278	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	16366051	16366619	Heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	16370842	16371866	Heritable	1	1	1	0	0	0	0	0	0	0	0	1
chr1	16381788	16383236	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16388724	16389459	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	16453708	16454985	Heritable	1	1	1	1	0	0	0	0	0	0	0	0
chr1	16678138	16678769	Heritable	0	1	0	0	1	0	0	0	0	0	0	1
chr1	16680528	16680679	Heritable	0	0	0	1	1	1	0	1	0	0	0	0
chr1	16689276	16689710		1	1	0	1	0	0	0	0	0	0	0	1
chr1	16692329	16692614		1	0	0	1	0	1	0	1	0	0	0	0
chr1	16861860	16861959	Non-heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	16877547	16878149	Heritable	0	1	1	0	0	0	0	0	0	0	0	1
chr1	16889717	16890019	Heritable	0	1	0	1	1	1	0	0	0	0	0	0
chr1	16942823	16943102	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	16988777	16989242	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17050374	17050642	Heritable	0	1	0	0	0	0	0	0	0	0	0	1
chr1	17073056	17073440	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17330989	17332133	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	17357759	17358226	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17445204	17445294	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17449602	17450865	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17457572	17458626	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17461299	17461506	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17464474	17465281	Non-heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17478003	17478730	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17482353	17482892	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17483837	17485105	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17495139	17495836	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17500118	17500448	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	17513356	17514292	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	18575735	18576317	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	18784007	18784942	Heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	19183443	19184117	Non-heritable	0	1	1	0	0	1	0	0	0	0	0	0
chr1	19235957	19237014	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	19264150	19264345	Heritable	1	0	1	0	0	0	0	0	0	0	0	0
