"chr","description","n","mean_dist","sd_dist","median_dist"
"chr15","upstream",12,14142.75,11093.8715934438,9769
"chr16","close to 3'",3,1105,589.821159335607,798
"chr16","covers",1,0,NA,0
"chr16","covers exon(s)",31,10065.6774193548,18242.8111017045,3885
"chr16","downstream",27,37227,71590.9671681905,13419
"chr16","inside exon",46,14394.5217391304,58615.7297029614,1387
"chr16","inside intron",262,49438.5152671756,105626.499643365,15007.5
"chr16","overlaps 3'",9,17468.6666666667,36417.7632996591,3988
"chr16","overlaps 5'",16,0,0,0
"chr16","overlaps exon downstream",25,7764.48,27897.7071655241,208
"chr16","overlaps exon upstream",16,6079.125,7147.32754601326,2601.5
"chr16","overlaps two exons",2,6395.5,8480.33162677026,6395.5
"chr16","promoter",22,676.954545454545,582.548054610721,514.5
"chr16","upstream",22,7126.81818181818,4002.26514002786,5931
"chr17","close to 3'",3,1690.66666666667,257.18540653259,1669
"chr17","covers",1,0,NA,0
"chr17","covers exon(s)",34,18441.4117647059,30244.9633644384,5480
"chr17","downstream",27,29115.3333333333,40798.5564280819,9548
"chr17","inside exon",44,12444.3863636364,21389.6497913381,2667.5
"chr17","inside intron",295,30871.1152542373,58515.2508780985,11296
"chr17","overlaps 3'",10,4263.2,6913.74308975327,1488.5
"chr17","overlaps 5'",15,0,0,0
"chr17","overlaps exon downstream",16,4525.875,10451.7002691747,354
"chr17","overlaps exon upstream",27,21151.7037037037,42861.9000923223,3788
"chr17","overlaps two exons",6,1816,3132.6701071131,429.5
"chr17","promoter",27,957.62962962963,690.715467866369,755
"chr17","upstream",20,10016.8,8600.96179811488,7117.5
"chr18","close to 3'",3,1833.33333333333,937.550176435018,2313
"chr18","covers exon(s)",12,39232,47425.234017729,14810
"chr18","downstream",33,77984.5454545455,116976.789988466,35229
"chr18","inside exon",22,32184.0454545455,62244.7405775722,1352.5
"chr18","inside intron",158,32578.0759493671,58361.286118633,13213.5
"chr18","overlaps 3'",4,6573.25,10893.8784454084,1700
"chr18","overlaps 5'",11,0,0,0
"chr18","overlaps exon downstream",7,126.714285714286,74.5692391577883,136
"chr18","overlaps exon upstream",10,141638.6,302132.247282617,8276.5
"chr18","promoter",12,701.75,543.040116549246,573
"chr18","upstream",33,24618.0909090909,25178.7920534867,11725
"chr19","close to 3'",1,2069,NA,2069
"chr19","covers exon(s)",39,10994.6923076923,14239.749648808,4443
"chr19","downstream",27,23354.8148148148,22919.1328571987,14415
"chr19","inside exon",49,15931.1632653061,46876.4079252324,3200
"chr19","inside intron",189,19121.6084656085,25449.0440504143,10097
"chr19","overlaps 3'",8,16824.375,13554.5164843679,11998.5
"chr19","overlaps 5'",15,0,0,0
"chr19","overlaps exon downstream",30,8368.5,17785.8392873424,672.5
"chr19","overlaps exon upstream",26,17954.2692307692,30466.6370071364,4555.5
"chr19","overlaps two exons",3,281,287.824599365655,174
"chr19","promoter",13,749.692307692308,535.26105540745,541
"chr19","upstream",13,11967.0769230769,11476.0959423021,6414
"chr2","close to 3'",5,1313.4,882.899088231492,914
"chr2","covers",2,0,0,0
"chr2","covers exon(s)",41,26952.7073170732,48659.4457131624,5833
"chr2","downstream",81,50695.3827160494,98659.575834225,22192
"chr2","inside exon",59,10423.7796610169,31090.144394729,810
"chr2","inside intron",531,50625.8870056497,91886.7359708045,15351
"chr2","overlaps 3'",13,16382.4615384615,24185.4087024091,3575
"chr2","overlaps 5'",31,0,0,0
"chr2","overlaps exon downstream",38,3271.36842105263,8987.55287146363,152.5
"chr2","overlaps exon upstream",23,47128.6956521739,119419.649394453,4959
"chr2","promoter",39,544.538461538462,543.316562088508,352
"chr2","upstream",60,16300.8333333333,18068.5198761305,10645
"chr20","covers",1,0,NA,0
"chr20","covers exon(s)",18,18758.8888888889,22036.0276175948,6001
"chr20","downstream",19,42421.1578947368,47456.6843919135,20937
"chr20","inside exon",18,14838.5555555556,23537.3439008843,2995.5
"chr20","inside intron",103,42363.7378640777,64925.7372112987,17670
"chr20","overlaps 3'",4,5169,5267.62432221585,5270
"chr20","overlaps 5'",12,0,0,0
"chr20","overlaps exon downstream",14,12779.6428571429,19947.935168283,1664
"chr20","overlaps exon upstream",10,12209.6,13972.5173441772,6946
"chr20","overlaps two exons",2,58,41.0121933088198,58
"chr20","promoter",8,795,525.358653003559,779.5
"chr20","upstream",15,18853.2666666667,19609.4100132224,9755
"chr21","close to 3'",1,2151,NA,2151
"chr21","covers exon(s)",10,42729.7,90460.2748504066,5992.5
"chr21","downstream",16,16592.9375,14940.0274317854,11792.5
"chr21","inside exon",16,9456.3125,21235.0625828094,891
"chr21","inside intron",80,26067.2125,40209.7370041339,9812
"chr21","overlaps 3'",3,504.666666666667,370.459624430697,625
"chr21","overlaps 5'",4,0,0,0
"chr21","overlaps exon downstream",4,7874.75,15479.0078143487,164.5
"chr21","overlaps exon upstream",6,24305.6666666667,19437.6155396352,20373
"chr21","overlaps two exons",1,442,NA,442
"chr21","promoter",5,907.6,911.767404550086,581
"chr21","upstream",10,26523.8,30269.3040143164,13831
"chr22","close to 3'",1,1586,NA,1586
"chr22","covers",1,0,NA,0
"chr22","covers exon(s)",15,4552.46666666667,6831.73615108892,2561
"chr22","downstream",26,15473.0384615385,12586.6325710438,12894.5
"chr22","inside exon",28,34342.5357142857,109764.567693763,1672.5
"chr22","inside intron",133,41648.1578947368,72443.1908664072,11487
"chr22","overlaps 3'",1,216,NA,216
"chr22","overlaps 5'",9,0,0,0
"chr22","overlaps exon downstream",10,9266.6,12596.9452487498,4722
"chr22","overlaps exon upstream",5,7570,9994.68316156145,5265
"chr22","overlaps two exons",2,709,810.344371239783,709
"chr22","promoter",22,564.181818181818,506.587334299553,367.5
"chr22","upstream",5,6305.4,4051.63075810222,4514
"chr3","close to 3'",7,1380.71428571429,650.918764589897,1258
"chr3","covers",1,0,NA,0
"chr3","covers exon(s)",55,16610.7454545455,26788.6842564779,6381
"chr3","downstream",66,64965.303030303,100706.047577166,26122
"chr3","inside exon",50,18114.1,49559.7274857236,1012
"chr3","inside intron",428,47723.6775700935,101486.106425088,13912
"chr3","overlaps 3'",5,6148.8,6384.34716317965,5174
"chr3","overlaps 5'",23,0,0,0
"chr3","overlaps exon downstream",27,2819.88888888889,9074.450347132,190
"chr3","overlaps exon upstream",15,8794.6,13733.5934159376,4675
"chr3","overlaps two exons",2,1316,1501.89480324023,1316
"chr3","promoter",45,602.844444444444,519.735507715028,477
"chr3","upstream",38,22433.9736842105,28069.2576072277,12592
"chr4","close to 3'",1,651,NA,651
"chr4","covers",3,0,0,0
"chr4","covers exon(s)",34,53894.0294117647,110187.625727317,11255
"chr4","downstream",91,58710.3076923077,77931.071078613,33981
"chr4","inside exon",33,10014.5151515152,31194.2309220804,1194
"chr4","inside intron",340,71139.0470588235,125178.859690405,21052
"chr4","overlaps 3'",12,26674.4166666667,48408.889064375,3527.5
"chr4","overlaps 5'",16,0,0,0
"chr4","overlaps exon downstream",26,10648.2307692308,30652.6942715419,301.5
"chr4","overlaps exon upstream",15,40129.6,67857.7383889055,8158
"chr4","overlaps two exons",4,1518,2714.36266306967,203.5
"chr4","promoter",23,860.652173913043,694.790263231591,714
"chr4","upstream",52,21917.0961538462,21322.6991975454,16082
"chr5","close to 3'",10,1600.8,551.819173280523,1631
"chr5","covers",2,0,0,0
"chr5","covers exon(s)",42,18391.9047619048,25222.2222622109,7044.5
"chr5","downstream",73,48791.1780821918,62659.1039619549,27985
"chr5","inside exon",46,16589.5652173913,40077.8441295615,1125
"chr5","inside intron",374,47785.4973262032,76991.4383711229,18368.5
"chr5","overlaps 3'",14,12895.4285714286,23857.6916954044,2185
"chr5","overlaps 5'",10,0,0,0
"chr5","overlaps exon downstream",11,13734.9090909091,41554.3010949638,158
"chr5","overlaps exon upstream",14,17519.5,23142.4613568619,6545.5
"chr5","overlaps two exons",3,1825.33333333333,928.108470672116,2036
"chr5","promoter",45,697.4,633.324360383007,522
"chr5","upstream",49,21373.7346938776,20521.4276598627,13841
"chr6","close to 3'",4,1734,711.203205842043,1799.5
"chr6","covers",5,0,0,0
"chr6","covers exon(s)",45,17774.7555555556,29044.6269605894,2980
"chr6","downstream",61,37995.9672131148,48099.9070515274,20295
"chr6","inside exon",34,23533.7647058824,72451.0123764134,1585
"chr6","inside intron",279,58516.6810035842,165301.502203028,13938
"chr6","overlaps 3'",18,4901.55555555556,8361.15125215648,1475
"chr6","overlaps 5'",28,0,0,0
"chr6","overlaps exon downstream",21,5592.47619047619,14253.7316048081,400
"chr6","overlaps exon upstream",23,24312.8695652174,29157.6261352986,5969
"chr6","overlaps two exons",2,181,24.0416305603426,181
"chr6","promoter",45,792.266666666667,620.29184480152,531
"chr6","upstream",38,23313.9210526316,41717.6857844466,10914
"chr7","close to 3'",5,1091,693.553530738616,751
"chr7","covers",4,0,0,0
"chr7","covers exon(s)",31,27722.1935483871,49407.6160096932,4360
"chr7","downstream",55,38488.0727272727,52231.052480108,28473
"chr7","inside exon",43,8066.09302325581,16703.9723445167,1317
"chr7","inside intron",337,98671.3887240356,176639.753065149,29963
"chr7","overlaps 3'",9,12415.6666666667,21534.7334729269,2528
"chr7","overlaps 5'",22,0,0,0
"chr7","overlaps exon downstream",21,1186.14285714286,1684.68018584283,218
"chr7","overlaps exon upstream",27,6553.77777777778,10518.8076149831,1773
"chr7","overlaps two exons",7,1226.85714285714,2080.69919566888,445
"chr7","promoter",30,830.566666666667,605.17650222937,641
"chr7","upstream",37,20380.027027027,26652.8336782899,12321
"chr8","close to 3'",2,2277,107.480230740355,2277
"chr8","covers",2,0,0,0
"chr8","covers exon(s)",25,31993.8,68070.4052268679,11283
"chr8","downstream",53,58026.8867924528,90547.9679102698,26831
"chr8","inside exon",37,31140.027027027,61214.5104672842,1900
"chr8","inside intron",313,61184.0734824281,125430.732027596,21100
"chr8","overlaps 3'",10,9192.4,13637.493824828,3907.5
"chr8","overlaps 5'",18,0,0,0
"chr8","overlaps exon downstream",17,21336.7647058824,44909.1458050716,163
"chr8","overlaps exon upstream",11,29001.7272727273,49388.6332876117,4279
"chr8","overlaps two exons",1,2911,NA,2911
"chr8","promoter",29,926.48275862069,681.052369535017,840
"chr8","upstream",43,13907.6279069767,10026.6793891366,11449
"chr9","close to 3'",3,794,115.295273103454,845
"chr9","covers",1,0,NA,0
"chr9","covers exon(s)",33,36115.0606060606,79506.2418477079,5446
"chr9","downstream",45,46692.9555555556,76297.8193894746,21027
"chr9","inside exon",33,9267.54545454545,17815.1029257673,1062
"chr9","inside intron",295,40319.8779661017,74852.2361342531,13499
"chr9","overlaps 3'",4,142357.5,154824.940890241,142775.5
"chr9","overlaps 5'",15,0,0,0
"chr9","overlaps exon downstream",22,16299.3636363636,44065.1509564401,126
"chr9","overlaps exon upstream",27,24336.0740740741,46450.1130419473,4124
"chr9","overlaps two exons",3,39361.6666666667,68121.849184629,49
"chr9","promoter",26,827.115384615385,740.720585750016,517
"chr9","upstream",27,12909.8518518519,12797.3326027903,6929
