"chr","description","n","mean_dist","sd_dist","median_dist"
"chr5","downstream",52,37252.1538461538,48592.6313240544,20552
"chr5","inside exon",29,14807.6206896552,30870.4110614191,1104
"chr5","inside intron",292,60829.9589041096,101459.690920392,19720
"chr5","overlaps 3'",8,13474.875,26815.3984890212,1378
"chr5","overlaps 5'",7,0,0,0
"chr5","overlaps exon downstream",9,15585.7777777778,46170.5491216473,79
"chr5","overlaps exon upstream",10,21972.2,27447.2283636152,8893.5
"chr5","overlaps two exons",2,43,33.9411254969543,43
"chr5","promoter",28,670.428571428571,635.57850163928,520
"chr5","upstream",38,23040.3947368421,23582.4644914101,14803.5
"chr6","close to 3'",3,1385.33333333333,727.234716809734,1749
"chr6","covers",2,0,0,0
"chr6","covers exon(s)",28,26975.5714285714,42914.3621253344,6957
"chr6","downstream",66,36367.9545454545,50225.1469455849,12961.5
"chr6","inside exon",26,7754.61538461538,14232.3713753595,1086
"chr6","inside intron",258,54467.4612403101,124950.640862237,16477
"chr6","overlaps 3'",10,8860.9,12579.0146447698,3177
"chr6","overlaps 5'",19,0,0,0
"chr6","overlaps exon downstream",15,502.666666666667,788.935418927364,223
"chr6","overlaps exon upstream",20,9612.85,15689.5782817935,3642.5
"chr6","overlaps two exons",2,215922.5,304943.334920605,215922.5
"chr6","promoter",39,672.384615384615,655.227666957492,437
"chr6","upstream",28,20574.2857142857,37962.59627762,11211
"chr7","close to 3'",3,815,139.08270920571,747
"chr7","covers",4,0,0,0
"chr7","covers exon(s)",28,33900.9285714286,98881.9624696363,3065
"chr7","downstream",65,41378.2769230769,51269.8080728645,24880
"chr7","inside exon",32,54109.78125,252400.219735186,1727
"chr7","inside intron",292,69562.7328767123,129615.013889484,19057
"chr7","overlaps 3'",7,5992.57142857143,11854.1089199363,1730
"chr7","overlaps 5'",21,0,0,0
"chr7","overlaps exon downstream",14,5417.64285714286,17964.0080528866,251
"chr7","overlaps exon upstream",17,5089.58823529412,5969.53481289396,2010
"chr7","overlaps two exons",1,90,NA,90
"chr7","promoter",24,663.5,367.633915263777,533
"chr7","upstream",29,23192.4137931034,19111.6610373974,15472
"chr8","close to 3'",3,1798.33333333333,832.551099532835,2201
"chr8","covers",1,0,NA,0
"chr8","covers exon(s)",14,19028.7857142857,26298.3372220157,4164.5
"chr8","downstream",39,66815.5384615385,96351.5680881455,34880
"chr8","inside exon",19,12300.8947368421,42639.0892216868,1019
"chr8","inside intron",268,77260.3694029851,190930.678271696,15880.5
"chr8","overlaps 3'",9,74751.8888888889,156304.838190029,2902
"chr8","overlaps 5'",17,0,0,0
"chr8","overlaps exon downstream",7,140.571428571429,92.2078397658557,125
"chr8","overlaps exon upstream",6,19136.8333333333,34701.4811926907,2659
"chr8","overlaps two exons",2,2679.5,3714.43192157293,2679.5
"chr8","promoter",28,868.714285714286,676.580336974814,704.5
"chr8","upstream",37,15002.0540540541,11508.4877902885,11091
"chr9","close to 3'",5,971.4,486.346378623302,818
"chr9","covers exon(s)",20,50045.9,94140.4886874147,8557
"chr9","downstream",45,52892.6666666667,75744.3582744556,22072
"chr9","inside exon",19,4036.52631578947,11418.4746956093,1081
"chr9","inside intron",237,50847.9915611814,99775.2545477896,16377
"chr9","overlaps 3'",3,17819,26864.3482519119,2701
"chr9","overlaps 5'",14,0,0,0
"chr9","overlaps exon downstream",15,133.666666666667,159.43859842167,88
"chr9","overlaps exon upstream",10,28124.5,61152.9754981536,5572.5
"chr9","overlaps two exons",2,49.5,0.707106781186548,49.5
"chr9","promoter",27,843.037037037037,703.000190473849,541
"chr9","upstream",20,17737.9,18860.5409558519,13155.5
