seqnames	start	end	h2_category	hg38_genes_promoters	hg38_cpg_inter	hg38_genes_intergenic	hg38_genes_1to5kb	hg38_genes_introns	hg38_cpg_shores	hg38_genes_exons	hg38_cpg_islands	hg38_enhancers_fantom	hg38_cpg_shelves	hg38_genes_5UTRs	hg38_genes_3UTRs
chr1	1726018	1726179	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	1733116	1734078	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	1747222	1747531	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	1803285	1804575	Heritable	0	1	0	0	1	0	1	0	0	0	1	0
chr1	1811736	1812060	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1864988	1865598	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1866651	1867311	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	1903817	1904204	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	1909401	1909805	Heritable	0	0	1	0	0	1	0	0	0	0	0	0
chr1	1931092	1933076	Non-heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr1	1948295	1949786	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	1983833	1984190	Non-heritable	0	0	0	0	1	1	1	0	0	0	0	0
chr1	1995470	1995705	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	1999677	1999795	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	2099092	2099401	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	2124263	2124404	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	2132344	2132503	Heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr1	2187365	2187595	Non-heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	2189186	2190519	Heritable	0	0	0	1	1	1	1	1	0	0	0	1
chr1	2211095	2211773	Non-heritable	1	0	0	1	1	1	0	0	0	0	0	0
chr1	2219829	2220096	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	2223421	2224104	Non-heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr1	2225384	2225991	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2245535	2245882	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	2287897	2288206	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	2435629	2436634	Heritable	0	0	0	0	1	1	0	0	0	1	0	0
chr1	2617421	2617586	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	2949413	2949577	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	2967108	2967240	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	2968467	2968783	Heritable	1	0	0	0	1	1	1	1	0	0	0	0
chr1	2983029	2983369	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	3010137	3010525	Non-heritable	0	0	1	0	0	0	0	0	0	1	0	0
chr1	3031165	3031621	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	3360993	3361233	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	3441323	3441727	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	3812561	3812935	Heritable	0	0	0	0	0	1	1	0	0	1	0	1
chr1	3901723	3902181	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	5073540	5073805	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	5159284	5159914	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	5294996	5295361	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6110840	6111482	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	6114209	6115108	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6123029	6123720	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	6158653	6159302	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6190288	6191723	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6202905	6203811	Heritable	1	0	0	1	1	1	1	0	0	1	1	0
chr1	6214851	6215323	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6323228	6323538	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6334801	6335479	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6363197	6363371	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	6364155	6365399	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	6375583	6376381	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6388567	6389035	Non-heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr1	6390250	6391612	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	6399915	6400080	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6442446	6443305	Heritable	0	0	0	1	1	1	1	0	0	1	0	0
chr1	6458082	6459392	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	6481445	6482023	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	6522347	6523307	Heritable	0	1	0	1	0	0	1	0	0	0	0	1
chr1	6529857	6530408	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6538333	6539374	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	6576813	6578067	Heritable	0	0	0	1	1	1	1	0	0	1	0	0
chr1	6582793	6583843	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	6612183	6612386	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	6615999	6616325	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	6659618	6660012	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	6669007	6669611	Heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	6671273	6671767	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	6703505	6704288	Heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	6709932	6710171	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6712996	6713451	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6738660	6739567	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6759274	6759903	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	6769739	6770258	Heritable	0	1	1	0	1	0	1	0	0	0	0	0
chr1	6839153	6840194	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	7030903	7031731	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	7261998	7262817	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	7665689	7666419	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	7758883	7759295	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	7807998	7808147	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	7812236	7812669	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	7823005	7823818	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	7849277	7849904	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	7854083	7854466	Non-heritable	1	1	0	1	0	0	0	0	0	0	0	0
chr1	7971654	7971990	Heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	7977152	7978517	Heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	8130206	8131446	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8160491	8160740	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8182792	8183873	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8186689	8187917	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	8204314	8205080	Heritable	0	1	0	1	1	0	0	0	1	0	0	0
chr1	8233895	8234123	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8240722	8241369	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8255204	8255824	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8305769	8306651	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8332393	8332806	Heritable	0	0	0	0	1	1	0	0	0	1	0	0
chr1	8340914	8341851	Non-heritable	0	0	0	0	1	1	0	0	0	1	0	0
chr1	8403043	8403510	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8608217	8610015	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8713508	8714460	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8760086	8760421	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8774510	8775337	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8792533	8793113	Heritable	0	1	0	0	1	0	1	0	0	0	1	0
chr1	8818960	8819118	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	8828727	8828988	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	8853051	8853571	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	8877442	8877593	Non-heritable	0	0	0	1	1	1	1	0	0	0	0	0
chr1	8881629	8882696	Non-heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr1	8888276	8888959	Non-heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	8906387	8907271	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	8966004	8966648	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	8975419	8975943	Non-heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	8995214	8996198	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9043628	9044011	Non-heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	9063781	9063990	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9109027	9110220	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9138087	9138672	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9222666	9224410		0	1	1	0	0	0	0	0	0	0	0	0
chr1	9407927	9408758	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9478805	9479363	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9514811	9515615	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9531019	9532263	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9536906	9537576	Heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	9540619	9541129	Heritable	0	0	0	0	1	1	0	0	0	0	0	0
chr1	9575443	9575741	Heritable	1	1	0	0	1	0	0	0	0	0	0	0
chr1	9580595	9580841	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9587739	9588107	Non-heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	9660973	9661778	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9674947	9675113	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9695418	9695790	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9761977	9762578	Non-heritable	0	0	0	0	1	1	0	1	0	0	0	0
chr1	9771154	9771826	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9782961	9784278	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9803600	9804406	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9805206	9805798	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9829588	9830096	Non-heritable	0	1	0	1	0	0	0	0	1	0	0	0
chr1	9831964	9832946	Non-heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	9908023	9908442	Non-heritable	0	0	0	0	1	1	1	0	0	0	0	0
chr1	9919693	9920022	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9925738	9926651	Heritable	0	1	0	0	1	0	1	0	0	0	0	1
chr1	9932063	9932678	Non-heritable	1	1	0	0	1	0	1	0	0	0	0	0
chr1	9936739	9937168	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	9944227	9944329	Non-heritable	1	0	0	1	1	1	0	0	0	0	0	0
chr1	9953666	9956151	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	9958673	9959666	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	9962704	9962916	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	9965640	9966350	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	9976506	9977638	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	9980151	9980907	Heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	9986613	9987634	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	9994533	9995043	Non-heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr1	10003286	10004313	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	1
chr1	10010606	10011044	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10025717	10026575	Low prediction	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10035765	10036043	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	10094404	10094872	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10134198	10135208	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	10137847	10139133	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10148143	10149228	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	10150243	10151411	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	10174008	10175854	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	10190813	10192190	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	10222779	10223166	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	10243833	10244999	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10336171	10337101	Heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	10349882	10351263	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	10356543	10357963	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10360422	10360633	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	10390696	10392355	Non-heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	10397539	10398150	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	10454923	10455353	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	10469499	10470485	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	10486417	10486966	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10488914	10489270	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10551890	10552436	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10564926	10565193	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10570009	10570578	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10600141	10601176	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10615273	10615683	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	10970355	10970863	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	10982768	10984065	Heritable	1	1	0	1	0	0	0	0	0	0	0	0
chr1	10993276	10994139	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	11015664	11016381	Heritable	1	0	0	1	1	0	1	0	0	1	0	1
chr1	11028613	11029279	Non-heritable	1	1	0	1	1	0	1	0	0	0	0	0
chr1	11078736	11079424	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	11095206	11095586	Non-heritable	0	1	0	1	1	0	1	0	0	1	0	1
chr1	11135191	11136754	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	11172283	11172840	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	11332592	11333387	Heritable	0	1	1	0	0	0	0	0	1	0	0	0
chr1	11381527	11382006	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	11665247	11665854	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	11678342	11679150	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	11760755	11761793	Heritable	1	0	0	1	0	1	1	0	0	0	1	0
chr1	11909194	11909458	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	11925291	11925841	Heritable	0	0	0	0	0	1	1	1	0	0	0	0
chr1	11951685	11951981	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	11959119	11959837	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	12017319	12017840	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	12068550	12069166	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	12094877	12096021	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	12133610	12134242	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	12159386	12159680	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12330140	12330521	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	12351376	12352277	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	12483186	12484135	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	12515613	12516353	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	12605906	12606582	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	12689515	12689706	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	12690775	12690837	Non-heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	13008978	13009164	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13219762	13219847	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13417527	13418198	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	13421540	13422115	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13524338	13525019	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13527381	13527647	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13537976	13539276	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13568660	13569448	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13671016	13672864	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	13699028	13699179	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	13705482	13706534	Non-heritable	0	1	0	0	1	0	1	0	0	0	1	0
chr1	13750927	13751877	Non-heritable	0	0	0	0	1	1	0	0	0	0	0	0
chr1	13881055	13881924	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	14145777	14146492	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	14147501	14147688	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	14728051	14728422	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15228644	15228989		0	1	1	0	0	0	0	0	0	0	0	0
chr1	15392258	15392424	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15396955	15397698	Heritable	0	1	0	0	1	0	1	0	0	0	0	1
chr1	15417957	15418430	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15494489	15494819	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15554757	15555978	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	15564614	15565391	Heritable	1	1	0	1	1	0	1	0	0	0	0	0
chr1	15584195	15584303	Heritable	0	0	0	0	1	1	0	0	0	0	0	0
chr1	15590565	15592015	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15601172	15601589		0	0	0	1	1	1	0	0	0	1	0	0
chr1	15611202	15611840	Heritable	0	1	0	1	0	0	0	0	0	0	0	0
chr1	15646163	15646601	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15682511	15682710	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15759669	15760827	Heritable	0	0	0	1	1	1	0	0	1	0	0	0
chr1	15773084	15773476	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	15774944	15775729	Heritable	0	1	0	1	1	0	1	0	0	0	0	1
chr1	15784990	15785973	Heritable	0	1	0	0	0	0	1	0	0	0	0	1
chr1	15798054	15799255	Heritable	0	1	1	0	0	0	0	0	1	0	0	0
chr1	15813830	15815282	Heritable	0	1	1	1	0	0	0	0	0	0	0	0
chr1	15819248	15820263	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15821115	15821542	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15833305	15833485	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15904704	15905913	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15909921	15910110	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	15911208	15914551	Heritable	0	1	0	0	1	0	1	0	0	0	0	1
chr1	15980274	15981321	Heritable	0	1	1	1	0	0	0	0	0	0	0	0
chr1	15988425	15989005	Heritable	1	1	0	1	0	0	1	0	0	0	0	0
chr1	16074748	16074944	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16136294	16137091	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	16214940	16215771	Heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	16271425	16272149	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16282286	16283784	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16295612	16296628	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16298595	16299353	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16304398	16305850	Heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	16329953	16331848	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16337620	16338280	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16344615	16345740	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16361343	16362278	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	16366051	16366619	Heritable	1	0	0	1	1	1	0	0	0	0	0	0
chr1	16370842	16371866	Heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr1	16381788	16383236	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16388724	16389459	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16453708	16454985	Heritable	1	1	0	1	1	0	0	0	0	0	0	0
chr1	16678138	16678820	Heritable	0	0	0	0	1	1	0	0	0	1	0	0
chr1	16680528	16680679	Heritable	1	0	0	0	0	1	1	1	0	0	0	0
chr1	16689316	16689710	Non-heritable	1	0	0	1	1	0	0	0	0	1	0	0
chr1	16692189	16692568	Non-heritable	1	0	0	1	1	0	1	1	0	0	0	0
chr1	16712981	16713657	Non-heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	16796340	16796828	Non-heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	16858796	16859625	Non-heritable	1	0	0	0	1	1	1	1	0	0	0	0
chr1	16861851	16861959	Non-heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	16877547	16878149	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	16942823	16943102	Heritable	0	1	0	1	1	0	0	0	0	0	0	0
chr1	16988654	16989294	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	17050374	17051631	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	17073056	17073440	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	17118055	17118533	Heritable	0	0	0	0	1	1	0	0	0	0	0	0
chr1	17316131	17316516	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	17330989	17332133	Non-heritable	0	1	0	0	1	0	1	0	0	0	0	0
chr1	17357714	17358226	Heritable	0	1	0	0	1	0	0	0	0	0	0	0
chr1	17449602	17450865	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17457434	17458626	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17461299	17461506	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17464474	17465281	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17477968	17478763	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	17482393	17482946	Non-heritable	0	1	1	0	0	0	0	0	0	0	0	0
