shared_feature_id	seqnames_caudate	start_caudate	end_caudate	feature_id_caudate	caudate	seqnames_hippocampus	start_hippocampus	end_hippocampus	hippocampus	feature_id_hippocampus	seqnames_dlpfc	start_dlpfc	end_dlpfc	dlpfc	feature_id_dlpfc
VMR_S32	chrX	38326599	38327123	VMR234	1	chrX	38326702	38326988	1	VMR85	chrX	38326741	38326940	1	VMR86
VMR_S33	chrX	41336111	41339303	VMR259	1	chrX	41336300	41337769	1	VMR86	chrX	41336300	41337769	1	VMR88
VMR_S34	chrX	46574246	46574369	VMR269	1	chrX	46574021	46575612	1	VMR89	chrX	46574012	46575656	1	VMR90
VMR_S35	chrX	46836606	46837857	VMR270	1	chrX	46836651	46837214	1	VMR90	chrX	46836651	46837317	1	VMR91
VMR_S36	chrX	47219700	47220438	VMR278	1	chrX	47219576	47220083	1	VMR93	chrX	47219630	47220083	1	VMR95
VMR_S37	chrX	48475793	48476925	VMR292	1	chrX	48475993	48476647	1	VMR99	chrX	48476025	48476686	1	VMR99
VMR_S38	chrX	48675818	48676171	VMR298	1	chrX	48675892	48676877	1	VMR103	chrX	48675892	48676877	1	VMR104
VMR_S39	chrX	48896772	48898745	VMR304	1	chrX	48897443	48898087	1	VMR108	chrX	48897460	48898027	1	VMR109
VMR_S40	chrX	48958088	48959150	VMR306	1	chrX	48956982	48959034	1	VMR110	chrX	48956943	48959003	1	VMR110
VMR_S41	chrX	49100604	49101061	VMR313	1	chrX	49100940	49101755	1	VMR113	chrX	49100827	49101656	1	VMR113
VMR_S42	chrX	49190594	49191981	VMR318	1	chrX	49190679	49191819	1	VMR118	chrX	49190675	49191837	1	VMR118
VMR_S43	chrX	49268675	49269595	VMR320	1	chrX	49268975	49270445	1	VMR119	chrX	49268859	49270445	1	VMR119
VMR_S44	chrX	53683094	53684808	VMR338	1	chrX	53683551	53684580	1	VMR122	chrX	53683560	53684580	1	VMR123
VMR_S45	chrX	54042665	54045057	VMR340	1	chrX	54043773	54044720	1	VMR123	chrX	54043822	54044613	1	VMR124
VMR_S46	chrX	54182304	54182663	VMR341	1	chrX	54182507	54183106	1	VMR124	chrX	54182485	54183077	1	VMR125
VMR_S47	chrX	54999573	55001042	VMR349	1	chrX	55000275	55000902	1	VMR130	chrX	55000275	55000902	1	VMR129
VMR_S48	chrX	73850498	73852806	VMR392	1	chrX	73850950	73852376	1	VMR140	chrX	73850950	73852376	1	VMR137
VMR_S49	chrX	74614079	74615014	VMR394	1	chrX	74614128	74615014	1	VMR142	chrX	74614220	74615014	1	VMR139
VMR_S50	chrX	74923966	74924978	VMR395	1	chrX	74924029	74925340	1	VMR143	chrX	74924073	74925340	1	VMR140
VMR_S51	chrX	75746799	75746936	VMR400	1	chrX	75746879	75747603	1	VMR144	chrX	75746842	75747603	1	VMR141
VMR_S52	chr1	101308446	101308887	VMR435	1	chr1	101308446	101308887	1	VMR155	chr1	101308446	101308887	1	VMR151
VMR_S53	chr1	106080662	106081231	VMR442	1	chr1	106080662	106081023	1	VMR180	chr1	106080662	106081106	1	VMR177
VMR_S54	chr1	106240486	106241224	VMR443	1	chr1	106240486	106243165	1	VMR182	chr1	106240486	106242267	1	VMR178
VMR_S55	chr1	108875899	108876327	VMR456	1	chr1	108876067	108876386	1	VMR184	chr1	108876067	108876386	1	VMR181
VMR_S56	chr1	112742759	112743662	VMR482	1	chr1	112743008	112743470	1	VMR198	chr1	112743027	112743470	1	VMR196
VMR_S57	chr1	115977319	115977696	VMR495	1	chr1	115977424	115980485	1	VMR205	chr1	115977424	115981081	1	VMR203
VMR_S58	chr1	115978319	115980132	VMR496	1	chr1	115977424	115980485	1	VMR205	chr1	115977424	115981081	1	VMR203
VMR_S59	chr1	11925291	11925690	VMR511	1	chr1	11925291	11925841	1	VMR214	chr1	11925308	11925848	1	VMR214
VMR_S60	chr1	121396242	121396985	VMR526	1	chr1	121396368	121397047	1	VMR228	chr1	121395872	121397087	1	VMR226
VMR_S61	chr1	1351537	1351687	VMR540	1	chr1	1351411	1351596	1	VMR246	chr1	1351411	1351631	1	VMR243
VMR_S62	chr1	143649069	143651193	VMR556	1	chr1	143649450	143650846	1	VMR262	chr1	143649497	143650758	1	VMR259
VMR_S63	chr1	143652062	143655752	VMR557	1	chr1	143652327	143654781	1	VMR263	chr1	143652287	143655269	1	VMR260
VMR_S64	chr1	143666997	143668253	VMR559	1	chr1	143667154	143668095	1	VMR264	chr1	143667272	143668457	1	VMR262
VMR_S65	chr1	143691449	143691907	VMR561	1	chr1	143691257	143691988	1	VMR265	chr1	143691308	143691988	1	VMR264
VMR_S66	chr1	143717480	143718348	VMR562	1	chr1	143717513	143718157	1	VMR266	chr1	143717494	143718348	1	VMR265
VMR_S67	chr1	143966798	143967472	VMR566	1	chr1	143966798	143967162	1	VMR269	chr1	143966798	143967099	1	VMR268
VMR_S68	chr1	145487922	145488458	VMR575	1	chr1	145488163	145488406	1	VMR276	chr1	145487922	145488406	1	VMR274
VMR_S69	chr1	145992222	145995320	VMR577	1	chr1	145993952	145994955	1	VMR277	chr1	145993952	145995223	1	VMR275
VMR_S70	chr1	146377995	146378135	VMR581	1	chr1	146378073	146378177	1	VMR281	chr1	146378035	146378177	1	VMR279
VMR_S71	chr1	146486493	146486634	VMR583	1	chr1	146486290	146486628	1	VMR282	chr1	146486290	146486628	1	VMR280
VMR_S72	chr1	146932364	146932624	VMR584	1	chr1	146932524	146933347	1	VMR283	chr1	146932524	146934157	1	VMR281
VMR_S73	chr1	146932851	146933347	VMR585	1	chr1	146932524	146933347	1	VMR283	chr1	146932524	146934157	1	VMR281
VMR_S74	chr1	148328866	148330037	VMR595	1	chr1	148328866	148329840	1	VMR291	chr1	148328866	148329798	1	VMR290
VMR_S75	chr1	148361239	148362991	VMR597	1	chr1	148361764	148362684	1	VMR293	chr1	148361802	148362253	1	VMR291
VMR_S76	chr1	148387759	148388213	VMR598	1	chr1	148387936	148388122	1	VMR294	chr1	148387849	148388213	1	VMR292
VMR_S77	chr1	152188602	152189261	VMR615	1	chr1	152188737	152189293	1	VMR316	chr1	152188737	152189231	1	VMR318
VMR_S78	chr1	155231398	155232386	VMR632	1	chr1	155231089	155231988	1	VMR326	chr1	155231089	155231988	1	VMR326
VMR_S79	chr1	155689679	155689928	VMR635	1	chr1	155689804	155690277	1	VMR330	chr1	155689836	155689991	1	VMR330
VMR_S80	chr1	155690930	155691682	VMR636	1	chr1	155691000	155695885	1	VMR331	chr1	155691064	155695885	1	VMR331
VMR_S81	chr1	155694890	155695588	VMR637	1	chr1	155691000	155695885	1	VMR331	chr1	155691064	155695885	1	VMR331
VMR_S82	chr1	156619216	156619934	VMR645	1	chr1	156619156	156619934	1	VMR342	chr1	156619156	156619934	1	VMR340
VMR_S83	chr1	157278817	157279954	VMR655	1	chr1	157278965	157279842	1	VMR345	chr1	157279027	157279842	1	VMR345
VMR_S84	chr1	158212100	158213293	VMR658	1	chr1	158212502	158214229	1	VMR354	chr1	158212542	158214229	1	VMR355
VMR_S85	chr1	15833243	15833455	VMR660	1	chr1	15833305	15833485	1	VMR355	chr1	15833352	15833485	1	VMR356
VMR_S86	chr1	160985050	160985277	VMR674	1	chr1	160985050	160985506	1	VMR367	chr1	160985050	160985590	1	VMR367
VMR_S87	chr1	161378932	161379527	VMR679	1	chr1	161379022	161379370	1	VMR371	chr1	161379105	161379370	1	VMR370
VMR_S88	chr1	161442957	161443817	VMR682	1	chr1	161442826	161443878	1	VMR372	chr1	161442826	161443878	1	VMR371
VMR_S89	chr1	161524770	161525233	VMR687	1	chr1	161524787	161525303	1	VMR374	chr1	161524805	161525279	1	VMR373
VMR_S90	chr1	16677941	16678490	VMR702	1	chr1	16678138	16678820	1	VMR399	chr1	16678138	16678769	1	VMR399
VMR_S91	chr1	16692189	16692603	VMR705	1	chr1	16692189	16692568	1	VMR402	chr1	16692329	16692614	1	VMR402
VMR_S92	chr1	173870148	173870397	VMR716	1	chr1	173870148	173870397	1	VMR425	chr1	173870221	173870496	1	VMR421
VMR_S93	chr1	179361590	179364390	VMR725	1	chr1	179361590	179364257	1	VMR439	chr1	179361590	179364327	1	VMR435
VMR_S94	chr1	185403145	185405070	VMR742	1	chr1	185402979	185404583	1	VMR448	chr1	185403145	185404583	1	VMR439
VMR_S95	chr1	18575584	18576317	VMR744	1	chr1	18576104	18576317	1	VMR449	chr1	18575735	18576317	1	VMR440
VMR_S96	chr1	18784007	18785106	VMR747	1	chr1	18784007	18784942	1	VMR453	chr1	18784007	18784942	1	VMR444
VMR_S97	chr1	201505617	201506323	VMR779	1	chr1	201505617	201506223	1	VMR483	chr1	201505617	201506223	1	VMR472
VMR_S98	chr1	202123855	202124186	VMR784	1	chr1	202123533	202124434	1	VMR486	chr1	202122839	202124298	1	VMR474
VMR_S99	chr1	205041426	205042540	VMR800	1	chr1	205042099	205042540	1	VMR491	chr1	205042026	205042429	1	VMR479
VMR_S100	chr1	205849356	205850886	VMR813	1	chr1	205849356	205851356	1	VMR498	chr1	205849356	205851328	1	VMR490
VMR_S101	chr1	207668958	207669381	VMR823	1	chr1	207669168	207669461	1	VMR505	chr1	207669231	207669381	1	VMR497
VMR_S102	chr1	207751031	207751443	VMR825	1	chr1	207751031	207751443	1	VMR507	chr1	207751031	207751443	1	VMR498
VMR_S103	chr1	212415357	212416390	VMR849	1	chr1	212415506	212416026	1	VMR516	chr1	212415506	212416026	1	VMR507
VMR_S104	chr1	2124314	2124541	VMR850	1	chr1	2124263	2124404	1	VMR517	chr1	2124263	2124404	1	VMR508
VMR_S105	chr1	21437255	21437893	VMR863	1	chr1	21437342	21437779	1	VMR521	chr1	21437342	21437803	1	VMR511
VMR_S106	chr1	2189201	2190598	VMR876	1	chr1	2189186	2190519	1	VMR534	chr1	2189201	2190519	1	VMR524
VMR_S107	chr1	22011488	22012964	VMR880	1	chr1	22011556	22012964	1	VMR536	chr1	22011620	22012964	1	VMR527
VMR_S108	chr1	221738870	221740234	VMR889	1	chr1	221738870	221740234	1	VMR540	chr1	221739011	221740234	1	VMR532
VMR_S109	chr1	223392968	223394019	VMR895	1	chr1	223393105	223393882	1	VMR545	chr1	223393105	223393882	1	VMR535
VMR_S110	chr1	223801971	223802798	VMR900	1	chr1	223802171	223802583	1	VMR546	chr1	223802171	223803399	1	VMR537
VMR_S111	chr1	223993657	223993867	VMR901	1	chr1	223993657	223993867	1	VMR547	chr1	223993657	223993832	1	VMR538
VMR_S112	chr1	226974985	226976095	VMR920	1	chr1	226975723	226976074	1	VMR555	chr1	226975648	226976056	1	VMR546
VMR_S113	chr1	228635583	228635669	VMR942	1	chr1	228635354	228635757	1	VMR560	chr1	228635356	228635757	1	VMR553
VMR_S114	chr1	228736914	228741277	VMR946	1	chr1	228737077	228740015	1	VMR561	chr1	228736914	228742648	1	VMR554
VMR_S115	chr1	234356684	234357513	VMR973	1	chr1	234356684	234357513	1	VMR576	chr1	234356684	234357513	1	VMR571
VMR_S116	chr1	240492809	240493484	VMR988	1	chr1	240492998	240493391	1	VMR602	chr1	240493061	240493251	1	VMR598
VMR_S117	chr1	243101394	243102151	VMR993	1	chr1	243101394	243102151	1	VMR609	chr1	243101394	243102104	1	VMR604
VMR_S118	chr1	247127298	247128072	VMR1021	1	chr1	247127684	247128304	1	VMR621	chr1	247127684	247128304	1	VMR615
VMR_S119	chr1	247518036	247518614	VMR1023	1	chr1	247518125	247518531	1	VMR625	chr1	247518180	247518488	1	VMR618
VMR_S120	chr1	247530658	247531185	VMR1024	1	chr1	247530431	247531132	1	VMR626	chr1	247530431	247531081	1	VMR619
VMR_S121	chr1	247783420	247785859	VMR1026	1	chr1	247782427	247785470	1	VMR630	chr1	247782427	247785470	1	VMR621
VMR_S122	chr1	247936918	247938282	VMR1028	1	chr1	247937024	247938282	1	VMR632	chr1	247937369	247938282	1	VMR624
VMR_S123	chr1	248704256	248709141	VMR1035	1	chr1	248704256	248708882	1	VMR641	chr1	248704256	248708771	1	VMR634
VMR_S124	chr1	26200416	26201583	VMR1067	1	chr1	26200776	26201118	1	VMR668	chr1	26200776	26201232	1	VMR660
VMR_S125	chr1	28246210	28247095	VMR1083	1	chr1	28245560	28247076	1	VMR732	chr1	28245416	28247076	1	VMR722
VMR_S126	chr1	3031124	3031708	VMR1107	1	chr1	3031165	3031621	1	VMR771	chr1	3031165	3031526	1	VMR758
VMR_S127	chr1	31154431	31154704	VMR1118	1	chr1	31154431	31154646	1	VMR777	chr1	31154479	31154646	1	VMR765
VMR_S128	chr1	3360659	3361422	VMR1154	1	chr1	3360993	3361233	1	VMR809	chr1	3361017	3361233	1	VMR795
VMR_S129	chr1	37690925	37691411	VMR1190	1	chr1	37690964	37691146	1	VMR846	chr1	37690964	37691146	1	VMR826
VMR_S130	chr1	39770451	39770562	VMR1211	1	chr1	39770382	39771485	1	VMR858	chr1	39770382	39770511	1	VMR839
VMR_S131	chr1	39799459	39799793	VMR1213	1	chr1	39799398	39799566	1	VMR859	chr1	39799356	39799656	1	VMR841
VMR_S132	chr1	44103426	44103777	VMR1245	1	chr1	44103532	44103726	1	VMR883	chr1	44103569	44103691	1	VMR865
VMR_S133	chr1	50951950	50952397	VMR1270	1	chr1	50952107	50952369	1	VMR909	chr1	50952107	50952232	1	VMR892
VMR_S134	chr1	51730067	51730609	VMR1271	1	chr1	51730447	51730609	1	VMR915	chr1	51730226	51730540	1	VMR899
VMR_S135	chr1	65550124	65550867	VMR1328	1	chr1	65549458	65550736	1	VMR966	chr1	65550124	65550713	1	VMR944
VMR_S136	chr1	72334743	72334842	VMR1344	1	chr1	72334743	72334842	1	VMR987	chr1	72334745	72334842	1	VMR965
VMR_S137	chr1	75124701	75127449	VMR1348	1	chr1	75125068	75127265	1	VMR989	chr1	75124904	75127449	1	VMR968
VMR_S138	chr1	88993642	88993975	VMR1374	1	chr1	88993737	88993975	1	VMR1038	chr1	88993737	88993911	1	VMR1020
VMR_S139	chr1	9223206	9223416	VMR1383	1	chr1	9222666	9224410	1	VMR1052	chr1	9222666	9224410	1	VMR1035
VMR_S140	chr1	95232696	95233361	VMR1394	1	chr1	95232696	95233271	1	VMR1057	chr1	95232774	95233271	1	VMR1041
VMR_S141	chr1	9536299	9537435	VMR1395	1	chr1	9536906	9537576	1	VMR1060	chr1	9536906	9537435	1	VMR1044
VMR_S142	chr2	10006385	10007067	VMR1403	1	chr2	10006465	10006900	1	VMR1092	chr2	10006413	10006900	1	VMR1072
VMR_S143	chr2	100105946	100106218	VMR1405	1	chr2	100105946	100106218	1	VMR1093	chr2	100105865	100106218	1	VMR1073
VMR_S144	chr2	100605307	100605850	VMR1412	1	chr2	100604102	100605850	1	VMR1098	chr2	100604162	100605850	1	VMR1075
VMR_S145	chr2	101616309	101617147	VMR1420	1	chr2	101616309	101617176	1	VMR1105	chr2	101616309	101616984	1	VMR1080
VMR_S146	chr2	10196226	10197095	VMR1423	1	chr2	10196374	10196899	1	VMR1110	chr2	10196374	10196899	1	VMR1084
VMR_S147	chr2	10283395	10285438	VMR1430	1	chr2	10283395	10284758	1	VMR1113	chr2	10283395	10285932	1	VMR1086
VMR_S148	chr2	10360908	10361412	VMR1435	1	chr2	10360988	10361412	1	VMR1114	chr2	10360988	10361865	1	VMR1087
VMR_S149	chr2	10371600	10373116	VMR1436	1	chr2	10371786	10373122	1	VMR1115	chr2	10371749	10372883	1	VMR1088
VMR_S150	chr2	10432152	10432625	VMR1438	1	chr2	10432228	10432528	1	VMR1118	chr2	10432304	10432668	1	VMR1091
VMR_S151	chr2	105746260	105746382	VMR1445	1	chr2	105746260	105746520	1	VMR1131	chr2	105746260	105746492	1	VMR1103
VMR_S152	chr2	106066116	106066480	VMR1446	1	chr2	106066223	106066524	1	VMR1132	chr2	106066116	106066432	1	VMR1104
VMR_S153	chr2	106263504	106266123	VMR1447	1	chr2	106263298	106265958	1	VMR1133	chr2	106263136	106265798	1	VMR1105
VMR_S154	chr2	106584203	106584856	VMR1450	1	chr2	106584287	106584691	1	VMR1136	chr2	106584274	106584737	1	VMR1109
VMR_S155	chr2	108718816	108718987	VMR1457	1	chr2	108718852	108718927	1	VMR1140	chr2	108718852	108718927	1	VMR1113
VMR_S156	chr2	109315260	109316626	VMR1463	1	chr2	109315062	109316278	1	VMR1144	chr2	109315062	109316278	1	VMR1119
VMR_S157	chr2	110211869	110213332	VMR1468	1	chr2	110211679	110213540	1	VMR1146	chr2	110211366	110213540	1	VMR1120
VMR_S158	chr2	11175402	11175949	VMR1473	1	chr2	11175402	11175949	1	VMR1149	chr2	11175402	11175949	1	VMR1126
VMR_S159	chr2	112140418	112140826	VMR1474	1	chr2	112139814	112140818	1	VMR1150	chr2	112139814	112140791	1	VMR1127
VMR_S160	chr2	112182593	112182950	VMR1477	1	chr2	112182658	112182950	1	VMR1151	chr2	112182792	112182950	1	VMR1128
VMR_S161	chr2	113274871	113276660	VMR1481	1	chr2	113275528	113276790	1	VMR1156	chr2	113275528	113276081	1	VMR1132
VMR_S162	chr2	113391037	113393110	VMR1483	1	chr2	113390939	113392328	1	VMR1158	chr2	113390964	113391607	1	VMR1134
VMR_S163	chr2	114661728	114662026	VMR1485	1	chr2	114661423	114662683	1	VMR1162	chr2	114661423	114662064	1	VMR1140
VMR_S164	chr2	114662315	114662729	VMR1486	1	chr2	114661423	114662683	1	VMR1162	chr2	114662249	114662638	1	VMR1141
VMR_S165	chr2	1149671	1150088	VMR1488	1	chr2	1149780	1150320	1	VMR1163	chr2	1149812	1150320	1	VMR1142
VMR_S166	chr2	117803644	117804164	VMR1497	1	chr2	117803644	117804211	1	VMR1164	chr2	117803644	117804211	1	VMR1144
VMR_S167	chr2	117858535	117860543	VMR1499	1	chr2	117858535	117860478	1	VMR1165	chr2	117858493	117860465	1	VMR1145
VMR_S168	chr2	119290702	119291858	VMR1504	1	chr2	119290638	119291858	1	VMR1167	chr2	119290638	119291858	1	VMR1149
VMR_S169	chr2	120576330	120576747	VMR1512	1	chr2	120576412	120576733	1	VMR1169	chr2	120576412	120576747	1	VMR1154
VMR_S170	chr2	120675266	120676011	VMR1516	1	chr2	120675394	120675854	1	VMR1170	chr2	120675394	120675899	1	VMR1156
VMR_S171	chr2	120912458	120912979	VMR1517	1	chr2	120912727	120913058	1	VMR1174	chr2	120912744	120912979	1	VMR1159
VMR_S172	chr2	120937887	120939266	VMR1518	1	chr2	120937962	120939238	1	VMR1175	chr2	120937962	120939142	1	VMR1160
VMR_S173	chr2	120983583	120984133	VMR1519	1	chr2	120983502	120984007	1	VMR1176	chr2	120983502	120984007	1	VMR1161
VMR_S174	chr2	121018704	121019414	VMR1521	1	chr2	121018854	121019241	1	VMR1177	chr2	121018854	121019326	1	VMR1162
VMR_S175	chr2	121114584	121115924	VMR1523	1	chr2	121115030	121115924	1	VMR1178	chr2	121115030	121115924	1	VMR1163
VMR_S176	chr2	126885784	126886079	VMR1527	1	chr2	126885749	126885976	1	VMR1180	chr2	126885895	126886079	1	VMR1168
VMR_S177	chr2	127055332	127056056	VMR1531	1	chr2	127055544	127055765	1	VMR1182	chr2	127055560	127056000	1	VMR1171
VMR_S178	chr2	127058959	127059454	VMR1532	1	chr2	127059040	127059454	1	VMR1183	chr2	127059088	127059231	1	VMR1172
VMR_S179	chr2	127072893	127075105	VMR1537	1	chr2	127072403	127075105	1	VMR1184	chr2	127072501	127074996	1	VMR1174
VMR_S180	chr2	127080232	127082487	VMR1538	1	chr2	127080232	127082487	1	VMR1186	chr2	127080266	127082487	1	VMR1176
VMR_S181	chr2	127092496	127093680	VMR1541	1	chr2	127092631	127093680	1	VMR1187	chr2	127092631	127094093	1	VMR1178
VMR_S182	chr2	127096993	127098870	VMR1542	1	chr2	127097671	127098394	1	VMR1188	chr2	127096993	127097527	1	VMR1179
VMR_S183	chr2	127102282	127105038	VMR1543	1	chr2	127102713	127104970	1	VMR1189	chr2	127102159	127105038	1	VMR1180
VMR_S184	chr2	127108156	127108542	VMR1544	1	chr2	127108156	127108542	1	VMR1190	chr2	127108034	127108542	1	VMR1181
VMR_S185	chr2	127118149	127118859	VMR1545	1	chr2	127118149	127118637	1	VMR1191	chr2	127118149	127118859	1	VMR1182
VMR_S186	chr2	127176041	127176904	VMR1547	1	chr2	127176235	127176904	1	VMR1192	chr2	127176235	127176757	1	VMR1184
VMR_S187	chr2	12719648	12721136	VMR1548	1	chr2	12719648	12721942	1	VMR1193	chr2	12719648	12722527	1	VMR1185
VMR_S188	chr2	127645424	127645739	VMR1552	1	chr2	127645424	127646381	1	VMR1195	chr2	127645424	127646306	1	VMR1187
VMR_S189	chr2	127651694	127652380	VMR1554	1	chr2	127651891	127652538	1	VMR1196	chr2	127651891	127652538	1	VMR1188
VMR_S190	chr2	127695415	127696224	VMR1557	1	chr2	127695415	127696224	1	VMR1197	chr2	127695415	127696224	1	VMR1190
VMR_S191	chr2	127968878	127969279	VMR1559	1	chr2	127968780	127969279	1	VMR1198	chr2	127968843	127969279	1	VMR1191
VMR_S192	chr2	128191512	128192171	VMR1560	1	chr2	128191512	128192171	1	VMR1199	chr2	128191512	128192171	1	VMR1193
VMR_S193	chr2	129878534	129878763	VMR1574	1	chr2	129878316	129878847	1	VMR1206	chr2	129878291	129878847	1	VMR1196
VMR_S194	chr2	129933987	129937522	VMR1576	1	chr2	129933641	129936828	1	VMR1207	chr2	129933641	129937317	1	VMR1197
VMR_S195	chr2	129993251	129993497	VMR1577	1	chr2	129993251	129993443	1	VMR1208	chr2	129993222	129993443	1	VMR1198
VMR_S196	chr2	130037180	130037783	VMR1578	1	chr2	130036916	130038260	1	VMR1209	chr2	130036916	130038316	1	VMR1199
VMR_S197	chr2	130229081	130229589	VMR1579	1	chr2	130229254	130229462	1	VMR1210	chr2	130229231	130229429	1	VMR1200
VMR_S198	chr2	130251533	130253512	VMR1580	1	chr2	130251675	130253433	1	VMR1211	chr2	130251675	130253433	1	VMR1201
VMR_S199	chr2	130693381	130693519	VMR1586	1	chr2	130693381	130693764	1	VMR1215	chr2	130693411	130693764	1	VMR1205
VMR_S200	chr2	130869704	130870275	VMR1590	1	chr2	130869570	130870341	1	VMR1217	chr2	130869570	130870275	1	VMR1207
VMR_S201	chr2	131039532	131040477	VMR1593	1	chr2	131039532	131040326	1	VMR1218	chr2	131039624	131040157	1	VMR1208
VMR_S202	chr2	131352678	131353865	VMR1596	1	chr2	131352727	131354153	1	VMR1221	chr2	131352727	131354153	1	VMR1211
VMR_S203	chr2	131424731	131424844	VMR1598	1	chr2	131424731	131424801	1	VMR1223	chr2	131424731	131424844	1	VMR1213
VMR_S204	chr2	131430583	131432147	VMR1599	1	chr2	131430583	131432147	1	VMR1224	chr2	131431018	131432147	1	VMR1214
VMR_S205	chr2	131646712	131647405	VMR1601	1	chr2	131646712	131647386	1	VMR1226	chr2	131646712	131647323	1	VMR1216
VMR_S206	chr2	131681841	131682059	VMR1603	1	chr2	131681841	131682038	1	VMR1227	chr2	131681841	131682038	1	VMR1217
VMR_S207	chr2	131802412	131803054	VMR1604	1	chr2	131802536	131802971	1	VMR1228	chr2	131802536	131802971	1	VMR1218
VMR_S208	chr2	131829491	131830160	VMR1605	1	chr2	131829578	131830518	1	VMR1229	chr2	131829521	131830423	1	VMR1219
VMR_S209	chr2	132258026	132258112	VMR1609	1	chr2	132257982	132258260	1	VMR1230	chr2	132257982	132258260	1	VMR1220
VMR_S210	chr2	149150811	149152563	VMR1630	1	chr2	149150323	149152563	1	VMR1255	chr2	149150323	149152563	1	VMR1235
