file	historical_role	active_status	removal_gate
16_run_bslmm_validation_scenario.R	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
17_evaluate_bslmm_validation.R	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
18_fit_boundary_aware_calibration.R	failed_boundary_recalibration	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
19_make_estimator_screen_manifest.R	failed_en_settings_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
20_summarize_estimator_screen.R	failed_en_settings_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
21_make_joint_pve_manifest.R	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
22_run_joint_pve_scenario.R	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
23_fit_joint_pve_calibrator.R	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
24_evaluate_joint_pve_validation.R	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
25_prepare_joint_pve_validation_recovery.R	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
26_audit_joint_pve_seed_independence.R	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
combine_observed.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
reanalyze_completed_run.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
recover_final_joint_pve_decision.sh	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
recover_observed_workflow.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
recover_simulation_workflow.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
resubmit_pending.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
resume_final_joint_pve_submission.sh	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_1_generate_manifest.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_2_recover_simulation.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_2_simulate_and_crossfit.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_3_fit_calibration.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_3b_fit_boundary_aware_calibration.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_4_evaluate_calibration.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_5_estimate_observed_vmr.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_6_combine_observed.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_7_high_signal_audit.sh	historical_stability_or_gate_audit	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_8_summarize_high_signal_audit.sh	historical_stability_or_gate_audit	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_bslmm_pilot_chunk.sh	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_bslmm_validation_chunk.sh	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_estimator_screen_chunk.sh	failed_en_settings_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_joint_pve_chunk.sh	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
step_joint_pve_terminal_evaluation.sh	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_boundary_aware_recalibration_workflow.sh	failed_boundary_recalibration	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_bslmm_pilot.sh	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_bslmm_validation.sh	bslmm_estimator_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_estimator_screen.sh	failed_en_settings_screen	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_final_joint_pve_workflow.sh	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_fresh_validation_workflow.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_high_signal_audit.sh	historical_stability_or_gate_audit	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_joint_pve_independent_validation_recovery.sh	terminal_joint_estimator_experiment	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_observed.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_observed_calibrated_workflow.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_observed_workflow.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
submit_simulation_workflow.sh	historical_en_calibration_or_observed	archived_not_production	immutable_run_snapshot_or_tag_verified_and_no_active_reference
