seqnames	start	end	h2_category	hg38_genes_introns	hg38_cpg_inter	hg38_genes_1to5kb	hg38_cpg_shores	hg38_cpg_islands	hg38_genes_exons	hg38_cpg_shelves	hg38_enhancers_fantom	hg38_genes_promoters	hg38_genes_intergenic	hg38_genes_5UTRs	hg38_genes_3UTRs
chr1	10222779	10223200	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10336171	10337101	Heritable	1	1	0	0	0	1	0	0	0	0	0	0
chr1	10349882	10351263	Non-heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10469499	10470485	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	10551830	10552436	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10600141	10601185	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	10615273	10615659	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	10982768	10984094	Heritable	0	1	1	0	0	0	0	0	1	0	0	0
chr1	10993276	10994139	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	11078736	11079424	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	11095206	11095586	Heritable	1	1	1	0	0	1	1	0	0	0	0	1
chr1	11135191	11136754	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	11172283	11172840	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	11332592	11333387	Heritable	0	1	0	0	0	0	0	1	0	1	0	0
chr1	11454114	11454441	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	11665247	11665854	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	11760755	11761793	Heritable	0	0	1	1	0	1	0	0	1	0	1	0
chr1	11925291	11925852	Heritable	0	0	0	1	1	1	0	0	0	0	0	0
chr1	11959119	11959851	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	12017319	12017840	Heritable	0	0	1	1	0	0	0	0	1	0	0	0
chr1	12068550	12069208	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	12094915	12096021	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	12133610	12134242	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	12159292	12159680	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	12330030	12330521	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	12351376	12352277	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	12515613	12516353	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	12605868	12606614	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	12690775	12690852	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15554757	15555978	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	15564614	15565391	Heritable	1	1	1	0	0	1	0	0	1	0	0	0
chr1	15584195	15584303	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	15590565	15592015	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	15601172	15601589	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	15611202	15611840	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	15645762	15646601	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	15682269	15682710	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	15773084	15773476	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	15774944	15775729	Heritable	1	1	1	0	0	1	0	0	0	0	0	1
chr1	15784990	15785973	Heritable	0	1	0	0	0	1	0	0	0	0	0	1
chr1	15798054	15799255	Heritable	0	1	0	0	0	0	0	1	0	1	0	0
chr1	15813830	15815282	Heritable	0	1	1	0	0	0	0	0	0	1	0	0
chr1	15821115	15821664	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	15833305	15833485	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	15909900	15910110	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	15911208	15914692	Heritable	1	1	0	0	0	1	0	0	0	0	0	1
chr1	15980059	15981321	Heritable	0	1	1	0	0	0	1	0	0	1	0	0
chr1	15988425	15989005	Heritable	0	1	1	0	0	1	0	0	1	0	0	0
chr1	16214940	16215771	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	16271425	16272149	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16282286	16283685	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16295639	16296628	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16298595	16299300	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16304398	16305850	Heritable	1	1	0	0	0	1	0	0	0	0	0	0
chr1	16329819	16331848	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16337620	16338280	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16344615	16345740	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16361343	16362278	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	16366051	16366619	Heritable	1	0	1	1	0	0	0	0	1	0	0	0
chr1	16370842	16371866	Heritable	1	1	1	0	0	0	1	0	0	0	0	0
chr1	16381788	16383236	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16388724	16389459	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	16453645	16454985	Heritable	1	1	1	0	0	0	0	0	1	0	0	0
chr1	16678138	16678820	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	16689276	16689710	Heritable	1	0	1	0	0	0	1	0	1	0	0	0
chr1	16877547	16878149	Heritable	1	1	0	0	0	0	1	0	0	0	0	0
chr1	16889819	16890000	Heritable	1	0	0	1	0	0	0	0	1	0	0	0
chr1	16942823	16943102	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	16988654	16989294	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	17316099	17316562	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	17330989	17332133	Heritable	1	1	0	0	0	1	0	0	0	0	0	0
chr1	17357714	17358349	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	17449602	17450865	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	17500001	17500448	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	18502712	18503755	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	18575671	18576623	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	18784007	18784942	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	19264150	19264345	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	19290326	19290723	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	19320570	19321012	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	19354942	19355792	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	19578307	19578708	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	19636768	19637812	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	19698917	19699056	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	19827378	19829228	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	19905215	19905609	Heritable	1	1	1	0	0	0	0	0	1	0	0	0
chr1	20516523	20519081	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	20549778	20550922	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	20579701	20580452	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	20635148	20636042	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	20646940	20647321	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	20796536	20797056	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	20844556	20844876	Non-heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	21079681	21080797	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	21394553	21396203	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	21437413	21437632	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	21628172	21628697	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	21738118	21738309	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	21744669	21748153	Heritable	1	1	0	0	0	1	0	0	0	0	0	0
chr1	21753695	21756437	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	21776691	21777865	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	21790278	21791704	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	21796237	21796546	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	21851003	21851224	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	22011678	22012152	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	22023532	22023988	Heritable	1	0	1	1	0	0	0	0	1	0	0	0
chr1	22033532	22033889	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	22060069	22061356	Heritable	1	1	1	0	0	0	0	0	1	0	0	0
chr1	22427110	22427569	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	22435933	22436707	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	22946539	22947479	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	22990989	22994463	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	23007724	23008085	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	23089615	23090193	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	23130894	23131981	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	23166382	23166853	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	23240429	23241061	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	23293428	23294682	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	23336331	23336812	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	23346583	23347406	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	23354515	23355685	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	23439963	23440834	Heritable	1	0	1	0	0	0	1	0	1	0	0	0
chr1	23599596	23600056	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	23642248	23642884	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	23658674	23659387	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	23690342	23690661	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	23706090	23706969	Heritable	0	1	0	0	0	1	0	0	0	1	0	0
chr1	23738479	23740249	Heritable	1	1	1	0	0	0	1	0	0	0	0	0
chr1	23775109	23776453	Heritable	1	0	1	1	0	0	1	0	0	0	0	0
chr1	23781044	23782184	Heritable	1	0	1	0	0	0	1	0	0	0	0	0
chr1	23869360	23869743	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	23877817	23878630	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	23897706	23899100	Heritable	1	1	0	0	0	0	1	0	0	0	0	0
chr1	23940554	23941342	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	23953712	23954314	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	24024375	24025470	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	24028993	24029750	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	24038917	24039764	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	24076536	24076882	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	24154095	24155112	Heritable	0	1	0	0	0	1	0	0	0	1	0	1
chr1	24174157	24176234	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	24259528	24260568	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	24461307	24461761	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	24601621	24602035	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	24625942	24627434	Heritable	0	1	1	0	0	0	0	0	1	0	0	0
chr1	24680241	24680470	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	24731555	24732392	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	24736976	24737229	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	24755515	24756823	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25142731	25143865	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	25184811	25185622	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	25266473	25267995	Non-heritable	1	0	1	1	1	1	0	0	1	0	1	0
chr1	25277737	25277965	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25320968	25321458	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25331471	25332031	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25406602	25407608	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	25411236	25415390	Heritable	1	1	0	0	0	1	0	0	0	0	1	0
chr1	25480654	25482017	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25563709	25563932	Heritable	1	1	0	0	0	1	0	0	1	0	0	0
chr1	25586380	25586585	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25600992	25601890	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	25667254	25667999	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	25837731	25838657	Heritable	1	1	1	0	0	0	0	0	1	0	0	0
chr1	25857719	25858145	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	25865575	25866572	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	26116594	26117251	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	26133484	26134837	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	26664180	26664790	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	26865804	26866003	Heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr1	26978606	26979663	Heritable	0	1	1	0	0	0	0	0	1	0	0	0
chr1	27078006	27079070	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	27175114	27175431	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	27188293	27189390	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	27232381	27232807	Heritable	1	0	1	1	0	0	0	0	0	0	0	0
chr1	27396802	27397137	Heritable	0	1	0	0	0	0	1	0	0	1	0	0
chr1	27708885	27710587	Non-heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	27803721	27804294	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	27847152	27847654	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	27915837	27916878	Non-heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	27920488	27921120	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	28007219	28007757	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	28089398	28089587	Heritable	0	0	1	1	0	0	0	0	1	0	0	0
chr1	28101828	28103194	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	28165129	28165769	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	28168172	28168338	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	28245560	28247068	Heritable	1	0	1	1	0	1	0	0	1	0	0	1
chr1	28310224	28311361	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	28357268	28357905	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	28377383	28378272	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	28490166	28490488	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	28504827	28505233	Heritable	0	1	1	0	0	0	0	0	1	0	0	0
chr1	28767539	28767729	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	29066350	29067832	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	29074884	29075434	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	29107568	29107723	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	29175974	29176230	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	29241105	29242499	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	31125800	31126359	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	31154431	31154583	Heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr1	31196100	31197925	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	32017182	32018256	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	32120627	32121171	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	32293355	32294062	Non-heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	32739004	32739707	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	32988542	32990792	Non-heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	34076767	34077609	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	34109282	34111127	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	34853712	34854343	Heritable	1	1	0	0	0	1	0	0	0	0	0	1
chr1	35013911	35016197	Heritable	1	1	1	0	0	1	0	0	0	0	0	0
chr1	35270053	35270731	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	35307573	35307990	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	35314752	35315846	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	35316859	35317583	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	35322577	35323068	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	35766477	35767042	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	35794593	35795171	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	35805952	35806232	Heritable	0	0	1	1	0	0	0	0	0	0	0	0
chr1	35979090	35979323	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	35986793	35988016	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	36022657	36022824	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	36049994	36051230	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	36148360	36148595	Heritable	1	0	0	1	0	0	0	0	0	0	0	0
chr1	36182259	36182691	Heritable	0	0	0	0	0	0	1	0	0	1	0	0
chr1	36221644	36222189	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	36260486	36261831	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	36275786	36276351	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	36406085	36407003	Heritable	0	1	1	0	0	0	0	0	0	0	0	0
chr1	36426373	36427651	Heritable	1	1	1	0	0	0	0	0	0	0	0	0
chr1	37411539	37412868	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	37521062	37521774	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	37818430	37818987	Heritable	1	1	0	0	0	0	0	0	0	0	0	0
chr1	39038847	39039819	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
