seqnames	start	end	h2_category	hg38_genes_1to5kb	hg38_cpg_islands	hg38_genes_exons	hg38_genes_introns	hg38_genes_3UTRs	hg38_cpg_inter	hg38_cpg_shores	hg38_cpg_shelves	hg38_enhancers_fantom	hg38_genes_promoters	hg38_genes_intergenic	hg38_genes_5UTRs
chr1	2027598	2028058	Heritable	1	1	1	1	1	0	1	0	0	1	0	0
chr1	2081920	2083202	Heritable	0	0	1	1	0	1	0	0	0	1	0	1
chr1	2093977	2094983	Heritable	0	1	0	1	0	0	1	0	0	0	0	0
chr1	2124206	2124496	Heritable	0	1	0	1	0	0	1	0	0	0	0	0
chr1	2168458	2169116	Heritable	0	0	1	1	0	0	1	0	0	1	0	0
chr1	2187365	2187492	Heritable	1	0	0	1	0	0	0	1	0	0	0	0
chr1	2189280	2190872	Heritable	1	1	1	1	1	0	1	0	0	0	0	0
chr1	2223454	2224104	Heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	2245535	2246034	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	2250687	2251210	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2269377	2270088	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2273643	2274506	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	2284454	2285123	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr1	2288010	2288145	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr1	2293047	2293641	Heritable	0	0	0	1	0	0	1	1	0	0	0	0
chr1	2304365	2304571	Heritable	0	0	1	0	0	0	1	0	0	0	0	0
chr1	2378545	2378989	Heritable	1	0	1	1	1	1	0	0	0	0	0	0
chr1	2381036	2381398	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr1	2384112	2385391	Heritable	0	1	1	1	0	0	1	0	0	1	0	0
chr1	2911221	2911718	Heritable	0	1	0	0	0	0	0	0	0	0	1	0
chr1	2968434	2968839	Non-heritable	0	1	1	1	0	0	1	0	0	1	0	0
chr1	3010137	3010503	Heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr1	3031181	3031497	Non-heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	3494473	3495074	Heritable	1	0	1	1	1	1	0	0	0	1	0	0
chr1	3719121	3719626	Non-heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	3812561	3812935	Non-heritable	0	0	1	0	1	0	1	1	0	0	0	0
chr1	3858707	3858890	Non-heritable	1	1	1	1	0	0	1	0	0	0	0	0
chr1	4018674	4019082	Non-heritable	0	0	1	0	0	1	0	0	0	0	0	0
chr1	5994431	5994544	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	6110965	6111482	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	6114328	6115083	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6123054	6123720	Heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	6148562	6148796	Non-heritable	1	1	0	1	0	0	1	0	0	0	0	0
chr1	6158729	6159188	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6190410	6191661	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6202979	6203747	Heritable	1	0	1	1	0	0	0	1	0	1	0	1
chr1	6334801	6335479	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6364262	6365337	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	6375583	6376212	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6388631	6389035	Heritable	1	0	0	1	0	1	0	1	0	0	0	0
chr1	6390250	6391612	Heritable	1	0	0	1	0	0	1	1	0	0	0	0
chr1	6442446	6443305	Heritable	1	0	1	1	0	0	1	1	0	0	0	0
chr1	6481589	6481820	Heritable	1	0	0	1	0	0	0	1	0	0	0	0
chr1	6482857	6483092	Non-heritable	0	0	0	1	0	0	1	1	0	0	0	0
chr1	6522375	6523116	Heritable	1	0	1	0	1	1	0	0	0	0	0	0
chr1	6529880	6530408	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	6538333	6539374	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	6576924	6578067	Heritable	1	0	1	1	0	0	1	1	0	0	0	0
chr1	6582907	6583818	Heritable	1	0	0	1	0	0	0	1	0	0	0	0
chr1	6612183	6612341	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	6616072	6616325	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	6759274	6759653	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	6769739	6770258	Heritable	0	0	1	1	0	1	0	0	0	0	1	0
chr1	7262152	7262817	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	7557824	7558069	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	7633647	7634157	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	7784964	7785043	Heritable	1	1	1	1	0	0	0	0	0	1	0	0
chr1	8182792	8183873	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	8332504	8332730	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	8713508	8714460	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	8760086	8760318	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	8774595	8775337	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	8792533	8793113	Heritable	0	0	1	1	0	1	0	0	0	0	0	1
chr1	8853051	8853571	Non-heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	8888367	8888959	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	8906387	8907271	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	9222666	9224378	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	9407927	9408674	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	9478805	9479309	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	9514811	9515512	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	9531133	9532263	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	9536906	9537435	Heritable	1	0	0	0	0	0	1	1	0	0	0	0
chr1	9580628	9580841	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	9587980	9588075	Heritable	0	0	0	0	0	0	1	0	0	1	0	0
chr1	9660973	9661724	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	9695418	9695830	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	9762017	9762447	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	9771277	9771826	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	9805632	9805798	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	9829588	9830051	Heritable	1	0	0	0	0	1	0	0	1	0	0	0
chr1	9832143	9832605	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	9908072	9908412	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	9925738	9926651	Heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	9932063	9932678	Heritable	0	0	1	1	0	1	0	0	0	1	0	0
chr1	9953666	9956151	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	9959054	9959666	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	9965692	9966350	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	9976506	9977638	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	9980151	9980907	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	10010686	10010879	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10025717	10026575	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	10029879	10030082	Heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	10035765	10036043	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr1	10094404	10094872	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10137847	10138523	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10148143	10148854	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10150643	10151340	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	10190750	10192152	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	10201133	10201399	Heritable	0	0	0	0	0	1	0	0	1	0	1	0
chr1	10222796	10223144	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	10336171	10336752	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	10350018	10351020	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	10540793	10541654	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10600141	10601130	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10615273	10615548	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	10638551	10639167	Non-heritable	0	1	1	1	1	0	0	0	0	1	0	0
chr1	10658432	10658625	Non-heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	10682516	10683209	Non-heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10970355	10970863	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	10982918	10983964	Heritable	1	0	0	0	0	1	0	0	0	1	0	0
chr1	11078775	11079416	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	11095379	11095540	Heritable	1	0	1	1	1	0	0	1	0	0	0	0
chr1	11135191	11136754	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	11172283	11172666	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	11332867	11333299	Heritable	0	0	0	0	0	1	0	0	1	0	1	0
chr1	11665247	11665854	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	11678342	11679056	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	11760988	11761766	Heritable	1	0	0	0	0	0	1	0	0	1	0	0
chr1	11909234	11909411	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	11925291	11925818	Heritable	0	1	1	0	0	0	1	0	0	0	0	0
chr1	11951685	11951981	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	12017339	12017840	Heritable	1	0	0	0	0	0	1	0	0	1	0	0
chr1	12068550	12069122	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	12094926	12096021	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	12133568	12134242	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	12159248	12159680	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	12351376	12352277	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	12381512	12382194	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	12483186	12484058	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	12515613	12516353	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	12690775	12690827	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	13527381	13527519	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	13538190	13538913	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	13671131	13672799	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	14728060	14728422	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15004332	15005660	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15013481	15013732	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15396955	15397422	Heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	15418075	15418391	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15494489	15494787	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15554757	15555978	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	15564614	15565391	Heritable	1	0	1	1	0	1	0	0	0	1	0	0
chr1	15584195	15584303	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	15590612	15592015	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15601172	15601567	Heritable	1	0	0	1	0	0	1	1	0	0	0	0
chr1	15611206	15611801	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	15646163	15646601	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15732057	15732523	Heritable	1	0	1	1	0	0	1	0	0	1	0	0
chr1	15759707	15760505	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	15773084	15773416	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	15774944	15775697	Heritable	1	0	1	1	1	1	0	0	0	0	0	0
chr1	15784990	15785900	Heritable	0	0	1	0	1	1	0	0	0	0	0	0
chr1	15798199	15799255	Heritable	0	0	0	0	0	1	0	0	1	0	1	0
chr1	15813872	15815282	Heritable	1	0	0	0	0	1	0	0	0	0	1	0
chr1	15819264	15819928	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	15821115	15821542	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	15904704	15905913	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15909952	15910110	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	15911208	15914597	Heritable	0	0	1	1	1	1	0	0	0	0	0	0
chr1	15929624	15929867	Heritable	1	0	1	0	1	1	0	0	0	1	0	0
chr1	15935608	15936221	Heritable	1	0	1	0	1	0	1	0	0	0	0	0
chr1	15980274	15980991	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	15988425	15989005	Heritable	1	0	1	0	0	1	0	0	0	1	0	0
chr1	16063481	16063751	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	16072074	16072560	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	16074748	16074998	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	16136385	16137027	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	16214940	16215771	Heritable	1	0	0	0	0	0	1	1	0	0	0	0
chr1	16226244	16226380	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	16282414	16283621	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16295639	16296628	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16298595	16299201	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16304398	16305850	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	16329953	16331778	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16337620	16338247	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16344615	16345645	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	16361343	16362265	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	16370842	16371866	Heritable	1	0	0	1	0	1	0	1	0	0	0	0
chr1	16453708	16454985	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	16623865	16624317	Heritable	0	0	1	1	0	1	0	0	0	1	0	0
chr1	16678138	16678769	Heritable	0	0	0	1	0	0	1	1	0	0	0	0
chr1	16680528	16680679	Heritable	0	1	1	0	0	0	1	0	0	1	0	0
chr1	16689360	16689710	Heritable	1	0	0	1	0	0	0	1	0	1	0	0
chr1	16861851	16861959	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	16942823	16943040	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	17073056	17073395	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	17118055	17118636	Non-heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	17331005	17331912	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	17409583	17409840	Heritable	0	0	0	1	0	0	1	0	0	1	0	0
chr1	17464490	17465281	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	17478087	17478722	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	17495139	17495791	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	17575541	17575610	Non-heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	17622850	17623033	Heritable	1	1	1	1	0	0	1	0	0	0	0	0
chr1	17670275	17670471	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	18482339	18482875	Non-heritable	0	1	1	0	0	0	1	0	0	0	0	0
chr1	18575735	18576317	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	18638903	18639867	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	18784068	18784795	Heritable	0	1	0	0	0	0	1	0	0	0	1	0
chr1	19045335	19045634	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	19183443	19183676	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	19264150	19264345	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	19320636	19321012	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	19503043	19503916	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	19611216	19611928	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	19636831	19637644	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	19841456	19842744	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	20516523	20519081	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	20549778	20550749	Heritable	1	0	0	0	0	0	1	1	0	0	0	0
chr1	20579741	20580452	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	21394553	21396266	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	21437413	21437632	Heritable	1	0	1	0	0	0	1	0	0	0	0	0
chr1	21628172	21628676	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	21754033	21756437	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	21776691	21777687	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	21790318	21791704	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	21844975	21845074	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	21851033	21851133	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	22011776	22012152	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	22023532	22023988	Heritable	1	0	0	1	0	0	1	0	0	1	0	0
chr1	22060245	22061356	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	22427122	22427569	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	22435933	22436707	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	22946599	22946912	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	22991188	22994463	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	23089739	23090049	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	23130894	23131981	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	23166382	23166853	Heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	23185869	23186854	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	23240429	23241053	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	23293758	23294682	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	23346583	23347379	Heritable	1	0	0	0	0	0	1	1	0	0	0	0
chr1	23354515	23355607	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	23599596	23599929	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	23605188	23605707	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	23658674	23659387	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	23685821	23686699	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	23827348	23828174	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	23869360	23869680	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	23897706	23899049	Heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	23940554	23941290	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	23953719	23954272	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	24024535	24025250	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	24029239	24029656	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	24259621	24260492	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	24461307	24461695	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	24601768	24602035	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	24626032	24627413	Heritable	1	0	0	0	0	1	0	0	0	1	0	0
chr1	24704938	24705525	Heritable	0	0	1	1	0	1	0	0	0	0	0	0
chr1	24737039	24737229	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	24755884	24756345	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	25142772	25143660	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	25184865	25185622	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	25411461	25415450	Heritable	0	0	1	1	0	1	0	0	0	0	0	1
chr1	25452307	25453256	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	25480654	25482017	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	25544802	25545410	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	25557416	25558082	Heritable	1	0	1	1	0	1	0	0	0	0	0	0
chr1	25563534	25564131	Heritable	1	0	1	1	0	1	0	0	0	1	0	0
chr1	25601074	25601771	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	25667254	25667999	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	25837731	25838657	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	25857819	25858039	Heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	25865700	25866572	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	25965354	25965766	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	26116632	26117180	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	26136178	26137979	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	26163367	26163837	Heritable	0	0	1	0	1	0	1	0	0	0	0	0
chr1	26173260	26173710	Heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	26432985	26433953	Heritable	0	0	1	1	0	0	1	0	0	0	0	0
chr1	26434952	26436168	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr1	26440818	26441653	Heritable	1	0	1	1	1	1	0	0	0	1	0	0
chr1	26562929	26563506	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	26735974	26736858	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	26872286	26873077	Heritable	1	0	0	0	0	1	0	0	0	0	0	0
chr1	26903826	26905635	Heritable	1	0	0	1	0	1	0	1	0	0	0	0
chr1	27068079	27068908	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	27162624	27163236	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	27188385	27189302	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	27246624	27247258	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	27441425	27442317	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	27443300	27444070	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	27450593	27450788	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	27847222	27847645	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	27915837	27916878	Heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr1	28001693	28002768	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28083249	28083514	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28089437	28089547	Heritable	0	0	0	0	0	0	1	0	0	1	0	0
chr1	28101828	28102963	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	28165129	28165769	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28245560	28247068	Heritable	1	0	1	1	1	0	1	0	0	1	0	0
chr1	28295088	28296024	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	28310224	28311361	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	28357314	28357866	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	28377779	28378024	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28380142	28380351	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28394823	28396992	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28470552	28471330	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28544166	28544435	Heritable	0	0	0	0	0	1	0	0	0	1	0	0
chr1	28674622	28675207	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28698237	28698754	Heritable	0	0	0	1	0	1	0	0	0	0	0	0
chr1	28878126	28878761	Non-heritable	1	0	0	0	0	1	0	0	0	1	0	0
chr1	29175974	29176124	Non-heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	31048743	31050131	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	31090082	31090633	Heritable	0	0	0	0	0	1	0	0	0	0	1	0
chr1	31194442	31195062	Heritable	1	0	0	1	0	1	0	0	0	1	0	0
chr1	31196144	31197796	Heritable	1	0	0	1	0	1	0	0	0	0	0	0
chr1	31694914	31695906	Heritable	1	0	1	1	0	1	0	0	0	0	0	0
chr1	32017629	32018182	Heritable	0	0	0	1	0	0	0	1	0	0	0	0
