seqnames	start	end	h2_category	hg38_genes_promoters	hg38_genes_1to5kb	hg38_genes_5UTRs	hg38_genes_exons	hg38_genes_introns	hg38_genes_3UTRs	hg38_cpg_islands	hg38_cpg_shores	hg38_cpg_shelves	hg38_cpg_inter	hg38_genes_intergenic	hg38_enhancers_fantom
chr1	4301553	4302073	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	4599943	4600559	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	4710786	4711837	Non-heritable	1	0	0	1	1	0	1	1	0	0	0	0
chr1	5289326	5291842	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	6065099	6065439	Non-heritable	1	0	0	0	1	0	0	0	0	1	0	0
chr1	6127611	6128174	Non-heritable	0	0	0	1	1	1	1	1	0	0	0	0
chr1	6150475	6151129	Heritable	0	0	0	1	1	0	0	1	1	0	0	0
chr1	6243156	6243279	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	6587106	6587864	Heritable	1	1	0	1	1	0	0	0	0	1	0	0
chr1	6954587	6954877	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	6962033	6962247	Non-heritable	0	0	0	0	1	0	1	0	0	0	0	0
chr1	6963565	6963651	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	7199078	7199558	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	7373966	7374456	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	8004149	8004792	Non-heritable	0	1	0	1	1	1	0	0	0	1	0	0
chr1	9183716	9183833	Non-heritable	1	1	0	1	1	0	1	1	0	0	0	0
chr1	9198822	9199166	Non-heritable	1	0	0	1	0	0	1	1	0	0	0	0
chr1	9247880	9248846	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	9294261	9294680	Non-heritable	1	0	1	1	1	0	0	1	0	0	0	0
chr1	9298026	9298864	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	9306183	9306275	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	9322984	9323416	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	9324187	9325557	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	9340321	9340495	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	9384242	9385149	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	9536389	9537435	Heritable	0	1	0	0	0	0	0	1	1	0	0	0
chr1	9690138	9690442	Non-heritable	0	1	0	0	1	0	1	1	0	0	0	0
chr1	9717571	9717618	Non-heritable	1	1	0	1	0	1	0	1	0	0	0	0
chr1	10532407	10532571	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	10640333	10640590	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	1
chr1	10649330	10649725	Heritable	0	1	0	1	1	0	0	1	0	0	0	0
chr1	10665973	10666167	Heritable	0	1	0	0	1	0	0	1	0	0	0	1
chr1	10668178	10668327	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	10704415	10704850	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	10787454	10787849	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	10808891	10809518	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	10941562	10941776	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	10942799	10943502	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	11453972	11454559	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	12540160	12540767	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	1
chr1	12595082	12595281	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	12618794	12619640	Non-heritable	1	1	1	1	1	0	0	1	0	0	0	0
chr1	13326160	13327606	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	14125452	14126407	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	14923634	14923713	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr1	15826210	15828225	Heritable	1	1	0	0	0	0	0	0	0	1	0	0
chr1	15833257	15833445	Non-heritable	0	1	0	0	0	0	0	1	0	0	0	0
chr1	16017674	16018053	Non-heritable	1	1	1	1	1	0	0	0	0	1	0	0
chr1	16064132	16064994	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	16207461	16207699	Heritable	1	1	0	1	1	0	1	0	0	0	0	0
chr1	16520585	16520878	Heritable	1	0	0	1	1	0	1	1	0	0	0	0
chr1	16677885	16678490	Heritable	0	0	0	0	1	0	0	1	1	0	0	0
chr1	16696513	16696691	Heritable	0	1	0	1	0	0	1	0	0	0	0	0
chr1	16872215	16872294	Heritable	1	1	0	1	1	0	1	0	0	0	0	0
chr1	16889666	16889910	Heritable	1	0	0	1	1	0	0	1	0	0	0	0
chr1	17117475	17118636	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	18558443	18558700	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	18575331	18576623	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	18784007	18785106	Heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr1	18882499	18882792	Non-heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr1	19439414	19439850	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	20705337	20705626	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	21360848	21361773	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	21437255	21437803	Heritable	0	1	0	1	1	0	0	1	0	0	0	0
chr1	21565739	21566057	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	21622893	21623837	Non-heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr1	21639700	21639927	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr1	21869845	21870128	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	22011620	22012964	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	22593072	22593755	Heritable	0	0	0	1	1	0	1	1	0	0	0	0
chr1	22855889	22856513	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	23558270	23558499	Heritable	0	0	0	1	1	1	1	1	0	0	0	0
chr1	23868795	23869087	Heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	24913924	24914668	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	24933055	24933255	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	24969851	24970620	Heritable	0	1	0	1	0	0	0	0	0	1	0	0
chr1	25198010	25198207	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	25268669	25269942	Heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	25274926	25277751	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	25280768	25283879	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	25290449	25291425	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	25299705	25300589	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	25305139	25309319	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	25319038	25321984	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	25330724	25331261	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	25544623	25545101	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	25567477	25567869	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	25618205	25618622	Heritable	0	0	1	1	1	0	1	1	0	0	0	0
chr1	25907796	25907987	Non-heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	26134710	26136410	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	26164767	26164963	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	1
chr1	26200416	26201583	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	26530459	26530664	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr1	27102505	27102695	Non-heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr1	27519479	27519934	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	27564905	27565565	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	1
chr1	27574900	27575038	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	1
chr1	27600948	27601290	Non-heritable	0	0	0	0	1	0	0	1	1	0	0	0
chr1	27935874	27936434	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	28246210	28247095	Heritable	1	1	0	1	1	1	0	1	0	0	0	0
chr1	28775613	28775799	Heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr1	29156935	29157072	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	29202467	29203066	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	29260576	29260840	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	30054860	30056124	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	30267392	30268272	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	30518529	30520061	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	30782979	30783403	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	31154431	31154704	Heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr1	31434531	31435117	Non-heritable	0	0	0	1	0	1	0	0	0	1	1	0
chr1	31586532	31587983	Heritable	0	0	0	1	1	1	1	1	0	0	1	0
chr1	31694898	31695925	Non-heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr1	31705199	31705339	Non-heritable	1	1	0	0	0	0	0	1	0	0	0	1
chr1	31755859	31756229	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	32275591	32275996	Heritable	1	0	0	1	1	1	1	1	0	0	0	0
chr1	32328294	32328600	Heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr1	32333847	32334791	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	32336796	32337251	Non-heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	32338807	32339274	Non-heritable	0	1	0	0	0	0	0	0	1	0	0	0
chr1	32470923	32471179	Heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr1	34792535	34792642	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	34976637	34977069	Non-heritable	0	0	0	1	0	1	1	0	0	0	0	0
chr1	35559167	35559366	Non-heritable	0	1	0	1	1	0	0	1	0	0	0	0
chr1	35573848	35574193	Non-heritable	1	1	0	1	1	0	1	0	0	0	0	0
chr1	36093607	36093905	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr1	36176379	36176424	Non-heritable	1	1	0	1	1	0	1	0	0	0	0	0
chr1	36322445	36322489	Non-heritable	0	1	0	1	0	1	1	0	0	0	0	0
chr1	37411143	37412868	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	37690925	37691376	Heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr1	38012079	38012203	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	38044098	38044331	Heritable	0	1	0	1	0	1	0	1	0	0	0	0
chr1	38133696	38134653	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	38559621	38559748	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	38816023	38816591	Non-heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr1	38817731	38817852	Non-heritable	0	1	0	0	0	0	0	1	0	0	0	0
chr1	38941560	38942097	Non-heritable	1	0	1	1	1	0	0	0	0	1	0	0
chr1	39493613	39493847	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	39632522	39633514	Heritable	1	0	0	1	1	0	0	0	0	1	0	0
chr1	39639160	39639407	Heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	39770451	39770562	Heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	39787616	39787752	Heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	40133233	40133536	Non-heritable	0	0	0	1	0	0	1	0	0	0	1	0
chr1	40314255	40314945	Non-heritable	0	0	1	1	1	0	0	1	0	0	0	0
chr1	40818217	40818260	Non-heritable	1	0	0	1	0	0	1	0	0	0	0	0
chr1	41515128	41515727	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	41516721	41516872	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	41919587	41920109	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	1
chr1	42785020	42785100	Non-heritable	0	1	1	1	1	0	1	1	0	0	0	1
chr1	42816007	42816417	Heritable	1	1	0	1	1	1	0	1	0	0	0	0
chr1	42959874	42960047	Heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	43996351	43996783	Non-heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	44010599	44011761	Non-heritable	0	0	1	1	1	0	0	0	0	1	0	0
chr1	44013341	44014013	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	44016103	44017465	Non-heritable	1	0	1	1	1	0	0	0	0	1	0	0
chr1	44103390	44103777	Heritable	1	1	0	1	0	0	1	1	0	0	0	0
chr1	44410060	44412557	Non-heritable	1	1	1	1	1	0	0	1	1	1	0	0
chr1	44416320	44417266	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	44507179	44507805	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr1	44619359	44619612	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	1
chr1	44645065	44645877	Heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr1	44738197	44739090	Non-heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	45327516	45327565	Non-heritable	0	0	0	1	0	0	1	0	0	0	0	0
chr1	46614681	46616079	Heritable	1	0	1	1	1	0	0	1	0	0	0	0
chr1	50415127	50415547	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr1	50421805	50422352	Non-heritable	1	1	0	0	1	0	1	0	0	0	0	0
chr1	50425873	50426513	Non-heritable	0	1	0	0	0	0	0	1	0	0	0	0
chr1	50428378	50430349	Non-heritable	0	1	0	0	0	0	0	1	1	0	1	0
chr1	50951950	50952397	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	51730055	51730609	Non-heritable	0	0	1	1	1	0	1	1	0	0	0	0
chr1	53074101	53074373	Non-heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr1	53091783	53092184	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	53311757	53311982	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	53620310	53620861	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	54257402	54257540	Non-heritable	1	0	0	0	1	0	0	0	0	1	0	0
chr1	54273050	54274227	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr1	54287225	54287903	Non-heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr1	54396811	54397283	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	54476194	54476490	Heritable	0	0	0	0	0	0	0	1	0	0	1	1
chr1	54547608	54547844	Heritable	1	0	0	0	1	0	0	0	0	1	0	0
chr1	54609387	54609952	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr1	54911081	54911560	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	55040684	55041087	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr1	56982645	56983810	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	57623077	57623487	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	58058312	58058669	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	61053081	61053440	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr1	61087725	61090220	Non-heritable	1	0	1	1	1	1	0	0	1	1	0	0
chr1	64375174	64375704	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	65001396	65001488	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	65257034	65257639	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	65550124	65550907	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	65664523	65665726	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	65667170	65668088	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	66753056	66753329	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	68051460	68051861	Non-heritable	1	1	1	1	1	0	1	1	0	0	0	0
chr1	68229941	68230081	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	69881803	69882763	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	72311022	72311210	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	72334743	72334842	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	73085278	73086674	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	75124745	75127449	Non-heritable	1	1	0	0	0	0	1	1	0	0	0	1
chr1	75390872	75392394	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	75723147	75723763	Heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr1	76641879	76644624	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	77687764	77687979	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr1	80937642	80938953	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	82495217	82496515	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	84297655	84297956	Non-heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	85578289	85578547	Non-heritable	1	1	1	1	0	0	0	1	0	0	0	0
chr1	87101731	87102134	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	87132531	87132588	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr1	87147720	87148881	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr1	87151459	87151733	Non-heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr1	87152161	87152386	Non-heritable	0	0	0	0	1	0	1	1	0	0	0	1
chr1	87336112	87337144	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr1	88993642	88993975	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr1	89197876	89199099	Non-heritable	1	0	1	1	1	0	0	0	0	1	0	0
chr1	90357082	90358258	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	90711916	90712316	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr1	90833997	90834535	Non-heritable	0	1	0	1	1	0	0	1	0	0	0	0
chr1	91546621	91546947	Heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr1	92716897	92717568	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr1	93168813	93169773	Heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr1	95470141	95474230	Heritable	1	1	0	0	0	0	0	0	0	1	0	0
chr1	97403355	97405160	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	98515371	98516907	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	100566247	100569135	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	103152748	103154223	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	104876792	104878607	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	106240486	106241008	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr1	108182603	108182935	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	108199049	108199479	Heritable	1	0	0	1	1	1	0	1	0	0	0	1
chr1	108715800	108716682	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	108828231	108830005	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr1	108875899	108876338	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	109113127	109113371	Heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr1	109262873	109263580	Non-heritable	0	1	0	1	1	0	0	0	1	1	0	0
