seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type	h2_category
chr1	1274847	1275119	273	*	chr1	1274438	1276437	2000	*	shore:115				hg38_cpg_shores	Heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	exon:928	ENST00000379116.10	6339	SCNN1D	hg38_genes_exons	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	exon:945	ENST00000379101.8	6339	SCNN1D	hg38_genes_exons	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	exon:960	ENST00000338555.6	6339	SCNN1D	hg38_genes_exons	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	exon:976	ENST00000400928.7	6339	SCNN1D	hg38_genes_exons	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	exon:995	ENST00000325425.12	6339	SCNN1D	hg38_genes_exons	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	exon:1008	ENST00000379099.3	6339	SCNN1D	hg38_genes_exons	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290389	1290476	88	+	intron:747	ENST00000379116.10	6339	SCNN1D	hg38_genes_introns	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290389	1290476	88	+	intron:763	ENST00000379101.8	6339	SCNN1D	hg38_genes_introns	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290389	1290476	88	+	intron:777	ENST00000338555.6	6339	SCNN1D	hg38_genes_introns	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290389	1290476	88	+	intron:792	ENST00000400928.7	6339	SCNN1D	hg38_genes_introns	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290389	1290476	88	+	intron:809	ENST00000325425.12	6339	SCNN1D	hg38_genes_introns	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290389	1290476	88	+	intron:820	ENST00000379099.3	6339	SCNN1D	hg38_genes_introns	Non-heritable
chr1	1290344	1290443	100	*	chr1	1290271	1290388	118	+	3UTR:37	ENST00000379101.8	6339	SCNN1D	hg38_genes_3UTRs	Non-heritable
chr1	1290344	1290443	100	*	chr1	1286017	1294783	8767	*	island:77				hg38_cpg_islands	Non-heritable
chr1	1296830	1297070	241	*	chr1	1296171	1297170	1000	-	promoter:11868	ENST00000613751.1	102465434	MIR6726	hg38_genes_promoters	Heritable
chr1	1296830	1297070	241	*	chr1	1296009	1300008	4000	-	1to5kb:11867	ENST00000470659.1	116983	ACAP3	hg38_genes_1to5kb	Heritable
chr1	1296830	1297070	241	*	chr1	1296634	1297821	1188	-	intron:70419	ENST00000492936.5	116983	ACAP3	hg38_genes_introns	Heritable
chr1	1296830	1297070	241	*	chr1	1296634	1297821	1188	-	intron:70441	ENST00000354700.10	116983	ACAP3	hg38_genes_introns	Heritable
chr1	1296830	1297070	241	*	chr1	1296634	1297821	1188	-	intron:70464	ENST00000467278.5	116983	ACAP3	hg38_genes_introns	Heritable
chr1	1296830	1297070	241	*	chr1	1296634	1297821	1188	-	intron:70476	ENST00000353662.4	116983	ACAP3	hg38_genes_introns	Heritable
chr1	1296830	1297070	241	*	chr1	1296634	1297821	1188	-	intron:70489	ENST00000379037.6	116983	ACAP3	hg38_genes_introns	Heritable
chr1	1296830	1297070	241	*	chr1	1296634	1297821	1188	-	intron:70492	ENST00000476572.1	116983	ACAP3	hg38_genes_introns	Heritable
chr1	1296830	1297070	241	*	chr1	1296481	1298279	1799	*	island:78				hg38_cpg_islands	Heritable
chr1	1303215	1304156	942	*	chr1	1303261	1304260	1000	-	promoter:11866	ENST00000353662.4	116983	ACAP3	hg38_genes_promoters	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303597	1307596	4000	+	1to5kb:190	ENST00000379031.10	126789	PUSL1	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303611	1307610	4000	+	1to5kb:191	ENST00000470520.5	126789	PUSL1	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303788	1307787	4000	+	1to5kb:192	ENST00000463758.1	126789	PUSL1	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303821	1307820	4000	+	1to5kb:193	ENST00000467712.1	126789	PUSL1	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1299956	1303955	4000	-	1to5kb:11865	ENST00000467278.5	116983	ACAP3	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1299266	1303265	4000	-	1to5kb:11869	ENST00000379037.6	116983	ACAP3	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1300618	1304617	4000	-	1to5kb:11870	ENST00000476572.1	116983	ACAP3	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1299242	1303241	4000	-	1to5kb:11871	ENST00000493992.1	116983	ACAP3	hg38_genes_1to5kb	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304086	1305929	1844	-	exon:82273	ENST00000492936.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303281	120	-	exon:82274	ENST00000492936.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304086	1304143	58	-	exon:82296	ENST00000354700.10	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303281	120	-	exon:82297	ENST00000354700.10	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303260	99	-	exon:82333	ENST00000353662.4	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304086	1304143	58	-	exon:82370	ENST00000472541.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303281	120	-	exon:82371	ENST00000472541.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304086	1304143	58	-	exon:82380	ENST00000354980.7	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303281	120	-	exon:82381	ENST00000354980.7	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1304901	1740	-	exon:82386	ENST00000478065.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304086	1304143	58	-	exon:82390	ENST00000479108.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303281	120	-	exon:82391	ENST00000479108.5	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304086	1304143	58	-	exon:82396	ENST00000438966.1	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303210	1303281	72	-	exon:82397	ENST00000438966.1	116983	ACAP3	hg38_genes_exons	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303282	1304085	804	-	intron:70431	ENST00000492936.5	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303282	1304085	804	-	intron:70453	ENST00000354700.10	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304144	1307768	3625	-	intron:70454	ENST00000354700.10	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303282	1304085	804	-	intron:70504	ENST00000472541.5	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304144	1309441	5298	-	intron:70505	ENST00000472541.5	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303282	1304085	804	-	intron:70510	ENST00000354980.7	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304144	1307336	3193	-	intron:70511	ENST00000354980.7	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303282	1304085	804	-	intron:70517	ENST00000479108.5	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304144	1307768	3625	-	intron:70518	ENST00000479108.5	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303282	1304085	804	-	intron:70519	ENST00000438966.1	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1304144	1307071	2928	-	intron:70520	ENST00000438966.1	116983	ACAP3	hg38_genes_introns	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303162	1303274	113	-	3UTR:10881	ENST00000354980.7	116983	ACAP3	hg38_genes_3UTRs	Non-heritable
chr1	1303215	1304156	942	*	chr1	1303020	1305019	2000	*	shelf:65				hg38_cpg_shelves	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354265	1355264	1000	-	promoter:11936	ENST00000474033.5	54587	MXRA8	hg38_genes_promoters	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354475	1355474	1000	-	promoter:11941	ENST00000473097.5	54587	MXRA8	hg38_genes_promoters	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354248	1355247	1000	-	promoter:11942	ENST00000478517.5	54587	MXRA8	hg38_genes_promoters	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354682	1355152	471	-	exon:82862	ENST00000342753.8	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354354	1354509	156	-	exon:82863	ENST00000342753.8	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354682	1355152	471	-	exon:82872	ENST00000309212.11	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354354	1354509	156	-	exon:82873	ENST00000309212.11	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354682	1355152	471	-	exon:82882	ENST00000445648.5	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354354	1354509	156	-	exon:82883	ENST00000445648.5	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354682	1355152	471	-	exon:82892	ENST00000477278.3	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354354	1354509	156	-	exon:82893	ENST00000477278.3	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354354	1354474	121	-	exon:82898	ENST00000473097.5	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354682	1355016	335	-	exon:82905	ENST00000476718.1	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354193	1354509	317	-	exon:82906	ENST00000476718.1	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1355004	1355345	342	-	exon:82911	ENST00000464351.1	54587	MXRA8	hg38_genes_exons	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354510	1354681	172	-	intron:70927	ENST00000342753.8	54587	MXRA8	hg38_genes_introns	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354510	1354681	172	-	intron:70935	ENST00000309212.11	54587	MXRA8	hg38_genes_introns	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354510	1354681	172	-	intron:70944	ENST00000445648.5	54587	MXRA8	hg38_genes_introns	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354510	1354681	172	-	intron:70953	ENST00000477278.3	54587	MXRA8	hg38_genes_introns	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354510	1354681	172	-	intron:70966	ENST00000476718.1	54587	MXRA8	hg38_genes_introns	Non-heritable
chr1	1354462	1355005	544	*	chr1	1354327	1355746	1420	*	island:91				hg38_cpg_islands	Non-heritable
