reference	target_id	seqnames_hg19	pos_hg19	cell_type	marker_rank	marker_pvalue	signature_platform	mapping_status	seqnames_hg38	pos_hg38	overlaps_blacklist	overlaps_ct_snp	duplicated_reference_coordinate	eligible
"Lee"	"cg05844409"	"chr13"	21256174	"Astro"	55	6.27692932346752e-34	"850K"	"unique_liftover"	"chr13"	20682035	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13689085"	"chr5"	133475620	"Astro"	56	9.02190833632591e-34	"850K"	"unique_liftover"	"chr5"	134139929	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg10196902"	"chr5"	172823642	"Astro"	57	1.28884469005073e-33	"850K"	"unique_liftover"	"chr5"	173396639	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg22680020"	"chr20"	43965440	"Astro"	58	1.56174512413572e-33	"850K"	"unique_liftover"	"chr20"	45336800	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg23497861"	"chr12"	124451295	"Astro"	59	1.66691610478159e-33	"850K"	"unique_liftover"	"chr12"	123966748	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04298591"	"chr11"	68093374	"Astro"	60	2.92257358289438e-33	"850K"	"unique_liftover"	"chr11"	68325906	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg18615472"	"chr16"	81418064	"Astro"	61	3.11070779507868e-33	"850K"	"unique_liftover"	"chr16"	81384459	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01804164"	"chr15"	80447071	"Astro"	62	3.31022356669232e-33	"850K"	"unique_liftover"	"chr15"	80154729	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg19988181"	"chr10"	73478985	"Astro"	63	3.82564585412861e-33	"850K"	"unique_liftover"	"chr10"	71719228	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01466031"	"chr1"	94050704	"Astro"	64	4.34633795899851e-33	"850K"	"unique_liftover"	"chr1"	93585147	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01961086"	"chr1"	3086487	"Astro"	65	4.56170855021756e-33	"850K"	"unique_liftover"	"chr1"	3169923	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03317820"	"chr7"	1141533	"Astro"	66	4.65969823766337e-33	"850K"	"unique_liftover"	"chr7"	1101897	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13949213"	"chr1"	44710805	"Astro"	67	4.68647112463895e-33	"850K"	"unique_liftover"	"chr1"	44245133	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg22523787"	"chr22"	45675312	"Astro"	68	4.81971869889006e-33	"850K"	"unique_liftover"	"chr22"	45279431	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04098263"	"chr6"	2382649	"Astro"	69	5.09859359273833e-33	"850K"	"unique_liftover"	"chr6"	2382415	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg16266113"	"chr18"	54821744	"Astro"	70	5.74470839228402e-33	"850K"	"unique_liftover"	"chr18"	57154513	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg08427820"	"chr16"	81533399	"Astro"	71	5.78747242567691e-33	"850K"	"unique_liftover"	"chr16"	81499794	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg22519912"	"chr5"	139187370	"Astro"	72	6.39485289066226e-33	"850K"	"unique_liftover"	"chr5"	139807785	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg10266195"	"chr18"	77728073	"Astro"	73	6.67854784259282e-33	"850K"	"unique_liftover"	"chr18"	79968073	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg11601285"	"chr5"	149528279	"Astro"	74	8.38334483243042e-33	"850K"	"unique_liftover"	"chr5"	150148716	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg12396051"	"chr3"	52231311	"Astro"	75	8.47251459186293e-33	"850K"	"unique_liftover"	"chr3"	52197295	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17663545"	"chr16"	75000656	"Astro"	76	9.10301122837287e-33	"850K"	"unique_liftover"	"chr16"	74966758	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13537237"	NA	NA	"Astro"	77	9.19470871573947e-33	"850K"	"invalid_source_coordinate"	NA	NA	FALSE	FALSE	FALSE	FALSE
"Lee"	"cg03516994"	"chr1"	182098985	"Astro"	78	1.03302329663234e-32	"850K"	"unique_liftover"	"chr1"	182129850	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg20303561"	"chr14"	91881497	"Astro"	79	1.19815628250431e-32	"850K"	"unique_liftover"	"chr14"	91415153	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03699176"	"chr1"	183860765	"Astro"	80	1.29893076826463e-32	"850K"	"unique_liftover"	"chr1"	183891631	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01120369"	"chr3"	129303326	"Astro"	81	1.31214284857373e-32	"850K"	"unique_liftover"	"chr3"	129584483	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13063157"	"chr2"	231915808	"Astro"	82	1.33359971337034e-32	"850K"	"unique_liftover"	"chr2"	231051093	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg05000177"	"chr15"	65169729	"Astro"	83	1.41357758394493e-32	"850K"	"unique_liftover"	"chr15"	64877530	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13094936"	"chr14"	100141139	"Astro"	84	1.44988106093468e-32	"850K"	"unique_liftover"	"chr14"	99674802	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg19433225"	"chr1"	78512997	"Astro"	85	1.64839227460765e-32	"850K"	"unique_liftover"	"chr1"	78047313	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg25957092"	"chr12"	123351126	"Astro"	86	1.98000262928196e-32	"850K"	"unique_liftover"	"chr12"	122866579	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17091056"	"chr2"	54315563	"Astro"	87	2.0515636833448e-32	"850K"	"unique_liftover"	"chr2"	54088426	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg09364402"	"chr5"	139292062	"Astro"	88	2.18956341537348e-32	"850K"	"unique_liftover"	"chr5"	139912477	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg24732049"	"chr13"	20994266	"Astro"	89	2.59957023136672e-32	"850K"	"unique_liftover"	"chr13"	20420127	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg09127170"	"chr1"	17873547	"Astro"	90	2.63754901118424e-32	"850K"	"unique_liftover"	"chr1"	17547052	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14429807"	"chr9"	136755503	"Astro"	91	2.72810475110831e-32	"850K"	"unique_liftover"	"chr9"	133890381	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01013023"	"chr7"	42131124	"Astro"	92	2.92865329764066e-32	"850K"	"unique_liftover"	"chr7"	42091525	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01443852"	"chr12"	52938023	"Astro"	93	3.02899704335815e-32	"850K"	"unique_liftover"	"chr12"	52544239	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg08651590"	"chr2"	65543410	"Astro"	94	3.13334328615135e-32	"850K"	"unique_liftover"	"chr2"	65316276	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01880677"	"chr9"	82379456	"Astro"	95	3.62044589486823e-32	"850K"	"unique_liftover"	"chr9"	79764541	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03129774"	"chr16"	3587183	"Astro"	96	4.22411171017892e-32	"850K"	"unique_liftover"	"chr16"	3537183	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg18696538"	"chr22"	23846369	"Astro"	97	4.32897185872202e-32	"850K"	"unique_liftover"	"chr22"	23504182	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg12446793"	"chr2"	9234538	"Astro"	98	4.52874923751195e-32	"850K"	"unique_liftover"	"chr2"	9094409	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg06513000"	"chr1"	226997873	"Astro"	99	4.9282733870123e-32	"850K"	"unique_liftover"	"chr1"	226810172	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02189951"	"chr17"	41466318	"Astro"	100	5.37916768234732e-32	"850K"	"unique_liftover"	"chr17"	43388950	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13618969"	"chr9"	129184186	"Astro"	101	5.62042980885278e-32	"850K"	"unique_liftover"	"chr9"	126421907	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg06348826"	"chr1"	2994051	"Astro"	102	5.62431608959836e-32	"850K"	"unique_liftover"	"chr1"	3077487	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04281470"	"chr17"	71292815	"Astro"	103	6.29827536036377e-32	"850K"	"unique_liftover"	"chr17"	73296676	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg19472243"	"chr22"	50520995	"Astro"	104	6.39319695063017e-32	"850K"	"unique_liftover"	"chr22"	50082566	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02220837"	"chr3"	5024773	"Astro"	105	6.99470308172237e-32	"850K"	"unique_liftover"	"chr3"	4983088	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg20402747"	"chr17"	77954963	"Astro"	106	8.03294808589966e-32	"850K"	"unique_liftover"	"chr17"	79981164	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14838600"	"chr7"	151442967	"Astro"	107	8.37672679523485e-32	"850K"	"unique_liftover"	"chr7"	151745881	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01021545"	"chr9"	139846909	"Astro"	108	9.05854003450519e-32	"850K"	"unique_liftover"	"chr9"	136952457	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26514701"	"chr5"	36535688	"Astro"	109	9.13171644250738e-32	"850K"	"unique_liftover"	"chr5"	36535586	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14707716"	"chr5"	76440171	"Astro"	110	1.02175564105308e-31	"850K"	"unique_liftover"	"chr5"	77144346	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01683717"	"chr4"	6300073	"Astro"	111	1.02664670549091e-31	"850K"	"unique_liftover"	"chr4"	6298346	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14241426"	"chr1"	3048781	"Astro"	112	1.04732731066943e-31	"850K"	"unique_liftover"	"chr1"	3132217	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03628962"	"chr15"	93613694	"Astro"	113	1.08580111480714e-31	"850K"	"unique_liftover"	"chr15"	93070465	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg07734047"	"chr15"	73563188	"Astro"	114	1.15064855054834e-31	"850K"	"unique_liftover"	"chr15"	73270847	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg07908229"	"chr1"	182353640	"Astro"	115	1.17380450837133e-31	"850K"	"unique_liftover"	"chr1"	182384505	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg20157095"	"chr11"	67780637	"Astro"	116	1.19856362897024e-31	"850K"	"unique_liftover"	"chr11"	68013167	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg10115320"	"chr1"	3115545	"Astro"	117	1.20226077219506e-31	"850K"	"unique_liftover"	"chr1"	3198981	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03110772"	"chr1"	94586791	"Astro"	118	1.24328667210489e-31	"850K"	"unique_liftover"	"chr1"	94121235	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg06376951"	"chr17"	60754780	"Astro"	119	1.50855534740671e-31	"850K"	"unique_liftover"	"chr17"	62677419	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04365101"	"chr17"	55703965	"Astro"	120	1.55132983375592e-31	"850K"	"unique_liftover"	"chr17"	57626604	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg27572023"	"chr6"	24518593	"Astro"	121	1.65315781594749e-31	"850K"	"unique_liftover"	"chr6"	24518365	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg25133757"	"chr16"	23699709	"Astro"	122	1.80799423707184e-31	"850K"	"unique_liftover"	"chr16"	23688388	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg27444751"	"chr1"	3029051	"Astro"	123	2.13254615677968e-31	"850K"	"unique_liftover"	"chr1"	3112487	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg21324884"	"chr3"	64801329	"Astro"	124	2.1778575539204e-31	"850K"	"unique_liftover"	"chr3"	64815654	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg01764808"	"chr1"	145033094	"Astro"	125	2.32175156369652e-31	"850K"	"unique_liftover"	"chr1"	148851322	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg11750112"	"chr1"	64938742	"Astro"	126	2.50747477700496e-31	"850K"	"unique_liftover"	"chr1"	64473059	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg16397852"	"chr7"	1153961	"Astro"	127	2.51350011397602e-31	"850K"	"unique_liftover"	"chr7"	1114325	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg08498712"	"chr15"	22429112	"Astro"	128	2.53073058443833e-31	"850K"	"unique_liftover"	"chr15"	22141161	TRUE	FALSE	FALSE	FALSE
"Lee"	"cg07343476"	"chr10"	120668265	"Astro"	129	2.6339623673009e-31	"850K"	"unique_liftover"	"chr10"	118908753	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26470127"	"chr1"	148914196	"Astro"	130	2.66452542930224e-31	"850K"	"unique_liftover"	"chr1"	143438794	TRUE	FALSE	FALSE	FALSE
"Lee"	"cg02839622"	"chr20"	55904289	"Astro"	131	2.78532995500883e-31	"850K"	"unique_liftover"	"chr20"	57329233	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg20903433"	"chr17"	78973150	"Astro"	132	2.79084408884586e-31	"850K"	"unique_liftover"	"chr17"	80999350	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg03256938"	"chr1"	2983926	"Astro"	133	2.95494288323271e-31	"850K"	"unique_liftover"	"chr1"	3067362	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04443795"	"chr1"	3192772	"Astro"	134	3.0253428559012e-31	"850K"	"unique_liftover"	"chr1"	3276208	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg23589728"	NA	NA	"Astro"	135	3.78022832180301e-31	"850K"	"invalid_source_coordinate"	NA	NA	FALSE	FALSE	FALSE	FALSE
"Lee"	"cg04722939"	"chr2"	25374790	"Astro"	136	3.93906115817903e-31	"850K"	"unique_liftover"	"chr2"	25151921	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04349379"	"chr6"	36922311	"Astro"	137	3.94016534458966e-31	"850K"	"unique_liftover"	"chr6"	36954535	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg23676767"	"chr1"	226918736	"Astro"	138	4.43161306170648e-31	"850K"	"unique_liftover"	"chr1"	226731035	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg06809364"	"chr3"	152555206	"Astro"	139	4.74889652759915e-31	"850K"	"unique_liftover"	"chr3"	152837417	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg26344982"	"chr3"	5024811	"Astro"	140	4.95513343690681e-31	"850K"	"unique_liftover"	"chr3"	4983126	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02802788"	"chr17"	49369718	"Astro"	141	5.20870612864864e-31	"850K"	"unique_liftover"	"chr17"	51292357	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg11302992"	"chr11"	31789446	"Astro"	142	6.5937660508709e-31	"850K"	"unique_liftover"	"chr11"	31767898	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg14236011"	"chr9"	71833386	"Astro"	143	8.03065214873448e-31	"850K"	"unique_liftover"	"chr9"	69218470	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02874042"	"chr16"	49743848	"Astro"	144	8.33184855647912e-31	"850K"	"unique_liftover"	"chr16"	49709937	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg04256248"	"chr2"	238187155	"Astro"	145	8.43777457627527e-31	"850K"	"unique_liftover"	"chr2"	237278512	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg11684115"	"chr1"	3042085	"Astro"	146	8.98930848914147e-31	"850K"	"unique_liftover"	"chr1"	3125521	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg17343444"	"chr5"	167605142	"Astro"	147	9.099363989996e-31	"850K"	"unique_liftover"	"chr5"	168178137	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg24110914"	"chr11"	12766538	"Astro"	148	1.11968898739522e-30	"850K"	"unique_liftover"	"chr11"	12744991	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg15476345"	"chr2"	69043808	"Astro"	149	1.16806645393883e-30	"850K"	"unique_liftover"	"chr2"	68816676	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg18238808"	"chr17"	71280700	"Astro"	150	1.24849379618648e-30	"850K"	"unique_liftover"	"chr17"	73284561	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg10485902"	"chr11"	66675294	"Astro"	151	1.31458367643214e-30	"850K"	"unique_liftover"	"chr11"	66907823	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg25290247"	"chr2"	241080342	"Astro"	152	1.32474019839983e-30	"850K"	"unique_liftover"	"chr2"	240140925	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg13547132"	"chr1"	2835258	"Astro"	153	1.56995862013206e-30	"850K"	"unique_liftover"	"chr1"	2918693	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg09138437"	"chr11"	64527189	"Astro"	154	1.60334698108073e-30	"850K"	"unique_liftover"	"chr11"	64759717	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg24393783"	"chr17"	70123165	"Astro"	155	1.67919150702003e-30	"850K"	"unique_liftover"	"chr17"	72127024	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg02421172"	"chr7"	1938701	"Astro"	156	1.78042241696518e-30	"850K"	"unique_liftover"	"chr7"	1899065	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg10602654"	"chr20"	24993056	"Astro"	157	1.86622488989637e-30	"850K"	"unique_liftover"	"chr20"	25012420	FALSE	FALSE	FALSE	TRUE
"Lee"	"cg11424674"	"chr1"	44727313	"Astro"	158	1.8962343182548e-30	"850K"	"unique_liftover"	"chr1"	44261641	FALSE	FALSE	FALSE	TRUE
