phenotype_id	num_causal_snps	chrom	start	end	positions	rsids	target_heritability	simulated_heritability
pheno_23	5	18	77035479	78035479	77114621,77854467,77169532,77367719,77080578	rs6252199,rs6259286,rs6254589,rs6256424,rs6249474	0.058524218387421396	0.058524218387421396
pheno_24	4	5	85569068	86569068	86307719,86308731,85855581,86495153	rs1545259,rs1547837,rs1540550,rs1551877	0.7361706777595746	0.7361706777595743
pheno_25	5	7	90818061	91818061	91463955,91499576,91431800,91212832,91793766	rs2290952,rs2294103,rs2287793,rs2283335,rs2296499	0.5944637155536642	0.5944637155536641
pheno_26	2	20	1	761082	678589,209063	rs6662051,rs6660306	0.06722694459087993	0.06722694459087991
pheno_27	4	11	101074600	102074600	101631677,101834971,101441884,101472166	rs3730854,rs3733533,rs3726318,rs3728509	0.2935785120207347	0.29357851202073476
pheno_28	3	6	37146899	38146899	37583611,38132782,37681092	rs1807828,rs1814952,rs1810380	0.033340750026597574	0.03334075002659757
pheno_29	3	10	122693972	123693972	123004278,123521796,123204647	rs3446368,rs3449209,rs3447733	0.06724855046446826	0.06724855046446826
pheno_30	5	8	31818722	32818722	32818484,32430269,32687952,32423469,32726830	rs2525579,rs2517881,rs2521080,rs2515320,rs2523759	0.03159882175355993	0.03159882175355992
pheno_31	1	4	18956984	19956984	19770313	rs1031349	0.7302408704029253	0.7302408704029253
pheno_32	3	9	74690041	75690041	75187581,75470626,75418675	rs2841214,rs2846569,rs2843050	0.039463497261061714	0.039463497261061714
pheno_33	5	22	36607011	37607011	37521804,37258694,36916438,36719702,37257879	rs7620197,rs7616521,rs7608726,rs7607374,rs7613573	0.5700008023140558	0.5700008023140558
pheno_34	4	15	16881517	17881517	17628401,17150668,16982766,17006103	rs4854293,rs4851413,rs4844734,rs4847289	0.04623612346225017	0.046236123462250166
pheno_35	1	6	71281459	72281459	71751330	rs1872083	0.2929339425111299	0.29293394251113
pheno_36	3	14	72306906	73306906	72740675,73123133,72401412	rs4653875,rs4661061,rs4645757	0.061525855756142736	0.06152585575614273
pheno_37	1	12	13610866	14610866	14276412	rs3819315	0.07234809161286705	0.07234809161286705
pheno_38	5	2	28232206	29232206	28514047,28933359,29043420,29045478,28290181	rs297870,rs300350,rs303844,rs306928,rs296806	0.05725411647661281	0.057254116476612806
pheno_39	2	3	182855564	183855564	182885366,183290278	rs969052,rs970007	0.07546024368406808	0.07546024368406806
pheno_40	2	21	20546692	21546692	21428443,20895831	rs7193720,rs7191423	0.054102708362702506	0.054102708362702506
pheno_41	3	19	7283574	8283574	8178156,8057534,7793393	rs6348866,rs6348114,rs6347864	0.0073545438887317295	0.00735454388873173
pheno_42	3	19	43154650	44154650	43192291,43526903,43419040	rs6588785,rs6596279,rs6592196	0.07055996096901448	0.07055996096901447
pheno_43	5	7	12777884	13777884	13107965,13575741,13124857,13427040,13274289	rs2096249,rs2107766,rs2100832,rs2106133,rs2104610	0.07184698207648973	0.07184698207648973
pheno_44	3	18	51778352	52778352	52389624,51866607,52009342	rs6154620,rs6148156,rs6151112	0.5810840588612755	0.5810840588612753
pheno_45	2	13	102922041	103922041	103289316,103299954	rs4366043,rs4368684	0.02422706177013656	0.02422706177013656
pheno_46	1	11	78797673	79797673	79395813	rs3670218	0.6653077264090549	0.665307726409055
pheno_47	4	17	39113940	40113940	39522643,39461720,39207344,39637354	rs5840124,rs5836828,rs5829123,rs5845978	0.7375684059875862	0.7375684059875863
pheno_48	4	18	43557585	44557585	44145239,44112127,44549392,43818966	rs6105379,rs6102755,rs6111011,rs6098866	0.6686871222445875	0.6686871222445877
pheno_49	1	9	93330061	94330061	93399932	rs2883393	0.24960827634642063	0.2496082763464207
pheno_50	3	4	146701422	147701422	147044141,147500205,146771240	rs1262205,rs1264947,rs1260805	0.036225650324128694	0.0362256503241287
pheno_51	5	22	22540261	23540261	23509447,23429280,23062476,23473787,23420128	rs7529761,rs7521945,rs7512746,rs7526660,rs7518278	0.02613390554031029	0.02613390554031029
pheno_52	3	11	51668554	52668554	51714855,52111306,52658911	rs3604926,rs3605958,rs3606908	0.0455277916733793	0.045527791673379295
pheno_53	2	11	133496075	134496075	133790228,134431998	rs3793761,rs3797973	0.05870110608158189	0.05870110608158189
pheno_54	1	6	160128350	161128350	161082224	rs2053483	0.006669986433879292	0.006669986433879291
pheno_55	5	8	27438597	28438597	28225340,27456792,28079325,28305378,28080165	rs2489777,rs2472239,rs2479484,rs2492390,rs2483270	0.05336334613200306	0.05336334613200307
pheno_56	5	3	15794366	16794366	16408755,16262573,16226969,16516970,16527412	rs645095,rs636723,rs633047,rs648533,rs652106	0.05247635171135635	0.05247635171135636
pheno_57	1	2	62085499	63085499	62859468	rs362272	0.6501940090101938	0.6501940090101936
pheno_58	5	3	65280368	66280368	66157752,66091876,65296403,65448617,66178064	rs730539,rs726993,rs714847,rs718635,rs738378	0.04651921381576676	0.046519213815766756
pheno_59	5	7	87677146	88677146	88568565,88173470,88652276,88047934,87989540	rs2264931,rs2261795,rs2268255,rs2257350,rs2253147	0.05113958592619841	0.0511395859261984
pheno_60	5	2	49379225	50379225	49512627,50120981,49448498,50149182,50350578	rs335254,rs337124,rs334420,rs340754,rs342877	0.024605882157063736	0.024605882157063733
pheno_61	1	7	155945711	156945711	156828474	rs2393334	0.049253842914262186	0.049253842914262186
pheno_62	4	2	62611842	63611842	62922740,63509434,62983267,63559136	rs367111,rs373480,rs370266,rs377051	0.008428886127036832	0.008428886127036834
pheno_63	4	21	2013319	3013319	2537646,2457360,2673628,2020811	rs6995800,rs6993349,rs6996647,rs6981305	0.015486784082194898	0.015486784082194895
pheno_64	3	1	78521165	79521165	78573780,79276402,78564428	rs16620,rs19141,rs14130	0.06424640744121188	0.06424640744121188
pheno_65	5	21	29806381	30806381	30694188,30354598,30175568,30667266,30241332	rs7261485,rs7257156,rs7249799,rs7259896,rs7252814	0.018397392067235827	0.01839739206723583
pheno_66	2	1	219897390	220897390	220873985,219959508	rs233591,rs231635	0.03466089281130629	0.034660892811306285
pheno_67	1	16	1	748754	301371	rs5221826	0.05334533519329882	0.05334533519329881
pheno_68	1	15	16369413	17369413	16468789	rs4842151	0.0033268835460839204	0.003326883546083921
pheno_69	1	8	46966119	47966119	47938493	rs2535999	0.023309750892903013	0.023309750892903006
pheno_70	4	2	106346688	107346688	107059766,107063217,107066138,106903927	rs432107,rs434681,rs437879,rs430487	0.021068868080878156	0.021068868080878156
pheno_71	1	14	84693003	85693003	84852581	rs4706653	0.038301146156522005	0.038301146156522
pheno_72	3	16	19181660	20181660	19390375,19590944,19535627	rs5270130,rs5273604,rs5271539	0.6732500618882217	0.6732500618882216
pheno_73	3	6	138250347	139250347	139051643,139096634,138603201	rs2034083,rs2036081,rs2033581	0.1580324612711223	0.15803246127112233
pheno_74	5	16	78797095	79797095	79433591,79295854,79758394,79345506,79673443	rs5461937,rs5456600,rs5464988,rs5459582,rs5462763	0.07917627646577918	0.07917627646577918
pheno_75	1	5	44272134	45272134	45043840	rs1428520	0.6656961442974832	0.6656961442974834
pheno_76	3	10	114663903	115663903	115624597,115228843,114811262	rs3415164,rs3412601,rs3403540	0.0374110692894306	0.0374110692894306
pheno_77	1	3	122555167	123555167	123100902	rs813511	0.3631360448759948	0.3631360448759948
pheno_78	5	15	98376291	99376291	98961698,99262878,99005868,99267941,99024511	rs5208190,rs5215690,rs5210891,rs5219421,rs5213277	0.5356731003860745	0.5356731003860744
pheno_79	2	2	150621113	151621113	151503966,150675146	rs495436,rs492735	0.45791064185407215	0.4579106418540722
pheno_80	1	22	26462092	27462092	26791721	rs7542306	0.012683425879307821	0.012683425879307826
pheno_81	1	19	25327279	26327279	25701607	rs6492234	0.07823571423886086	0.07823571423886087
pheno_82	3	7	57619971	58619971	58460300,57841790,57905167	rs2194153,rs2185057,rs2189366	0.028304045105961118	0.028304045105961118
pheno_83	3	8	134586722	135586722	134592860,135303119,134591652	rs2672422,rs2673275,rs2671367	0.7434348889946665	0.7434348889946666
pheno_84	5	21	17414100	18414100	17661285,18111876,17501466,17923822,18254049	rs7156808,rs7162065,rs7150700,rs7159235,rs7165027	0.7997790020516907	0.7997790020516905
pheno_85	4	21	35108834	36108834	35923536,35498236,35986195,35660505	rs7297332,rs7293851,rs7303145,rs7294849	0.06933278040642021	0.06933278040642021
pheno_86	3	11	70210529	71210529	70971275,71013347,70451994	rs3642711,rs3644661,rs3640958	0.07414862382283187	0.0741486238228319
pheno_87	3	11	122400734	123400734	122903267,122577238,122654127	rs3773854,rs3768066,rs3770971	0.14156876130813764	0.14156876130813764
pheno_88	1	16	84720536	85720536	85708170	rs5476198	0.06845674452310034	0.06845674452310034
pheno_89	1	11	1038066	2038066	1935572	rs3500611	0.05951669935285644	0.05951669935285644
pheno_90	1	17	78592293	79592293	79498091	rs5981562	0.07075596243769106	0.07075596243769107
pheno_91	3	19	8177117	9177117	8377893,8287832,9049109	rs6355695,rs6351907,rs6357226	0.01866672020272443	0.018666720202724425
pheno_92	4	4	111778788	112778788	112063518,112260701,112570327,112639446	rs1198851,rs1200931,rs1201610,rs1204059	0.19515792159993528	0.19515792159993522
pheno_93	4	3	180913404	181913404	181278044,181441042,181460008,181812910	rs959903,rs960859,rs963274,rs966797	0.0693735564468324	0.06937355644683241
pheno_94	2	7	113035280	114035280	113074119,113451943	rs2339526,rs2340199	0.021752942518436267	0.021752942518436263
pheno_95	3	13	82855698	83855698	82876144,83130551,83099557	rs4276783,rs4281250,rs4279538	0.7737017073196681	0.7737017073196679
pheno_96	2	1	202147739	203147739	202935473,202813815	rs213627,rs212005	0.004876628289389723	0.004876628289389723
pheno_97	2	1	74461678	75461678	74788390,75064982	rs10361,rs12848	0.6279723022860452	0.6279723022860452
pheno_98	3	21	18401177	19401177	18912484,18892957,18640124	rs7171855,rs7168395,rs7166412	0.04284776781986633	0.04284776781986633
pheno_99	2	15	78918543	79918543	79224082,79309539	rs5098170,rs5100864	0.09738423468950065	0.09738423468950064
pheno_100	4	2	218519957	219519957	219315554,219519084,218793533,218842105	rs552324,rs555225,rs546772,rs549562	0.01904399245781609	0.019043992457816086
pheno_101	3	1	153424417	154424417	153886322,154221465,153762184	rs147518,rs151028,rs144627	0.43226112669121497	0.4322611266912149
pheno_102	5	12	104343447	105343447	104389708,105070409,105105269,105157808,104447792	rs4008028,rs4013422,rs4018049,rs4021911,rs4010795	0.07396818908674445	0.07396818908674443
pheno_103	4	7	146102755	147102755	146903357,146439412,146748561,146425426	rs2374338,rs2370807,rs2372553,rs2368517	0.5452135987004505	0.5452135987004505
pheno_104	4	14	38467849	39467849	39434012,38547226,38742490,39107364	rs4536817,rs4529396,rs4530331,rs4533194	0.06867834045315388	0.0686783404531539
pheno_105	5	22	40135432	41135432	40945845,40833350,40907540,41039104,40977111	rs7651880,rs7646208,rs7648936,rs7657951,rs7654063	0.09599707549765282	0.09599707549765285
pheno_106	2	9	98672737	99672737	99209975,99028159	rs2905689,rs2903977	0.5462741161595726	0.5462741161595727
pheno_107	1	20	11060328	12060328	11448350	rs6711302	0.009120901539408985	0.009120901539408987
pheno_108	2	16	24828286	25828286	24860366,25309513	rs5275871,rs5277717	0.07366649621470231	0.0736664962147023
pheno_109	1	20	47395083	48395083	47811850	rs6902975	0.34998606269313376	0.3499860626931337
pheno_110	1	14	103756428	104756428	104600565	rs4763251	0.05294231515150564	0.052942315151505624
pheno_111	2	3	8760484	9760484	9077535,8917609	rs599085,rs594656	0.006542948245968418	0.006542948245968418
pheno_112	2	12	88275071	89275071	88387475,89255865	rs3969136,rs3972151	0.013726693014551747	0.013726693014551743
pheno_113	1	8	118969379	119969379	119708354	rs2646989	0.023493093173960627	0.023493093173960623
pheno_114	3	18	38611356	39611356	38965303,39363934,38631735	rs6078828,rs6080791,rs6075809	0.711318443116458	0.711318443116458
pheno_115	4	8	1	643166	347333,175913,4497,478459	rs2408986,rs2404851,rs2402969,rs2410873	0.036252458967007885	0.036252458967007885
pheno_116	5	21	13149888	14149888	13474002,13988467,13621039,13190194,13720658	rs7074023,rs7084120,rs7076849,rs7070338,rs7077561	0.011723560742684361	0.01172356074268436
pheno_117	2	20	54546028	55546028	55139463,54958205	rs6938759,rs6936932	0.02778277540736032	0.027782775407360315
pheno_118	2	19	46228404	47228404	46319147,46691664	rs6600165,rs6604255	0.70788731872136	0.7078873187213603
pheno_119	2	17	42801339	43801339	43419717,42812649	rs5859380,rs5857679	0.627951918825848	0.6279519188258482
pheno_120	3	12	15614136	16614136	16564903,16077685,15964487	rs3847737,rs3843273,rs3839795	0.7710492492391656	0.7710492492391658
pheno_121	5	10	19924552	20924552	20041786,20417950,20850104,20808600,19960601	rs3111754,rs3113324,rs3120762,rs3116258,rs3108739	0.3627519182285974	0.3627519182285975
pheno_122	4	7	93979299	94979299	94525916,94322170,94754078,94418060	rs2301546,rs2298323,rs2305145,rs2300203	0.030731758218736183	0.030731758218736183
pheno_123	3	9	108140843	109140843	108677812,108447793,108386700	rs2933543,rs2926754,rs2919849	0.7931135246141261	0.7931135246141262
pheno_124	1	5	23677077	24677077	23741408	rs1373179	0.06717861924810405	0.06717861924810405
pheno_125	3	21	16141771	17141771	16842862,16967690,16370143	rs7122960,rs7125885,rs7113470	0.06505854336494676	0.06505854336494675
pheno_126	4	8	21237739	22237739	21378411,21458302,22105687,21489671	rs2459107,rs2461823,rs2467208,rs2463682	0.08615099131154964	0.08615099131154964
pheno_127	3	11	28713811	29713811	29574260,28862674,29184914	rs3576787,rs3565349,rs3574280	0.005815301006398733	0.005815301006398734
pheno_128	5	10	1884877	2884877	2056508,2014424,2018350,2190923,2160245	rs3053987,rs3049347,rs3052083,rs3059745,rs3056465	0.07904017365499581	0.07904017365499583
pheno_129	3	6	96450234	97450234	96568725,96489422,96799925	rs1934088,rs1930907,rs1937517	0.0021262499393575936	0.0021262499393575936
pheno_130	3	6	62695485	63695485	63515447,63501829,62901052	rs1859822,rs1857075,rs1854466	0.06941650510503637	0.06941650510503637
pheno_131	1	7	22157740	23157740	22874910	rs2129680	0.010799929148353761	0.010799929148353758
pheno_132	3	22	9422560	10422560	10415247,10055497,9510354	rs7412369,rs7408097,rs7404730	0.06496096440224138	0.06496096440224139
pheno_133	4	19	22448009	23448009	22626676,22457311,22721753,22902873	rs6467429,rs6464744,rs6469061,rs6470336	0.05982379114007726	0.059823791140077257
pheno_134	4	10	72842743	73842743	73070094,73459348,73589792,73493925	rs3283197,rs3284780,rs3289252,rs3286356	0.04456970420726834	0.04456970420726835
pheno_135	1	13	38760910	39760910	39214331	rs4148466	0.002587586593505595	0.0025875865935055947
pheno_136	1	9	329031	1329031	681423	rs2690690	0.06167299713263172	0.06167299713263172
pheno_137	4	7	117852064	118852064	118661988,117982685,118054362,118281945	rs2353868,rs2349078,rs2351305,rs2352274	0.04437654936499621	0.0443765493649962
pheno_138	5	2	143907440	144907440	144127687,144533734,144840605,144500904,144339020	rs477379,rs487991,rs491195,rs487200,rs479892	0.051349233103934716	0.051349233103934695
pheno_139	3	17	3674586	4674586	4085842,4560660,3943356	rs5514621,rs5519357,rs5511400	0.04005974639980822	0.04005974639980822
pheno_140	2	1	127480992	128480992	127872374,127982395	rs115543,rs118483	0.023969357910254244	0.02396935791025425
pheno_141	2	19	53950705	54950705	54894162,54408096	rs6656663,rs6655066	0.011524239617971353	0.011524239617971353
pheno_142	2	16	42829306	43829306	43386314,43063806	rs5345294,rs5340777	0.24457276174205	0.24457276174205
pheno_143	4	17	22884608	23884608	23263058,23793577,23672111,23666692	rs5656009,rs5665829,rs5663323,rs5659050	0.618721548359795	0.618721548359795
pheno_144	2	10	31310590	32310590	31480699,31378690	rs3161633,rs3159410	0.07337657116216327	0.07337657116216328
pheno_145	2	6	21001870	22001870	21776226,21514601	rs1770563,rs1769013	0.6466562535875173	0.6466562535875172
pheno_146	1	10	9024389	10024389	9063608	rs3089260	0.6361628971503971	0.6361628971503968
pheno_147	3	3	183800777	184800777	184115074,184760736,184315953	rs971382,rs976100,rs973361	0.04083768601275162	0.040837686012751624
pheno_148	5	2	79133440	80133440	79187067,79266661,80045588,79435271,79262699	rs385465,rs387040,rs392995,rs389441,rs386137	0.021704777232583797	0.021704777232583794
pheno_149	3	10	78462482	79462482	79181504,78747242,79402004	rs3295822,rs3291680,rs3301325	0.0018210687503838422	0.0018210687503838424
pheno_150	3	15	44587959	45587959	45042728,45138692,44695108	rs4994183,rs4996272,rs4991327	0.5008552631217157	0.5008552631217156
pheno_151	3	22	32984663	33984663	33925041,33534664,33900881	rs7605255,rs7597896,rs7603223	0.03540174291196083	0.035401742911960826
pheno_152	4	8	131757587	132757587	132283011,132445852,132157805,132342167	rs2663050,rs2670124,rs2659514,rs2667488	0.008512182832443376	0.008512182832443376
pheno_153	4	19	24628856	25628856	25582876,25096486,25026053,25198162	rs6488739,rs6485245,rs6482353,rs6486152	0.043319664119066285	0.043319664119066285
pheno_154	1	1	45447101	46447101	46215664	rs8276	0.01034505248724466	0.010345052487244656
pheno_155	4	5	27148963	28148963	27704206,27292489,27198578,27355272	rs1405545,rs1398624,rs1396012,rs1401649	0.4603157814271329	0.4603157814271329
pheno_156	1	12	10151091	11151091	10517438	rs3801406	0.005134004373994438	0.005134004373994439
pheno_157	2	9	111027260	112027260	111837769,111887540	rs2961015,rs2965124	0.05308661119172246	0.05308661119172246
pheno_158	1	4	67927822	68927822	68447504	rs1108520	0.07559439541170987	0.07559439541170988
pheno_159	4	14	8857110	9857110	9718590,9389961,9801154,9669326	rs4442340,rs4433743,rs4446169,rs4437653	0.03847126228796791	0.03847126228796793
pheno_160	5	5	156113891	157113891	156616007,156271695,156542346,156131272,156736565	rs1662737,rs1654838,rs1657866,rs1652145,rs1669212	0.0817758586007313	0.08177585860073129
pheno_161	1	9	92054869	93054869	92223577	rs2878039	0.05103934795744058	0.05103934795744057
pheno_162	4	13	16235189	17235189	16691805,16619679,16865495,16714105	rs4131005,rs4127952,rs4135665,rs4133604	0.017272798666461246	0.017272798666461243
pheno_163	4	17	44548361	45548361	45498980,45052233,45540441,44594822	rs5889918,rs5873212,rs5892230,rs5861582	0.013391782433804568	0.013391782433804567
pheno_164	2	11	33854685	34854685	34057665,34613028	rs3587177,rs3590183	0.09050780358877902	0.09050780358877902
pheno_165	5	13	61530703	62530703	61915747,61693933,61923835,61940626,62209616	rs4214660,rs4213501,rs4215951,rs4216929,rs4219536	0.09787043977332699	0.097870439773327
pheno_166	4	1	97832435	98832435	98097143,97940946,98096149,98067096	rs43867,rs38732,rs41612,rs40612	0.04543365393576986	0.045433653935769876
pheno_167	3	15	11839851	12839851	11890901,11850287,12153760	rs4804130,rs4800528,rs4810255	0.0019461133292233068	0.0019461133292233074
pheno_168	5	17	44616134	45616134	45057398,44745331,45141900,45356859,44953954	rs5877620,rs5865100,rs5881947,rs5886354,rs5868752	0.0014590808488562268	0.0014590808488562268
pheno_169	5	15	41461765	42461765	42348851,42422710,41834661,41747954,42373936	rs4985655,rs4989949,rs4966480,rs4962908,rs4987852	0.06653133887609987	0.06653133887609987
pheno_170	3	15	22097397	23097397	22619746,23003910,22782983	rs4888918,rs4902223,rs4891304	0.09765428103356741	0.09765428103356742
pheno_171	3	9	133085091	134085091	133714649,134046176,133584844	rs3028157,rs3032175,rs3024136	0.010128579610892434	0.010128579610892434
pheno_172	1	11	132822902	133822902	133212178	rs3790450	0.00820072804712125	0.00820072804712125
pheno_173	4	9	107134433	108134433	108104064,107432952,107304360,108123806	rs2913449,rs2910170,rs2907165,rs2915080	0.08735517065586543	0.08735517065586546
pheno_174	2	8	57869702	58869702	58404721,58628062	rs2541495,rs2542009	0.06040334650066542	0.06040334650066538
pheno_175	5	21	36524274	37524274	36905709,36938955,37105674,36766374,36804658	rs7314468,rs7316488,rs7319749,rs7308181,rs7311632	0.042257651515734934	0.042257651515734934
pheno_176	2	16	85929083	86929083	86707645,86344637	rs5477659,rs5476907	0.05650309576512464	0.05650309576512465
pheno_177	3	17	81806203	82806203	82281178,81881031,82167598	rs6006578,rs5996199,rs5997659	0.027457045792938083	0.027457045792938083
pheno_178	3	15	10771417	11771417	11657159,11023658,11090403	rs4797278,rs4791322,rs4793967	0.0818358799029002	0.08183587990290021
pheno_179	1	15	92740445	93740445	93059085	rs5174489	0.39067503063910036	0.39067503063910036
pheno_180	4	9	110048593	111048593	110145384,110374361,110697157,110224977	rs2947849,rs2954684,rs2957626,rs2948815	0.005331409699796671	0.005331409699796671
pheno_181	2	7	9262471	10262471	9653474,9277734	rs2082127,rs2080706	0.07609902132495676	0.07609902132495674
pheno_182	5	20	9681189	10681189	9897866,9693730,10026032,10399955,10563756	rs6687446,rs6685518,rs6690278,rs6692612,rs6699734	0.013662093203494888	0.013662093203494891
pheno_183	3	3	36004518	37004518	36400686,36495785,36785002	rs687961,rs691880,rs694813	0.6289225695524685	0.6289225695524686
pheno_184	3	6	105944742	106944742	106098336,106444020,105991751	rs1959548,rs1962755,rs1957658	0.03231111956515397	0.03231111956515397
pheno_185	2	1	218143966	219143966	218957606,219106538	rs228650,rs230562	0.03921229546663934	0.03921229546663933
pheno_186	1	18	6112033	7112033	6221905	rs6013866	0.01231711227625945	0.01231711227625945
pheno_187	1	16	3376222	4376222	3667118	rs5239193	0.044876642588534126	0.04487664258853412
pheno_188	3	10	1428377	2428377	1526175,1913001,1580789	rs3039410,rs3045130,rs3042045	0.06757131101202157	0.06757131101202157
pheno_189	4	13	63907242	64907242	64041818,63915546,64192878,64329019	rs4223788,rs4221827,rs4226156,rs4228454	0.02783979184617109	0.02783979184617109
pheno_190	3	5	166158658	167158658	166224538,166395922,166185341	rs1696754,rs1699437,rs1693784	0.3425214137402809	0.3425214137402808
pheno_191	1	13	87730834	88730834	88640292	rs4302139	0.04084287588150459	0.04084287588150458
pheno_192	5	9	109001828	110001828	109621076,109295570,109966187,109698544,109487845	rs2941023,rs2937627,rs2946539,rs2943874,rs2939759	0.060569015978276075	0.06056901597827607
pheno_193	4	6	102118131	103118131	102470419,102397837,102749855,102384009	rs1954058,rs1951662,rs1956094,rs1949392	0.021342119530610115	0.02134211953061011
pheno_194	5	11	66904552	67904552	67686062,67295637,67151138,67245115,67774159	rs3632349,rs3629595,rs3624204,rs3627186,rs3634757	0.06282941944040576	0.06282941944040575
pheno_195	5	19	14729458	15729458	15239110,15663542,14881598,15705155,14847225	rs6414822,rs6417184,rs6413151,rs6421543,rs6411000	0.0381301574502226	0.0381301574502226
pheno_196	2	2	40139565	41139565	40583370,40585020	rs331409,rs333452	0.4612136149113669	0.461213614911367
pheno_197	5	4	52060990	53060990	52833151,52440941,52440855,52322473,52910204	rs1097347,rs1096051,rs1095031,rs1094712,rs1097847	0.03725464082374362	0.037254640823743614
pheno_198	1	2	154018219	155018219	154775511	rs499276	0.002767609656523192	0.0027676096565231924
pheno_199	1	6	133631393	134631393	134627589	rs2021140	0.034798529913389754	0.03479852991338975
pheno_200	4	12	14892131	15892131	15822005,15886739,15213976,15151895	rs3833303,rs3836507,rs3831330,rs3829322	0.08174029032726719	0.0817402903272672
pheno_201	2	1	126300910	127300910	126952420,126316803	rs112401,rs110663	0.041038724819789915	0.041038724819789915
pheno_202	2	7	35018563	36018563	35729507,35736837	rs2136635,rs2139441	0.017840712384183055	0.01784071238418305
pheno_203	4	5	63287579	64287579	63465191,63968141,64007128,63684889	rs1463008,rs1468453,rs1471235,rs1465445	0.014715375722789146	0.014715375722789147
pheno_204	1	5	8455800	9455800	9137422	rs1347564	0.06348520061344336	0.06348520061344338
pheno_205	4	2	109756071	110756071	110111285,110497744,110468138,110538217	rs448947,rs452070,rs451118,rs453818	0.7038806625225213	0.7038806625225211
pheno_206	2	20	58409925	59409925	59216372,58463739	rs6955797,rs6953970	0.08531491429645749	0.08531491429645748
pheno_207	3	19	27965609	28965609	28748718,28578008,28494948	rs6507862,rs6506176,rs6505015	0.6649682236276278	0.6649682236276274
pheno_208	1	3	107921686	108921686	108641460	rs796846	0.5905051236849499	0.5905051236849497
pheno_209	3	6	99464088	100464088	99759619,99561695,99639942	rs1945957,rs1940173,rs1942669	0.40132185347015126	0.40132185347015126
pheno_210	1	5	31804153	32804153	32064387	rs1410510	0.0646187920215278	0.0646187920215278
pheno_211	1	17	30165006	31165006	30475611	rs5738702	0.03679678914294726	0.03679678914294727
pheno_212	1	10	112651553	113651553	112926104	rs3399728	0.09359123242319359	0.09359123242319357
pheno_213	3	6	85568969	86568969	86536261,86178899,85785459	rs1916905,rs1915232,rs1913747	0.001111468780744169	0.0011114687807441692
pheno_214	2	12	19523567	20523567	19885579,20181114	rs3882982,rs3884673	0.05464993026815136	0.05464993026815137
